"","team","league","league2","team2","strdist","color"
"1","Detroit City FC","United Soccer League","usl","Detroit",8,NA
"2","Rio Grande Valley FC Toros","United Soccer League","usl","Rio Grande",16,NA
"3","Colorado Springs Switchbacks FC","United Soccer League","usl","Colorado Springs",15,NA
"4","El Paso Locomotive FC","United Soccer League","usl","El Paso",14,NA
"5","Tulsa Roughnecks","United Soccer League","usl","FC Tulsa",12,NA
"6","Swope Park Rangers","United Soccer League","usl","Sporting Kansas City 2",12,NA
"7","Pittsburgh Riverhounds","United Soccer League","usl","Pittsburgh",12,NA
"8","Birmingham Legion FC","United Soccer League","usl","Birmingham",10,NA
"9","Loudoun United FC","United Soccer League","usl","Loudoun",10,NA
"10","Bethlehem Steel FC","United Soccer League","usl","Bethlehem",9,NA
"11","Reno 1868 FC","United Soccer League","usl","Reno",8,NA
"12","Charleston Battery","United Soccer League","usl","Charleston",8,NA
"13","Tampa Bay Rowdies","United Soccer League","usl","Tampa Bay",8,NA
"14","Portland Timbers 2","United Soccer League","usl","Portland 2",8,NA
"15","Memphis 901 FC","United Soccer League","usl","Memphis",7,NA
"16","New Mexico United","United Soccer League","usl","New Mexico",7,NA
"17","Charlotte Independence","United Soccer League","usl","Charlotte Independ.",4,NA
"18","Real Monarchs SLC","United Soccer League","usl","Real Monarchs",4,NA
"19","Louisville City FC","United Soccer League","usl","Louisville City",3,NA
"20","North Carolina FC","United Soccer League","usl","North Carolina",3,NA
"21","Oklahoma City Energy FC","United Soccer League","usl","Oklahoma City Energy",3,NA
"22","Fresno FC","United Soccer League","usl","Fresno",3,NA
"23","Arizona United","United Soccer League","usl","Phoenix Rising",0,NA
"24","Sacramento Republic FC","United Soccer League","usl","Sacramento Republic",3,NA
"25","San Antonio FC","United Soccer League","usl","San Antonio",3,NA
"26","Las Vegas Lights FC","United Soccer League","usl","Las Vegas Lights",3,NA
"27","Ottawa Fury FC","United Soccer League","usl","Ottawa Fury",3,NA
"28","Penn FC","United Soccer League","usl","Penn",3,NA
"29","Austin Bold FC","United Soccer League","usl","Austin Bold",3,NA
"30","San Diego Loyal SC","United Soccer League","usl","San Diego Loyal",3,NA
"31","New York Red Bulls II","United Soccer League","usl","New York Red Bulls 2",2,NA
"32","LA Galaxy II","United Soccer League","usl","LA Galaxy 2",2,NA
"33","Tacoma Defiance","United Soccer League","usl","Tacoma Defiance",0,NA
"34","Orange County SC","United Soccer League","usl","Orange County SC",0,NA
"35","Richmond Kickers","United Soccer League","usl","Richmond Kickers",0,NA
"36","Nashville SC","United Soccer League","usl","Nashville SC",0,NA
"37","Atlanta United 2","United Soccer League","usl","Atlanta United 2",0,NA
"38","Arizona United","United Soccer League","usl","Arizona United",0,NA
"39","Saint Louis FC","United Soccer League","usl","Saint Louis FC",0,NA
"40","Indy Eleven","United Soccer League","usl","Indy Eleven",0,NA
"41","FC Cincinnati","United Soccer League","usl","FC Cincinnati",0,NA
"42","Toronto FC II","United Soccer League","usl","Toronto FC II",0,NA
"43","Hartford Athletic","United Soccer League","usl","Hartford Athletic",0,NA
"44","Miami FC","United Soccer League","usl","Miami FC",0,NA
"45","Oakland Roots","United Soccer League","usl","Oakland Roots",0,NA
"46","1. FC Union Berlin","UEFA Europa League","europa-league","Union Berlin",6,NA
"47","SC Freiburg","UEFA Europa League","europa-league","Freiburg",0,NA
"48","Union Saint Gilloise","UEFA Europa League","europa-league","Royale Union SG",5,NA
"49","AS Monaco","UEFA Europa League","europa-league","Monaco",3,NA
"50","West Ham United","UEFA Europa League","europa-league","West Ham",3,NA
"51","SK Sturm Graz","UEFA Europa League","europa-league","Sturm Graz",3,NA
"52","FC Midtjylland","UEFA Europa League","europa-league","Midtjylland",3,NA
"53","Legia Warsaw","UEFA Europa League","europa-league","Legia",7,NA
"54","Zenit St Petersburg","UEFA Europa League","europa-league","Zenit",14,NA
"55","FK Partizan Belgrade","UEFA Europa League","europa-league","Partizan",12,NA
"56","Red Star Belgrade","UEFA Europa League","europa-league","Crvena zvezda (Srb)",11,NA
"57","Steaua Bucuresti","UEFA Europa League","europa-league","FCSB (Rou)",11,NA
"58","FC Spartak Trnava","UEFA Europa League","europa-league","Trnava",11,NA
"59","Apollon Limassol","UEFA Europa League","europa-league","Apollon",9,NA
"60","Istanbul Basaksehir","UEFA Europa League","europa-league","Basaksehir",9,NA
"61","SV Zulte Waregem","UEFA Europa League","europa-league","Waregem",9,NA
"62","Viktoria Plzen","UEFA Europa League","europa-league","Plzen",9,NA
"63","Borussia Dortmund","UEFA Europa League","europa-league","Dortmund",9,NA
"64","PAOK Salonika","UEFA Europa League","europa-league","PAOK",9,NA
"65","Akhisar Belediye","UEFA Europa League","europa-league","Akhisarspor",9,NA
"66","Internazionale","UEFA Europa League","europa-league","Inter",9,NA
