"","League","Matchup","MGM Market Name","BetRivers Market Name","Draftkings Market Name","Caesars Market Name","Fanduel Market Name","PointsBet Market Name","MGM Selection Name","BetRivers Selection Name","Draftkings Selection Name","Caesars Selection Name","Fanduel Selection Name","PointsBet Selection Name","MGM Odds","BetRivers Odds","Draftkings Odds","Caesars Odds","Fanduel Odds","PointsBet Odds","caesars","Time","update_time","selection"
"1","austria---bundesliga","Austria Vienna-BW Linz","Away Team - Total Goals (0.5) - 1st Half","Away Team Total Goals 0.5 - 1st Half","Away Team: Team Over/Under - 1st Half 0.5","1st Half Away Team Over/Under 0.5 Goals",NA,"away team total 1st half 0.5","Over 0.5","Over","Over","Over",NA,"Over 0.5",125,125,130,130,NA,125,"1st Half Away Team Over/Under 0.5 Goals","2023-10-07T15:00:00.0000000Z",2023-10-06 19:03:46.441613,"Over 0.5"
"2","austria---bundesliga","Austria Vienna-BW Linz","Away Team - Total Goals (0.5) - 1st Half","Away Team Total Goals 0.5 - 1st Half","Away Team: Team Over/Under - 1st Half 0.5","1st Half Away Team Over/Under 0.5 Goals",NA,"away team total 1st half 0.5","Under 0.5","Under","Under","Under",NA,"Under 0.5",-175,-200,-170,-170,NA,-175,"1st Half Away Team Over/Under 0.5 Goals","2023-10-07T15:00:00.0000000Z",2023-10-06 19:03:46.441613,"Under 0.5"
"3","austria---bundesliga","Austria Vienna-BW Linz","Away Team - Total Goals (1.5) - 1st Half",NA,"Away Team: Team Over/Under - 1st Half 1.5","1st Half Away Team Over/Under 1.5 Goals",NA,"away team total 1st half 1.5","Over 1.5",NA,"Over","Over",NA,"Over 1.5",700,NA,700,700,NA,600,"1st Half Away Team Over/Under 1.5 Goals","2023-10-07T15:00:00.0000000Z",2023-10-06 19:03:46.441613,"Over 1.5"
"4","austria---bundesliga","Austria Vienna-BW Linz","Away Team - Total Goals (1.5) - 1st Half",NA,"Away Team: Team Over/Under - 1st Half 1.5","1st Half Away Team Over/Under 1.5 Goals",NA,"away team total 1st half 1.5","Under 1.5",NA,"Under","Under",NA,"Under 1.5",-1429,NA,-1600,-1400,NA,-1499,"1st Half Away Team Over/Under 1.5 Goals","2023-10-07T15:00:00.0000000Z",2023-10-06 19:03:46.441613,"Under 1.5"
"5",NA,"Austria Vienna-BW Linz","Away Team - Total Goals (2.5) - 1st Half",NA,NA,"1st Half Away Team Over/Under 2.5 Goals",NA,NA,"Over 2.5",NA,NA,"Over",NA,NA,3000,NA,NA,2000,NA,NA,"1st Half Away Team Over/Under 2.5 Goals",NA,2023-10-06 19:03:46.441613,"Over 2.5"
"6",NA,"Austria Vienna-BW Linz","Away Team - Total Goals (2.5) - 1st Half",NA,NA,"1st Half Away Team Over/Under 2.5 Goals",NA,NA,"Under 2.5",NA,NA,"Under",NA,NA,NA,NA,NA,-10000,NA,NA,"1st Half Away Team Over/Under 2.5 Goals",NA,2023-10-06 19:03:46.441613,"Under 2.5"
"7",NA,"Austria Vienna-BW Linz",NA,NA,NA,"1st Half Away Team Over/Under 3.5 Goals",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,4000,NA,NA,"1st Half Away Team Over/Under 3.5 Goals",NA,2023-10-06 19:03:46.441613,"Over"
"8",NA,"Austria Vienna-BW Linz",NA,NA,NA,"1st Half Away Team Over/Under 3.5 Goals",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-75000,NA,NA,"1st Half Away Team Over/Under 3.5 Goals",NA,2023-10-06 19:03:46.441613,"Under"
"9",NA,"Austria Vienna-BW Linz",NA,NA,NA,"1st Half Away Team Over/Under 4.5 Goals",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,8000,NA,NA,"1st Half Away Team Over/Under 4.5 Goals",NA,2023-10-06 19:03:46.441613,"Over"
"10",NA,"Austria Vienna-BW Linz",NA,NA,NA,"1st Half Away Team Over/Under 4.5 Goals",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-1000000,NA,NA,"1st Half Away Team Over/Under 4.5 Goals",NA,2023-10-06 19:03:46.441613,"Under"
"11","austria---bundesliga","Austria Vienna-BW Linz","1st Half Result","Half Time","Moneyline 1st Half","1st Half Betting","Half-Time Result","half-time result","Austria Vienna","Austria Vienna","Austria Vienna","Austria Vienna","Austria Vienna","Austria Vienna",135,128,135,145,125,130,"1st Half Betting","2023-10-07T15:00:00.0000000Z",2023-10-06 19:03:46.441613,"Austria Vienna"
