"","League","Matchup","MGM Market Name","BetRivers Market Name","Draftkings Market Name","Caesars Market Name","Fanduel Market Name","PointsBet Market Name","MGM Selection Name","BetRivers Selection Name","Draftkings Selection Name","Caesars Selection Name","Fanduel Selection Name","PointsBet Selection Name","MGM Odds","BetRivers Odds","Draftkings Odds","Caesars Odds","Fanduel Odds","PointsBet Odds","caesars","Time","update_time","selection"
"1","bosnia---premier","-","1st Half Result","Half Time","Moneyline 1st Half",NA,"Half-Time Result","half-time result",NA,NA,NA,NA,NA,NA,110,148,450,NA,550,325,"1st Half Betting","2023-10-08T16:00:00.0000000Z",2023-10-08 08:56:28.834137,NA
"2","bosnia---premier","-","1st Half Result","Half Time","Moneyline 1st Half",NA,"Half-Time Result","half-time result",NA,NA,NA,NA,NA,NA,110,148,450,NA,550,150,"1st Half Betting","2023-10-08T16:00:00.0000000Z",2023-10-08 08:56:28.834137,NA
"3","bosnia---premier","-","1st Half Result","Half Time","Moneyline 1st Half",NA,"Half-Time Result","half-time result",NA,NA,NA,NA,NA,NA,110,148,450,NA,550,110,"1st Half Betting","2023-10-08T16:00:00.0000000Z",2023-10-08 08:56:28.834137,NA
"4","bosnia---premier","-","1st Half Result","Half Time","Moneyline 1st Half",NA,"Half-Time Result","half-time result",NA,NA,NA,NA,NA,NA,110,148,450,NA,550,450,"1st Half Betting","2023-10-08T16:00:00.0000000Z",2023-10-08 08:56:28.834137,NA
"5","bosnia---premier","-","1st Half Result","Half Time","Moneyline 1st Half",NA,"Half-Time Result","half-time result",NA,NA,NA,NA,NA,NA,110,148,450,NA,550,475,"1st Half Betting","2023-10-08T16:00:00.0000000Z",2023-10-08 08:56:28.834137,NA
"6","bosnia---premier","-","1st Half Result","Half Time","Moneyline 1st Half",NA,"Half-Time Result","half-time result",NA,NA,NA,NA,NA,"Draw",110,148,450,NA,550,125,"1st Half Betting","2023-10-08T16:00:00.0000000Z",2023-10-08 08:56:28.834137,"Draw"
"7","bosnia---premier","-","1st Half Result","Half Time","Moneyline 1st Half",NA,"Half-Time Result","half-time result",NA,NA,NA,NA,NA,"Draw",110,148,450,NA,550,120,"1st Half Betting","2023-10-08T16:00:00.0000000Z",2023-10-08 08:56:28.834137,"Draw"
"8","bosnia---premier","-","1st Half Result","Half Time","Moneyline 1st Half",NA,"Half-Time Result","half-time result","Draw","Draw","Draw",NA,"Draw","Draw",120,108,125,NA,120,110,"1st Half Betting","2023-10-08T16:00:00.0000000Z",2023-10-08 08:56:28.834137,"Draw"
"9","bosnia---premier","-","1st Half Result","Half Time","Moneyline 1st Half",NA,"Half-Time Result","half-time result",NA,"NK GOÅ K Gabela",NA,NA,NA,"Draw",110,350,450,NA,550,NA,"1st Half Betting","2023-10-08T16:00:00.0000000Z",2023-10-08 08:56:28.834137,"NK GOÅ K Gabela"
"10","bosnia---premier","-","1st Half Result","Half Time","Moneyline 1st Half",NA,"Half-Time Result","half-time result",NA,"Å iroki Brijeg",NA,NA,NA,"Draw",110,108,450,NA,550,NA,"1st Half Betting","2023-10-08T16:00:00.0000000Z",2023-10-08 08:56:28.834137,"Å iroki Brijeg"
