"","League","Matchup","MGM Market Name","BetRivers Market Name","Draftkings Market Name","Caesars Market Name","Fanduel Market Name","PointsBet Market Name","MGM Selection Name","BetRivers Selection Name","Draftkings Selection Name","Caesars Selection Name","Fanduel Selection Name","PointsBet Selection Name","MGM Odds","BetRivers Odds","Draftkings Odds","Caesars Odds","Fanduel Odds","PointsBet Odds","caesars","Time","update_time","selection"
"1",NA,"America MG-Vasco da Gama",NA,NA,NA,NA,"Away Team First Half Over/Under 0.5 Goals","away team total 1st half 0.5",NA,NA,NA,NA,"Over","Over 0.5",NA,NA,NA,NA,140,138,"1st Half Away Team Over/Under 0.5 Goals",NA,2023-09-21 18:00:20.370374,"Over"
"2",NA,"America MG-Vasco da Gama",NA,NA,NA,NA,"Away Team First Half Over/Under 0.5 Goals","away team total 1st half 0.5",NA,NA,NA,NA,"Under","Under 0.5",NA,NA,NA,NA,-180,-195,"1st Half Away Team Over/Under 0.5 Goals",NA,2023-09-21 18:00:20.370374,"Under"
"3",NA,"America MG-Vasco da Gama",NA,NA,NA,NA,"Away Team First Half Over/Under 1.5 Goals","away team total 1st half 1.5",NA,NA,NA,NA,"Over","Over 1.5",NA,NA,NA,NA,960,750,"1st Half Away Team Over/Under 1.5 Goals",NA,2023-09-21 18:00:20.370374,"Over"
"4",NA,"America MG-Vasco da Gama",NA,NA,NA,NA,"Away Team First Half Over/Under 1.5 Goals","away team total 1st half 1.5",NA,NA,NA,NA,"Under","Under 1.5",NA,NA,NA,NA,-1800,-2500,"1st Half Away Team Over/Under 1.5 Goals",NA,2023-09-21 18:00:20.370374,"Under"
"5",NA,"America MG-Vasco da Gama",NA,NA,NA,NA,"Away Team First Half Over/Under 2.5 Goals",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,6000,NA,"1st Half Away Team Over/Under 2.5 Goals",NA,2023-09-21 18:00:20.370374,"Over"
"6",NA,"America MG-Vasco da Gama",NA,NA,NA,NA,"Away Team First Half Over/Under 2.5 Goals",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-20000,NA,"1st Half Away Team Over/Under 2.5 Goals",NA,2023-09-21 18:00:20.370374,"Under"
"7",NA,"America MG-Vasco da Gama",NA,NA,NA,NA,"Away Team First Half Over/Under 3.5 Goals",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-100000,NA,"1st Half Away Team Over/Under 3.5 Goals",NA,2023-09-21 18:00:20.370374,"Under"
"8",NA,"America MG-Vasco da Gama",NA,NA,NA,NA,"Away Team First Half Over/Under 3.5 Goals",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,10000,NA,"1st Half Away Team Over/Under 3.5 Goals",NA,2023-09-21 18:00:20.370374,"Over"
"9",NA,"America MG-Vasco da Gama",NA,NA,NA,NA,"Away Team First Half Over/Under 4.5 Goals",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-100000,NA,"1st Half Away Team Over/Under 4.5 Goals",NA,2023-09-21 18:00:20.370374,"Under"
"10",NA,"America MG-Vasco da Gama",NA,NA,NA,NA,"Away Team First Half Over/Under 4.5 Goals",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,10000,NA,"1st Half Away Team Over/Under 4.5 Goals",NA,2023-09-21 18:00:20.370374,"Over"
