"","League","Matchup","MGM Market Name","BetRivers Market Name","Draftkings Market Name","Caesars Market Name","Fanduel Market Name","PointsBet Market Name","MGM Selection Name","BetRivers Selection Name","Draftkings Selection Name","Caesars Selection Name","Fanduel Selection Name","PointsBet Selection Name","MGM Odds","BetRivers Odds","Draftkings Odds","Caesars Odds","Fanduel Odds","PointsBet Odds","caesars","Time","update_time","selection"
"1",NA,"Birmingham-Huddersfield",NA,NA,NA,"1st Half Away Team Over/Under 0.5 Goals","Away Team First Half Over/Under 0.5 Goals",NA,NA,NA,NA,"Over","Over",NA,NA,NA,NA,160,146,NA,"1st Half Away Team Over/Under 0.5 Goals",NA,2023-09-25 10:08:04.224535,"Over"
"2",NA,"Birmingham-Huddersfield",NA,NA,NA,"1st Half Away Team Over/Under 0.5 Goals","Away Team First Half Over/Under 0.5 Goals",NA,NA,NA,NA,"Under","Under",NA,NA,NA,NA,-210,-186,NA,"1st Half Away Team Over/Under 0.5 Goals",NA,2023-09-25 10:08:04.224535,"Under"
"3",NA,"Birmingham-Huddersfield",NA,NA,NA,"1st Half Away Team Over/Under 1.5 Goals","Away Team First Half Over/Under 1.5 Goals",NA,NA,NA,NA,"Over","Over",NA,NA,NA,NA,800,1000,NA,"1st Half Away Team Over/Under 1.5 Goals",NA,2023-09-25 10:08:04.224535,"Over"
"4",NA,"Birmingham-Huddersfield",NA,NA,NA,"1st Half Away Team Over/Under 1.5 Goals","Away Team First Half Over/Under 1.5 Goals",NA,NA,NA,NA,"Under","Under",NA,NA,NA,NA,-2000,-2000,NA,"1st Half Away Team Over/Under 1.5 Goals",NA,2023-09-25 10:08:04.224535,"Under"
"5",NA,"Birmingham-Huddersfield",NA,NA,NA,"1st Half Away Team Over/Under 2.5 Goals","Away Team First Half Over/Under 2.5 Goals",NA,NA,NA,NA,"Over","Over",NA,NA,NA,NA,1800,6500,NA,"1st Half Away Team Over/Under 2.5 Goals",NA,2023-09-25 10:08:04.224535,"Over"
"6",NA,"Birmingham-Huddersfield",NA,NA,NA,"1st Half Away Team Over/Under 2.5 Goals","Away Team First Half Over/Under 2.5 Goals",NA,NA,NA,NA,"Under","Under",NA,NA,NA,NA,-20000,-20000,NA,"1st Half Away Team Over/Under 2.5 Goals",NA,2023-09-25 10:08:04.224535,"Under"
"7",NA,"Birmingham-Huddersfield",NA,NA,NA,"1st Half Away Team Over/Under 3.5 Goals","Away Team First Half Over/Under 3.5 Goals",NA,NA,NA,NA,"Over","Over",NA,NA,NA,NA,3000,10000,NA,"1st Half Away Team Over/Under 3.5 Goals",NA,2023-09-25 10:08:04.224535,"Over"
"8",NA,"Birmingham-Huddersfield",NA,NA,NA,"1st Half Away Team Over/Under 3.5 Goals","Away Team First Half Over/Under 3.5 Goals",NA,NA,NA,NA,"Under","Under",NA,NA,NA,NA,-100000,-100000,NA,"1st Half Away Team Over/Under 3.5 Goals",NA,2023-09-25 10:08:04.224535,"Under"
"9",NA,"Birmingham-Huddersfield",NA,NA,NA,NA,"Away Team First Half Over/Under 4.5 Goals",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-100000,NA,"1st Half Away Team Over/Under 4.5 Goals",NA,2023-09-25 10:08:04.224535,"Under"
"10",NA,"Birmingham-Huddersfield",NA,NA,NA,NA,"Away Team First Half Over/Under 4.5 Goals",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,10000,NA,"1st Half Away Team Over/Under 4.5 Goals",NA,2023-09-25 10:08:04.224535,"Over"
"11",NA,"Birmingham-Huddersfield",NA,NA,NA,"1st Half Betting","Half-Time Result",NA,NA,NA,NA,"Birmingham","Birmingham",NA,NA,NA,NA,175,170,NA,"1st Half Betting",NA,2023-09-25 10:08:04.224535,"Birmingham"
"12",NA,"Birmingham-Huddersfield",NA,NA,NA,"1st Half Betting","Half-Time Result",NA,NA,NA,NA,"Draw","Draw",NA,NA,NA,NA,-102,105,NA,"1st Half Betting",NA,2023-09-25 10:08:04.224535,"Draw"
"13",NA,"Birmingham-Huddersfield",NA,NA,NA,"1st Half Betting","Half-Time Result",NA,NA,NA,NA,"Huddersfield","Huddersfield",NA,NA,NA,NA,295,310,NA,"1st Half Betting",NA,2023-09-25 10:08:04.224535,"Huddersfield"
"14",NA,"Birmingham-Huddersfield",NA,NA,NA,NA,"First Half Spread 1",NA,NA,NA,NA,NA,"Huddersfield",NA,NA,NA,NA,NA,-250,NA,"1st Half Handicap +1",NA,2023-09-25 10:08:04.224535,"Huddersfield"
"15",NA,"Birmingham-Huddersfield",NA,NA,NA,NA,"First Half Spread -1",NA,NA,NA,NA,NA,"Birmingham",NA,NA,NA,NA,NA,800,NA,"1st Half Handicap -1",NA,2023-09-25 10:08:04.224535,"Birmingham"
"16",NA,"Birmingham-Huddersfield",NA,NA,NA,NA,"First Half Spread -1",NA,NA,NA,NA,NA,"Handicap Draw",NA,NA,NA,NA,NA,250,NA,"1st Half Handicap -1",NA,2023-09-25 10:08:04.224535,"Handicap Draw"
"17",NA,"Birmingham-Huddersfield",NA,NA,NA,"1st Half Home Team Over/Under 0.5 Goals","Home Team First Half Over/Under 0.5 Goals",NA,NA,NA,NA,"Over","Over",NA,NA,NA,NA,100,-106,NA,"1st Half Home Team Over/Under 0.5 Goals",NA,2023-09-25 10:08:04.224535,"Over"
"18",NA,"Birmingham-Huddersfield",NA,NA,NA,"1st Half Home Team Over/Under 0.5 Goals","Home Team First Half Over/Under 0.5 Goals",NA,NA,NA,NA,"Under","Under",NA,NA,NA,NA,-130,-120,NA,"1st Half Home Team Over/Under 0.5 Goals",NA,2023-09-25 10:08:04.224535,"Under"
"19",NA,"Birmingham-Huddersfield",NA,NA,NA,"1st Half Home Team Over/Under 1.5 Goals","Home Team First Half Over/Under 1.5 Goals",NA,NA,NA,NA,"Over","Over",NA,NA,NA,NA,450,580,NA,"1st Half Home Team Over/Under 1.5 Goals",NA,2023-09-25 10:08:04.224535,"Over"
"20",NA,"Birmingham-Huddersfield",NA,NA,NA,"1st Half Home Team Over/Under 1.5 Goals","Home Team First Half Over/Under 1.5 Goals",NA,NA,NA,NA,"Under","Under",NA,NA,NA,NA,-800,-1000,NA,"1st Half Home Team Over/Under 1.5 Goals",NA,2023-09-25 10:08:04.224535,"Under"
"21",NA,"Birmingham-Huddersfield",NA,NA,NA,"1st Half Home Team Over/Under 2.5 Goals","Home Team First Half Over/Under 2.5 Goals",NA,NA,NA,NA,"Over","Over",NA,NA,NA,NA,1200,3100,NA,"1st Half Home Team Over/Under 2.5 Goals",NA,2023-09-25 10:08:04.224535,"Over"
"22",NA,"Birmingham-Huddersfield",NA,NA,NA,"1st Half Home Team Over/Under 2.5 Goals","Home Team First Half Over/Under 2.5 Goals",NA,NA,NA,NA,"Under","Under",NA,NA,NA,NA,-7500,-8000,NA,"1st Half Home Team Over/Under 2.5 Goals",NA,2023-09-25 10:08:04.224535,"Under"
"23",NA,"Birmingham-Huddersfield",NA,NA,NA,"1st Half Home Team Over/Under 3.5 Goals","Home Team First Half Over/Under 3.5 Goals",NA,NA,NA,NA,"Over","Over",NA,NA,NA,NA,2500,10000,NA,"1st Half Home Team Over/Under 3.5 Goals",NA,2023-09-25 10:08:04.224535,"Over"
