"","Time","League","Matchup","MGM Market Name","BetRivers Market Name","Draftkings Market Name","Caesars Market Name","Fanduel Market Name","PointsBet Market Name","MGM Selection Name","BetRivers Selection Name","Draftkings Selection Name","Caesars Selection Name","Fanduel Selection","PointsBet Selection","MGM Odds","BetRivers Odds","Draftkings Odds","Caesars Odds","Fanduel Odds","PointsBet Odds","update_time"
"1","2023-08-30T10:30:00Z","China FA Cup","Dalian Pro-Tianjin Teda","1st Half - Total Goals (0.5)","Total Goals - 1st Half 0.5","Over/Under - 1st Half 0.5","1st Half Over/Under 0.5 Goals","1st Half Over/Under 0.5 Goals","1st half goals 0.5","Over 0.5","Over","Over","Over 0.5","Over 0.5","Over 0.5",-238,-265,-260,-190,-215,-240,2023-08-29 22:50:04.6204
"2","2023-08-30T10:30:00Z","China FA Cup","Dalian Pro-Tianjin Teda","1st Half - Total Goals (0.5)","Total Goals - 1st Half 0.5","Over/Under - 1st Half 0.5","1st Half Over/Under 0.5 Goals","1st Half Over/Under 0.5 Goals","1st half goals 0.5","Under 0.5","Under","Under","Under 0.5","Under 0.5","Under 0.5",160,175,175,150,166,165,2023-08-29 22:50:04.6204
"3","2023-08-31T11:35:00Z","China FA Cup","-","1st Half - Total Goals (0.5)","Total Goals - 1st Half 0.5","Over/Under - 1st Half 0.5",NA,"1st Half Over/Under 0.5 Goals","1st half goals 0.5","Over 0.5","Over","Over",NA,"Over 0.5","Over 0.5",-286,-278,-240,NA,-205,-230,2023-08-29 22:50:04.6204
"4","2023-08-31T11:35:00Z","China FA Cup","-","1st Half - Total Goals (0.5)","Total Goals - 1st Half 0.5","Over/Under - 1st Half 0.5",NA,"1st Half Over/Under 0.5 Goals","1st half goals 0.5","Under 0.5","Under","Under",NA,"Under 0.5","Under 0.5",190,190,165,NA,158,160,2023-08-29 22:50:04.6204
"5","2023-08-30T10:30:00Z","China FA Cup","Dalian Pro-Tianjin Teda","1st Half - Total Goals (1.5)","Total Goals - 1st Half 1.5","Over/Under - 1st Half 1.5","1st Half Over/Under 1.5 Goals","1st Half Over/Under 1.5 Goals",NA,"Over 1.5","Over","Over","Over 1.5","Over 1.5",NA,200,205,200,220,230,NA,2023-08-29 22:50:04.6204
"6","2023-08-30T10:30:00Z","China FA Cup","Dalian Pro-Tianjin Teda","1st Half - Total Goals (1.5)","Total Goals - 1st Half 1.5","Over/Under - 1st Half 1.5","1st Half Over/Under 1.5 Goals","1st Half Over/Under 1.5 Goals",NA,"Under 1.5","Under","Under","Under 1.5","Under 1.5",NA,-294,-305,-310,-290,-320,NA,2023-08-29 22:50:04.6204
"7","2023-08-31T11:35:00Z","China FA Cup","-","1st Half - Total Goals (1.5)","Total Goals - 1st Half 1.5","Over/Under - 1st Half 1.5",NA,"1st Half Over/Under 1.5 Goals","1st half goals 1.5","Over 1.5","Over","Over",NA,"Over 1.5","Over 1.5",160,210,210,NA,245,180,2023-08-29 22:50:04.6204
"8","2023-08-31T11:35:00Z","China FA Cup","-","1st Half - Total Goals (1.5)","Total Goals - 1st Half 1.5","Over/Under - 1st Half 1.5",NA,"1st Half Over/Under 1.5 Goals","1st half goals 1.5","Under 1.5","Under","Under",NA,"Under 1.5","Under 1.5",-233,-315,-330,NA,-350,-260,2023-08-29 22:50:04.6204
"9","2023-08-30T10:30:00Z","China FA Cup","Dalian Pro-Tianjin Teda","Correct Score","Correct Score","Correct Score","Correct Score","Correct Score","correct score","Any other score","Tianjin Teda","Tianjin Teda","Tianjin Teda 1-0","Tianjin Teda","Tianjin Teda",NA,525,NA,NA,NA,NA,2023-08-29 22:50:04.6204
"10","2023-08-30T10:30:00Z","China FA Cup","Dalian Pro-Tianjin Teda","Correct Score","Correct Score","Correct Score","Correct Score","Correct Score","correct score","Dalian Pro","Dalian Pro","Dalian Pro","Dalian Pro 1-0","Dalian Pro","Dalian Pro",950,1100,800,1000,1100,1100,2023-08-29 22:50:04.6204
