"","League","Matchup","MGM Market Name","BetRivers Market Name","Draftkings Market Name","Caesars Market Name","Fanduel Market Name","PointsBet Market Name","MGM Selection Name","BetRivers Selection Name","Draftkings Selection Name","Caesars Selection Name","Fanduel Selection Name","PointsBet Selection Name","MGM Odds","BetRivers Odds","Draftkings Odds","Caesars Odds","Fanduel Odds","PointsBet Odds","caesars","Time","update_time","selection"
"1","world-cup-south-america-qualifying","Brazil-Argentina","Away Team - Total Goals (0.5) - 1st Half","Away Team Total Goals 0.5 - 1st Half","Away Team: Team Over/Under - 1st Half 0.5","1st Half Away Team Over/Under 0.5 Goals","Away Team First Half Over/Under 0.5 Goals","away team total 1st half 0.5","Over 0.5","Over","Over","Over","Over","Over 0.5",150,155,155,170,156,155,"1st Half Away Team Over/Under 0.5 Goals","2023-11-22T00:30:00.0000000Z",2023-11-20 21:43:40.353203,"Over 0.5"
"2","world-cup-south-america-qualifying","Brazil-Argentina","Away Team - Total Goals (0.5) - 1st Half","Away Team Total Goals 0.5 - 1st Half","Away Team: Team Over/Under - 1st Half 0.5","1st Half Away Team Over/Under 0.5 Goals","Away Team First Half Over/Under 0.5 Goals","away team total 1st half 0.5","Under 0.5","Under","Under","Under","Under","Under 0.5",-217,-225,-205,-210,-205,-220,"1st Half Away Team Over/Under 0.5 Goals","2023-11-22T00:30:00.0000000Z",2023-11-20 21:43:40.353203,"Under 0.5"
"3","world-cup-south-america-qualifying","Brazil-Argentina","Away Team - Total Goals (1.5) - 1st Half",NA,"Away Team: Team Over/Under - 1st Half 1.5","1st Half Away Team Over/Under 1.5 Goals","Away Team First Half Over/Under 1.5 Goals","away team total 1st half 1.5","Over 1.5",NA,"Over","Over","Over","Over 1.5",900,NA,900,900,1040,825,"1st Half Away Team Over/Under 1.5 Goals","2023-11-22T00:30:00.0000000Z",2023-11-20 21:43:40.353203,"Over 1.5"
"4","world-cup-south-america-qualifying","Brazil-Argentina","Away Team - Total Goals (1.5) - 1st Half",NA,"Away Team: Team Over/Under - 1st Half 1.5","1st Half Away Team Over/Under 1.5 Goals","Away Team First Half Over/Under 1.5 Goals","away team total 1st half 1.5","Under 1.5",NA,"Under","Under","Under","Under 1.5",-2222,NA,-2500,-1800,-2000,-3333,"1st Half Away Team Over/Under 1.5 Goals","2023-11-22T00:30:00.0000000Z",2023-11-20 21:43:40.353203,"Under 1.5"
"5",NA,"Brazil-Argentina","Away Team - Total Goals (2.5) - 1st Half",NA,NA,"1st Half Away Team Over/Under 2.5 Goals","Away Team First Half Over/Under 2.5 Goals",NA,"Over 2.5",NA,NA,"Over","Over",NA,3500,NA,NA,2800,7500,NA,"1st Half Away Team Over/Under 2.5 Goals",NA,2023-11-20 21:43:40.353203,"Over 2.5"
"6",NA,"Brazil-Argentina","Away Team - Total Goals (2.5) - 1st Half",NA,NA,"1st Half Away Team Over/Under 2.5 Goals","Away Team First Half Over/Under 2.5 Goals",NA,"Under 2.5",NA,NA,"Under","Under",NA,NA,NA,NA,-15000,-20000,NA,"1st Half Away Team Over/Under 2.5 Goals",NA,2023-11-20 21:43:40.353203,"Under 2.5"
"7",NA,"Brazil-Argentina",NA,NA,NA,"1st Half Away Team Over/Under 3.5 Goals","Away Team First Half Over/Under 3.5 Goals",NA,NA,NA,NA,"Over","Over",NA,NA,NA,NA,5000,10000,NA,"1st Half Away Team Over/Under 3.5 Goals",NA,2023-11-20 21:43:40.353203,"Over"
"8",NA,"Brazil-Argentina",NA,NA,NA,"1st Half Away Team Over/Under 3.5 Goals","Away Team First Half Over/Under 3.5 Goals",NA,NA,NA,NA,"Under","Under",NA,NA,NA,NA,-100000,-100000,NA,"1st Half Away Team Over/Under 3.5 Goals",NA,2023-11-20 21:43:40.353203,"Under"
"9",NA,"Brazil-Argentina",NA,NA,NA,"1st Half Away Team Over/Under 4.5 Goals","Away Team First Half Over/Under 4.5 Goals",NA,NA,NA,NA,"Over","Over",NA,NA,NA,NA,6000,10000,NA,"1st Half Away Team Over/Under 4.5 Goals",NA,2023-11-20 21:43:40.353203,"Over"
"10",NA,"Brazil-Argentina",NA,NA,NA,"1st Half Away Team Over/Under 4.5 Goals","Away Team First Half Over/Under 4.5 Goals",NA,NA,NA,NA,"Under","Under",NA,NA,NA,NA,-200000,-100000,NA,"1st Half Away Team Over/Under 4.5 Goals",NA,2023-11-20 21:43:40.353203,"Under"
