"","League","Matchup","MGM Market Name","BetRivers Market Name","Draftkings Market Name","Caesars Market Name","Fanduel Market Name","PointsBet Market Name","MGM Selection Name","BetRivers Selection Name","Draftkings Selection Name","Caesars Selection Name","Fanduel Selection Name","PointsBet Selection Name","MGM Odds","BetRivers Odds","Draftkings Odds","Caesars Odds","Fanduel Odds","PointsBet Odds","caesars","Time","update_time","selection"
"1",NA,"Hajduk Split-Dinamo Zagreb","Away Team - Total Goals (0.5) - 1st Half","Away Team Total Goals 0.5 - 1st Half",NA,"1st Half Away Team Over/Under 0.5 Goals",NA,"away team total 1st half 0.5","Over 0.5","Over",NA,"Over",NA,"Over 0.5",-100,-103,NA,115,NA,102,"1st Half Away Team Over/Under 0.5 Goals",NA,2023-09-30 17:20:52.917377,"Over 0.5"
"2",NA,"Hajduk Split-Dinamo Zagreb","Away Team - Total Goals (0.5) - 1st Half","Away Team Total Goals 0.5 - 1st Half",NA,"1st Half Away Team Over/Under 0.5 Goals",NA,"away team total 1st half 0.5","Under 0.5","Under",NA,"Under",NA,"Under 0.5",-141,-155,NA,-145,NA,-140,"1st Half Away Team Over/Under 0.5 Goals",NA,2023-09-30 17:20:52.917377,"Under 0.5"
"3",NA,"Hajduk Split-Dinamo Zagreb","Away Team - Total Goals (1.5) - 1st Half",NA,NA,"1st Half Away Team Over/Under 1.5 Goals",NA,NA,"Over 1.5",NA,NA,"Over",NA,NA,525,NA,NA,550,NA,NA,"1st Half Away Team Over/Under 1.5 Goals",NA,2023-09-30 17:20:52.917377,"Over 1.5"
"4",NA,"Hajduk Split-Dinamo Zagreb","Away Team - Total Goals (1.5) - 1st Half",NA,NA,"1st Half Away Team Over/Under 1.5 Goals",NA,NA,"Under 1.5",NA,NA,"Under",NA,NA,-1000,NA,NA,-900,NA,NA,"1st Half Away Team Over/Under 1.5 Goals",NA,2023-09-30 17:20:52.917377,"Under 1.5"
"5",NA,"Hajduk Split-Dinamo Zagreb","Away Team - Total Goals (2.5) - 1st Half",NA,NA,"1st Half Away Team Over/Under 2.5 Goals",NA,NA,"Over 2.5",NA,NA,"Over",NA,NA,2200,NA,NA,1600,NA,NA,"1st Half Away Team Over/Under 2.5 Goals",NA,2023-09-30 17:20:52.917377,"Over 2.5"
"6",NA,"Hajduk Split-Dinamo Zagreb","Away Team - Total Goals (2.5) - 1st Half",NA,NA,"1st Half Away Team Over/Under 2.5 Goals",NA,NA,"Under 2.5",NA,NA,"Under",NA,NA,-50000,NA,NA,-8000,NA,NA,"1st Half Away Team Over/Under 2.5 Goals",NA,2023-09-30 17:20:52.917377,"Under 2.5"
"7",NA,"Hajduk Split-Dinamo Zagreb",NA,NA,NA,"1st Half Away Team Over/Under 3.5 Goals",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,3500,NA,NA,"1st Half Away Team Over/Under 3.5 Goals",NA,2023-09-30 17:20:52.917377,"Over"
"8",NA,"Hajduk Split-Dinamo Zagreb",NA,NA,NA,"1st Half Away Team Over/Under 3.5 Goals",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-50000,NA,NA,"1st Half Away Team Over/Under 3.5 Goals",NA,2023-09-30 17:20:52.917377,"Under"
"9",NA,"Hajduk Split-Dinamo Zagreb",NA,NA,NA,"1st Half Away Team Over/Under 4.5 Goals",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,7000,NA,NA,"1st Half Away Team Over/Under 4.5 Goals",NA,2023-09-30 17:20:52.917377,"Over"
"10",NA,"Hajduk Split-Dinamo Zagreb",NA,NA,NA,"1st Half Away Team Over/Under 4.5 Goals",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-500000,NA,NA,"1st Half Away Team Over/Under 4.5 Goals",NA,2023-09-30 17:20:52.917377,"Under"
"11","croatia---1.hnl","Hajduk Split-Dinamo Zagreb","1st Half Result","Half Time","Moneyline 1st Half","1st Half Betting","Half-Time Result","half-time result","Dinamo Zagreb","Dinamo Zagreb","Dinamo Zagreb","Dinamo Zagreb","Dinamo Zagreb","Dinamo Zagreb",195,210,195,205,200,200,"1st Half Betting","2023-10-01T16:00:00.0000000Z",2023-09-30 17:20:52.917377,"Dinamo Zagreb"
"12","croatia---1.hnl","Hajduk Split-Dinamo Zagreb","1st Half Result","Half Time","Moneyline 1st Half","1st Half Betting","Half-Time Result","half-time result","Draw","Draw","Draw","Draw","Draw","Draw",110,112,100,-105,110,110,"1st Half Betting","2023-10-01T16:00:00.0000000Z",2023-09-30 17:20:52.917377,"Draw"
"13","croatia---1.hnl","Hajduk Split-Dinamo Zagreb","1st Half Result","Half Time","Moneyline 1st Half","1st Half Betting","Half-Time Result","half-time result","Hajduk Split","Hajduk Split","Hajduk Split","Hajduk Split","Hajduk Split","Hajduk Split",230,235,225,250,240,225,"1st Half Betting","2023-10-01T16:00:00.0000000Z",2023-09-30 17:20:52.917377,"Hajduk Split"
"14",NA,"Hajduk Split-Dinamo Zagreb","3way Handicap (1) - 1st Half","3-Way Spread - 1st Half 1",NA,"1st Half Handicap +1",NA,NA,"Dinamo Zagreb","Dinamo Zagreb",NA,"Dinamo Zagreb",NA,NA,-345,-420,NA,-440,NA,NA,"1st Half Handicap +1",NA,2023-09-30 17:20:52.917377,"Dinamo Zagreb"
"15",NA,"Hajduk Split-Dinamo Zagreb","3way Handicap (1) - 1st Half","3-Way Spread - 1st Half 1",NA,"1st Half Handicap +1",NA,NA,"Hajduk Split","Hajduk Split",NA,"Dinamo Zagreb",NA,NA,-294,-375,NA,NA,NA,NA,"1st Half Handicap +1",NA,2023-09-30 17:20:52.917377,"Hajduk Split"
"16",NA,"Hajduk Split-Dinamo Zagreb",NA,NA,NA,"1st Half Handicap +2",NA,NA,NA,NA,NA,"Dinamo Zagreb",NA,NA,NA,NA,NA,-5000,NA,NA,"1st Half Handicap +2",NA,2023-09-30 17:20:52.917377,"Dinamo Zagreb"
"17",NA,"Hajduk Split-Dinamo Zagreb",NA,NA,NA,"1st Half Handicap +3",NA,NA,NA,NA,NA,"Dinamo Zagreb",NA,NA,NA,NA,NA,-30000,NA,NA,"1st Half Handicap +3",NA,2023-09-30 17:20:52.917377,"Dinamo Zagreb"
"18",NA,"Hajduk Split-Dinamo Zagreb","3way Handicap (-1) - 1st Half","3-Way Spread - 1st Half -1",NA,"1st Half Handicap -1",NA,NA,"Hajduk Split","Hajduk Split",NA,"Hajduk Split",NA,NA,950,1050,NA,1100,NA,NA,"1st Half Handicap -1",NA,2023-09-30 17:20:52.917377,"Hajduk Split"
"19",NA,"Hajduk Split-Dinamo Zagreb","3way Handicap (-1) - 1st Half","3-Way Spread - 1st Half -1",NA,"1st Half Handicap -1",NA,NA,"Hajduk Split","Hajduk Split",NA,"Tie ",NA,NA,NA,1050,NA,340,NA,NA,"1st Half Handicap -1",NA,2023-09-30 17:20:52.917377,"Hajduk Split"
"20",NA,"Hajduk Split-Dinamo Zagreb","3way Handicap (-1) - 1st Half","3-Way Spread - 1st Half -1",NA,"1st Half Handicap -1",NA,NA,"Dinamo Zagreb","Dinamo Zagreb",NA,"Tie ",NA,NA,825,950,NA,NA,NA,NA,"1st Half Handicap -1",NA,2023-09-30 17:20:52.917377,"Dinamo Zagreb"
"21",NA,"Hajduk Split-Dinamo Zagreb",NA,NA,NA,"1st Half Handicap -2",NA,NA,NA,NA,NA,"Hajduk Split",NA,NA,NA,NA,NA,2700,NA,NA,"1st Half Handicap -2",NA,2023-09-30 17:20:52.917377,"Hajduk Split"
"22",NA,"Hajduk Split-Dinamo Zagreb",NA,NA,NA,"1st Half Handicap -2",NA,NA,NA,NA,NA,"Tie ",NA,NA,NA,NA,NA,1100,NA,NA,"1st Half Handicap -2",NA,2023-09-30 17:20:52.917377,"Tie "
"23",NA,"Hajduk Split-Dinamo Zagreb",NA,NA,NA,"1st Half Handicap -3",NA,NA,NA,NA,NA,"Tie ",NA,NA,NA,NA,NA,2800,NA,NA,"1st Half Handicap -3",NA,2023-09-30 17:20:52.917377,"Tie "
