"","League","Matchup","MGM Market Name","BetRivers Market Name","Draftkings Market Name","Caesars Market Name","Fanduel Market Name","PointsBet Market Name","MGM Selection Name","BetRivers Selection Name","Draftkings Selection Name","Caesars Selection Name","Fanduel Selection Name","PointsBet Selection Name","MGM Odds","BetRivers Odds","Draftkings Odds","Caesars Odds","Fanduel Odds","PointsBet Odds","caesars","Time","update_time","selection"
"1","cyprus---1st-div","AEK Larnaca-Nea Salamis",NA,NA,"Moneyline 1st Half",NA,"Half-Time Result",NA,NA,NA,"AEK Larnaca",NA,"AEK Larnaca",NA,NA,NA,110,NA,110,NA,"1st Half Betting","2023-09-30T16:00:00.0000000Z",2023-09-27 08:30:12.336933,"AEK Larnaca"
"2","cyprus---1st-div","AEK Larnaca-Nea Salamis",NA,NA,"Moneyline 1st Half",NA,"Half-Time Result",NA,NA,NA,"Draw",NA,"Draw",NA,NA,NA,125,NA,125,NA,"1st Half Betting","2023-09-30T16:00:00.0000000Z",2023-09-27 08:30:12.336933,"Draw"
"3","cyprus---1st-div","AEK Larnaca-Nea Salamis",NA,NA,"Moneyline 1st Half",NA,"Half-Time Result",NA,NA,NA,"Nea Salamis",NA,"Nea Salamis",NA,NA,NA,340,NA,420,NA,"1st Half Betting","2023-09-30T16:00:00.0000000Z",2023-09-27 08:30:12.336933,"Nea Salamis"
"4","cyprus---1st-div","AEK Larnaca-Nea Salamis",NA,NA,"Over/Under - 1st Half 0.5",NA,"1st Half Over/Under 0.5 Goals",NA,NA,NA,"Over",NA,"Over 0.5",NA,NA,NA,-380,NA,-320,NA,"1st Half Over/Under 0.5 Goals","2023-09-30T16:00:00.0000000Z",2023-09-27 08:30:12.336933,"Over"
"5","cyprus---1st-div","AEK Larnaca-Nea Salamis",NA,NA,"Over/Under - 1st Half 0.5",NA,"1st Half Over/Under 0.5 Goals",NA,NA,NA,"Under",NA,"Under 0.5",NA,NA,NA,230,NA,235,NA,"1st Half Over/Under 0.5 Goals","2023-09-30T16:00:00.0000000Z",2023-09-27 08:30:12.336933,"Under"
"6","cyprus---1st-div","AEK Larnaca-Nea Salamis",NA,NA,"Over/Under - 1st Half 1.5",NA,"1st Half Over/Under 1.5 Goals",NA,NA,NA,"Over",NA,"Over 1.5",NA,NA,NA,140,NA,154,NA,"1st Half Over/Under 1.5 Goals","2023-09-30T16:00:00.0000000Z",2023-09-27 08:30:12.336933,"Over"
"7","cyprus---1st-div","AEK Larnaca-Nea Salamis",NA,NA,"Over/Under - 1st Half 1.5",NA,"1st Half Over/Under 1.5 Goals",NA,NA,NA,"Under",NA,"Under 1.5",NA,NA,NA,-215,NA,-200,NA,"1st Half Over/Under 1.5 Goals","2023-09-30T16:00:00.0000000Z",2023-09-27 08:30:12.336933,"Under"
"8","cyprus---1st-div","AEK Larnaca-Nea Salamis",NA,NA,"Over/Under - 1st Half 2.5",NA,"1st Half Over/Under 2.5 Goals",NA,NA,NA,"Over",NA,"Over 2.5",NA,NA,NA,450,NA,560,NA,"1st Half Over/Under 2.5 Goals","2023-09-30T16:00:00.0000000Z",2023-09-27 08:30:12.336933,"Over"
"9","cyprus---1st-div","AEK Larnaca-Nea Salamis",NA,NA,"Over/Under - 1st Half 2.5",NA,"1st Half Over/Under 2.5 Goals",NA,NA,NA,"Under",NA,"Under 2.5",NA,NA,NA,-1100,NA,-950,NA,"1st Half Over/Under 2.5 Goals","2023-09-30T16:00:00.0000000Z",2023-09-27 08:30:12.336933,"Under"
"10","cyprus---1st-div","AEK Larnaca-Nea Salamis",NA,NA,"Moneyline",NA,"Moneyline","match result",NA,NA,"AEK Larnaca",NA,"AEK Larnaca","AEK Larnaca",NA,NA,-155,NA,-165,-155,"90 Minutes","2023-09-30T16:00:00.0000000Z",2023-09-27 08:30:12.336933,"AEK Larnaca"
"11","cyprus---1st-div","AEK Larnaca-Nea Salamis",NA,NA,"Moneyline",NA,"Moneyline","match result",NA,NA,"Draw",NA,"Draw","Draw",NA,NA,280,NA,290,300,"90 Minutes","2023-09-30T16:00:00.0000000Z",2023-09-27 08:30:12.336933,"Draw"
"12","cyprus---1st-div","AEK Larnaca-Nea Salamis",NA,NA,"Moneyline",NA,"Moneyline","match result",NA,NA,"Nea Salamis",NA,"Nea Salamis","Nea Salamis",NA,NA,330,NA,390,375,"90 Minutes","2023-09-30T16:00:00.0000000Z",2023-09-27 08:30:12.336933,"Nea Salamis"
"13","cyprus---1st-div","AEK Larnaca-Nea Salamis",NA,NA,"Away Team: Team Over/Under 0.5",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,160,NA,NA,NA,"Away Team Over/Under 0.5 Goals","2023-09-30T16:00:00.0000000Z",2023-09-27 08:30:12.336933,"Under"
"14","cyprus---1st-div","AEK Larnaca-Nea Salamis",NA,NA,"Away Team: Team Over/Under 0.5",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,-255,NA,NA,NA,"Away Team Over/Under 0.5 Goals","2023-09-30T16:00:00.0000000Z",2023-09-27 08:30:12.336933,"Over"
"15","cyprus---1st-div","AEK Larnaca-Nea Salamis",NA,NA,"Away Team: Team Over/Under 1.5",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,200,NA,NA,NA,"Away Team Over/Under 1.5 Goals","2023-09-30T16:00:00.0000000Z",2023-09-27 08:30:12.336933,"Over"
"16","cyprus---1st-div","AEK Larnaca-Nea Salamis",NA,NA,"Away Team: Team Over/Under 1.5",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-330,NA,NA,NA,"Away Team Over/Under 1.5 Goals","2023-09-30T16:00:00.0000000Z",2023-09-27 08:30:12.336933,"Under"
"17","cyprus---1st-div","AEK Larnaca-Nea Salamis",NA,NA,"Away Team: Team Over/Under 2.5",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,650,NA,NA,NA,"Away Team Over/Under 2.5 Goals","2023-09-30T16:00:00.0000000Z",2023-09-27 08:30:12.336933,"Over"
"18","cyprus---1st-div","AEK Larnaca-Nea Salamis",NA,NA,"Away Team: Team Over/Under 2.5",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-2500,NA,NA,NA,"Away Team Over/Under 2.5 Goals","2023-09-30T16:00:00.0000000Z",2023-09-27 08:30:12.336933,"Under"
"19","cyprus---1st-div","AEK Larnaca-Nea Salamis",NA,NA,"Both Teams to Score",NA,"Both Teams To Score",NA,NA,NA,"No",NA,"No",NA,NA,NA,110,NA,114,NA,"Both Teams To Score","2023-09-30T16:00:00.0000000Z",2023-09-27 08:30:12.336933,"No"
