"","League","Matchup","MGM Market Name","BetRivers Market Name","Draftkings Market Name","Caesars Market Name","Fanduel Market Name","PointsBet Market Name","MGM Selection Name","BetRivers Selection Name","Draftkings Selection Name","Caesars Selection Name","Fanduel Selection Name","PointsBet Selection Name","MGM Odds","BetRivers Odds","Draftkings Odds","Caesars Odds","Fanduel Odds","PointsBet Odds","caesars","Time","update_time","selection"
"1","czech-republic---first-league","Hradec Kralove-Sparta Prague","Away Team - Total Goals (0.5) - 1st Half","Away Team Total Goals 0.5 - 1st Half","Away Team: Team Over/Under - 1st Half 0.5","1st Half Away Team Over/Under 0.5 Goals",NA,"away team total 1st half 0.5","Over 0.5","Over","Over","Over",NA,"Over 0.5",-182,-220,-185,-160,NA,-190,"1st Half Away Team Over/Under 0.5 Goals","2023-10-08T13:00:00.0000000Z",2023-10-07 14:07:04.232904,"Over 0.5"
"2","czech-republic---first-league","Hradec Kralove-Sparta Prague","Away Team - Total Goals (0.5) - 1st Half","Away Team Total Goals 0.5 - 1st Half","Away Team: Team Over/Under - 1st Half 0.5","1st Half Away Team Over/Under 0.5 Goals",NA,"away team total 1st half 0.5","Under 0.5","Under","Under","Under",NA,"Under 0.5",125,133,140,125,NA,135,"1st Half Away Team Over/Under 0.5 Goals","2023-10-08T13:00:00.0000000Z",2023-10-07 14:07:04.232904,"Under 0.5"
"3","czech-republic---first-league","Hradec Kralove-Sparta Prague","Away Team - Total Goals (1.5) - 1st Half",NA,"Away Team: Team Over/Under - 1st Half 1.5","1st Half Away Team Over/Under 1.5 Goals",NA,NA,"Over 1.5",NA,"Over","Over",NA,NA,270,NA,300,280,NA,NA,"1st Half Away Team Over/Under 1.5 Goals","2023-10-08T13:00:00.0000000Z",2023-10-07 14:07:04.232904,"Over 1.5"
"4","czech-republic---first-league","Hradec Kralove-Sparta Prague","Away Team - Total Goals (1.5) - 1st Half",NA,"Away Team: Team Over/Under - 1st Half 1.5","1st Half Away Team Over/Under 1.5 Goals",NA,NA,"Under 1.5",NA,"Under","Under",NA,NA,-417,NA,-425,-400,NA,NA,"1st Half Away Team Over/Under 1.5 Goals","2023-10-08T13:00:00.0000000Z",2023-10-07 14:07:04.232904,"Under 1.5"
"5","czech-republic---first-league","Hradec Kralove-Sparta Prague","Away Team - Total Goals (2.5) - 1st Half",NA,"Away Team: Team Over/Under - 1st Half 2.5","1st Half Away Team Over/Under 2.5 Goals",NA,NA,"Over 2.5",NA,"Over","Over",NA,NA,1000,NA,1000,900,NA,NA,"1st Half Away Team Over/Under 2.5 Goals","2023-10-08T13:00:00.0000000Z",2023-10-07 14:07:04.232904,"Over 2.5"
"6","czech-republic---first-league","Hradec Kralove-Sparta Prague","Away Team - Total Goals (2.5) - 1st Half",NA,"Away Team: Team Over/Under - 1st Half 2.5","1st Half Away Team Over/Under 2.5 Goals",NA,NA,"Under 2.5",NA,"Under","Under",NA,NA,-2500,NA,-4000,-2000,NA,NA,"1st Half Away Team Over/Under 2.5 Goals","2023-10-08T13:00:00.0000000Z",2023-10-07 14:07:04.232904,"Under 2.5"
"7",NA,"Hradec Kralove-Sparta Prague",NA,NA,NA,"1st Half Away Team Over/Under 3.5 Goals",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,2000,NA,NA,"1st Half Away Team Over/Under 3.5 Goals",NA,2023-10-07 14:07:04.232904,"Over"
"8",NA,"Hradec Kralove-Sparta Prague",NA,NA,NA,"1st Half Away Team Over/Under 3.5 Goals",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-10000,NA,NA,"1st Half Away Team Over/Under 3.5 Goals",NA,2023-10-07 14:07:04.232904,"Under"
"9",NA,"Hradec Kralove-Sparta Prague",NA,NA,NA,"1st Half Away Team Over/Under 4.5 Goals",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,3500,NA,NA,"1st Half Away Team Over/Under 4.5 Goals",NA,2023-10-07 14:07:04.232904,"Over"
"10",NA,"Hradec Kralove-Sparta Prague",NA,NA,NA,"1st Half Away Team Over/Under 4.5 Goals",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-50000,NA,NA,"1st Half Away Team Over/Under 4.5 Goals",NA,2023-10-07 14:07:04.232904,"Under"
"11","czech-republic---first-league","Hradec Kralove-Sparta Prague","1st Half Result","Half Time","Moneyline 1st Half","1st Half Betting","Half-Time Result","half-time result","Draw","Draw","Draw","Draw","Draw","Draw",137,150,145,126,135,150,"1st Half Betting","2023-10-08T13:00:00.0000000Z",2023-10-07 14:07:04.232904,"Draw"
"12","czech-republic---first-league","Hradec Kralove-Sparta Prague","1st Half Result","Half Time","Moneyline 1st Half","1st Half Betting","Half-Time Result","half-time result","Hradec Kralove","Hradec KrÃ¡lovÃ©","Hradec Kralove","Hradec Kralove","Hradec Kralove","Hradec Kralove",425,440,475,430,500,425,"1st Half Betting","2023-10-08T13:00:00.0000000Z",2023-10-07 14:07:04.232904,"Hradec Kralove"
"13","czech-republic---first-league","Hradec Kralove-Sparta Prague","1st Half Result","Half Time","Moneyline 1st Half","1st Half Betting","Half-Time Result","half-time result","Sparta Prague","Sparta Prague","Sparta Prague","Sparta Prague","Sparta Prague","Sparta Prague",-102,-106,-105,103,-110,-105,"1st Half Betting","2023-10-08T13:00:00.0000000Z",2023-10-07 14:07:04.232904,"Sparta Prague"
"14",NA,"Hradec Kralove-Sparta Prague","3way Handicap (1) - 1st Half","3-Way Spread - 1st Half 1",NA,"1st Half Handicap +1",NA,NA,"Sparta Prague","Hradec KrÃ¡lovÃ©",NA,"Sparta Prague",NA,NA,-714,NA,NA,-1100,NA,NA,"1st Half Handicap +1",NA,2023-10-07 14:07:04.232904,"Sparta Prague"
"15",NA,"Hradec Kralove-Sparta Prague","3way Handicap (1) - 1st Half","3-Way Spread - 1st Half 1",NA,"1st Half Handicap +1",NA,NA,"Hradec Kralove","Hradec KrÃ¡lovÃ©",NA,"Sparta Prague",NA,NA,-139,-148,NA,NA,NA,NA,"1st Half Handicap +1",NA,2023-10-07 14:07:04.232904,"Hradec Kralove"
"16",NA,"Hradec Kralove-Sparta Prague",NA,"3-Way Spread - 1st Half 2",NA,"1st Half Handicap +2",NA,NA,NA,"Draw",NA,"Sparta Prague",NA,NA,NA,540,NA,NA,NA,NA,"1st Half Handicap +2",NA,2023-10-07 14:07:04.232904,"Draw"
"17",NA,"Hradec Kralove-Sparta Prague",NA,"3-Way Spread - 1st Half 2",NA,"1st Half Handicap +2",NA,NA,NA,"Hradec KrÃ¡lovÃ©",NA,"Sparta Prague",NA,NA,NA,-835,NA,NA,NA,NA,"1st Half Handicap +2",NA,2023-10-07 14:07:04.232904,"Hradec KrÃ¡lovÃ©"
"18",NA,"Hradec Kralove-Sparta Prague",NA,NA,NA,"1st Half Handicap +3",NA,NA,NA,NA,NA,"Sparta Prague",NA,NA,NA,NA,NA,-100000,NA,NA,"1st Half Handicap +3",NA,2023-10-07 14:07:04.232904,"Sparta Prague"
"19",NA,"Hradec Kralove-Sparta Prague","3way Handicap (-1) - 1st Half","3-Way Spread - 1st Half -1",NA,"1st Half Handicap -1",NA,NA,"Hradec Kralove","Sparta Prague",NA,"Hradec Kralove",NA,NA,1850,NA,NA,1700,NA,NA,"1st Half Handicap -1",NA,2023-10-07 14:07:04.232904,"Hradec Kralove"
"20",NA,"Hradec Kralove-Sparta Prague","3way Handicap (-1) - 1st Half","3-Way Spread - 1st Half -1",NA,"1st Half Handicap -1",NA,NA,"Sparta Prague","Sparta Prague",NA,"Hradec Kralove",NA,NA,375,380,NA,NA,NA,NA,"1st Half Handicap -1",NA,2023-10-07 14:07:04.232904,"Sparta Prague"
"21",NA,"Hradec Kralove-Sparta Prague",NA,"3-Way Spread - 1st Half -2",NA,"1st Half Handicap -2",NA,NA,NA,"Sparta Prague",NA,"Hradec Kralove",NA,NA,NA,1400,NA,NA,NA,NA,"1st Half Handicap -2",NA,2023-10-07 14:07:04.232904,"Sparta Prague"
"22",NA,"Hradec Kralove-Sparta Prague",NA,NA,NA,"1st Half Handicap -3",NA,NA,NA,NA,NA,"Tie ",NA,NA,NA,NA,NA,3000,NA,NA,"1st Half Handicap -3",NA,2023-10-07 14:07:04.232904,"Tie "
"23",NA,"Hradec Kralove-Sparta Prague",NA,NA,NA,"1st Half Handicap -3",NA,NA,NA,NA,NA,"Hradec Kralove",NA,NA,NA,NA,NA,3500,NA,NA,"1st Half Handicap -3",NA,2023-10-07 14:07:04.232904,"Hradec Kralove"
"24","czech-republic---first-league","Hradec Kralove-Sparta Prague","Home Team - Total Goals (0.5) - 1st Half","Home Team Total Goals 0.5 - 1st Half","Home Team: Team Over/Under - 1st Half 0.5","1st Half Home Team Over/Under 0.5 Goals",NA,"home team total 1st half 0.5","Over 0.5","Over","Over","Over",NA,"Over 0.5",165,155,175,175,NA,165,"1st Half Home Team Over/Under 0.5 Goals","2023-10-08T13:00:00.0000000Z",2023-10-07 14:07:04.232904,"Over 0.5"
"25","czech-republic---first-league","Hradec Kralove-Sparta Prague","Home Team - Total Goals (0.5) - 1st Half","Home Team Total Goals 0.5 - 1st Half","Home Team: Team Over/Under - 1st Half 0.5","1st Half Home Team Over/Under 0.5 Goals",NA,"home team total 1st half 0.5","Under 0.5","Under","Under","Under",NA,"Under 0.5",-238,-265,-230,-230,NA,-240,"1st Half Home Team Over/Under 0.5 Goals","2023-10-08T13:00:00.0000000Z",2023-10-07 14:07:04.232904,"Under 0.5"
"26","czech-republic---first-league","Hradec Kralove-Sparta Prague","Home Team - Total Goals (1.5) - 1st Half",NA,"Home Team: Team Over/Under - 1st Half 1.5","1st Half Home Team Over/Under 1.5 Goals",NA,NA,"Over 1.5",NA,"Over","Over",NA,NA,1000,NA,1000,1000,NA,NA,"1st Half Home Team Over/Under 1.5 Goals","2023-10-08T13:00:00.0000000Z",2023-10-07 14:07:04.232904,"Over 1.5"
