"","League","Matchup","MGM Market Name","BetRivers Market Name","Draftkings Market Name","Caesars Market Name","Fanduel Market Name","PointsBet Market Name","MGM Selection Name","BetRivers Selection Name","Draftkings Selection Name","Caesars Selection Name","Fanduel Selection Name","PointsBet Selection Name","MGM Odds","BetRivers Odds","Draftkings Odds","Caesars Odds","Fanduel Odds","PointsBet Odds","caesars","Time","update_time","selection"
"1","german-dfb-cup","Wehen Wiesbaden-RB Leipzig","Away Team - Total Goals (0.5) - 1st Half","Away Team Total Goals 0.5 - 1st Half","Away Team: Team Over/Under - 1st Half 0.5","1st Half Away Team Over/Under 0.5 Goals","Away Team First Half Over/Under 0.5 Goals","away team total 1st half 0.5","Over 0.5","Over","Over","Over","Over","Over 0.5",-333,-420,-340,-300,-360,-350,"1st Half Away Team Over/Under 0.5 Goals","2023-09-27T18:45:00.0000000Z",2023-09-27 13:09:31.963284,"Over 0.5"
"2","german-dfb-cup","Wehen Wiesbaden-RB Leipzig","Away Team - Total Goals (0.5) - 1st Half","Away Team Total Goals 0.5 - 1st Half","Away Team: Team Over/Under - 1st Half 0.5","1st Half Away Team Over/Under 0.5 Goals","Away Team First Half Over/Under 0.5 Goals","away team total 1st half 0.5","Under 0.5","Under","Under","Under","Under","Under 0.5",220,235,240,225,250,230,"1st Half Away Team Over/Under 0.5 Goals","2023-09-27T18:45:00.0000000Z",2023-09-27 13:09:31.963284,"Under 0.5"
"3","german-dfb-cup","Wehen Wiesbaden-RB Leipzig","Away Team - Total Goals (1.5) - 1st Half",NA,"Away Team: Team Over/Under - 1st Half 1.5","1st Half Away Team Over/Under 1.5 Goals","Away Team First Half Over/Under 1.5 Goals","away team total 1st half 1.5","Over 1.5",NA,"Over","Over","Over","Over 1.5",137,NA,145,145,154,148,"1st Half Away Team Over/Under 1.5 Goals","2023-09-27T18:45:00.0000000Z",2023-09-27 13:09:31.963284,"Over 1.5"
"4","german-dfb-cup","Wehen Wiesbaden-RB Leipzig","Away Team - Total Goals (1.5) - 1st Half",NA,"Away Team: Team Over/Under - 1st Half 1.5","1st Half Away Team Over/Under 1.5 Goals","Away Team First Half Over/Under 1.5 Goals","away team total 1st half 1.5","Under 1.5",NA,"Under","Under","Under","Under 1.5",-200,NA,-190,-185,-200,-210,"1st Half Away Team Over/Under 1.5 Goals","2023-09-27T18:45:00.0000000Z",2023-09-27 13:09:31.963284,"Under 1.5"
"5",NA,"Wehen Wiesbaden-RB Leipzig",NA,NA,NA,"1st Half Away Team Over/Under 2.5 Goals",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,425,NA,NA,"1st Half Away Team Over/Under 2.5 Goals",NA,2023-09-27 13:09:31.963284,"Over"
"6",NA,"Wehen Wiesbaden-RB Leipzig",NA,NA,NA,"1st Half Away Team Over/Under 2.5 Goals",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-650,NA,NA,"1st Half Away Team Over/Under 2.5 Goals",NA,2023-09-27 13:09:31.963284,"Under"
"7","german-dfb-cup","Wehen Wiesbaden-RB Leipzig",NA,NA,"Away Team: Team Over/Under - 1st Half 3.5","1st Half Away Team Over/Under 3.5 Goals","Away Team First Half Over/Under 3.5 Goals",NA,NA,NA,"Over","Over","Over",NA,NA,NA,1300,1100,2000,NA,"1st Half Away Team Over/Under 3.5 Goals","2023-09-27T18:45:00.0000000Z",2023-09-27 13:09:31.963284,"Over"
"8","german-dfb-cup","Wehen Wiesbaden-RB Leipzig",NA,NA,"Away Team: Team Over/Under - 1st Half 3.5","1st Half Away Team Over/Under 3.5 Goals","Away Team First Half Over/Under 3.5 Goals",NA,NA,NA,"Under","Under","Under",NA,NA,NA,-10000,-3300,-5000,NA,"1st Half Away Team Over/Under 3.5 Goals","2023-09-27T18:45:00.0000000Z",2023-09-27 13:09:31.963284,"Under"
"9",NA,"Wehen Wiesbaden-RB Leipzig",NA,NA,NA,"1st Half Away Team Over/Under 4.5 Goals","Away Team First Half Over/Under 4.5 Goals",NA,NA,NA,NA,"Over","Over",NA,NA,NA,NA,2200,8000,NA,"1st Half Away Team Over/Under 4.5 Goals",NA,2023-09-27 13:09:31.963284,"Over"
"10",NA,"Wehen Wiesbaden-RB Leipzig",NA,NA,NA,"1st Half Away Team Over/Under 4.5 Goals","Away Team First Half Over/Under 4.5 Goals",NA,NA,NA,NA,"Under","Under",NA,NA,NA,NA,-15000,-20000,NA,"1st Half Away Team Over/Under 4.5 Goals",NA,2023-09-27 13:09:31.963284,"Under"
"11","german-dfb-cup","Wehen Wiesbaden-RB Leipzig","1st Half Result","Half Time","Moneyline 1st Half","1st Half Betting","Half-Time Result","half-time result","Draw","Draw","Draw","Draw","Draw","Draw",200,230,205,200,210,210,"1st Half Betting","2023-09-27T18:45:00.0000000Z",2023-09-27 13:09:31.963284,"Draw"
"12","german-dfb-cup","Wehen Wiesbaden-RB Leipzig","1st Half Result","Half Time","Moneyline 1st Half","1st Half Betting","Half-Time Result","half-time result","RB Leipzig","RB Leipzig","RB Leipzig","RB Leipzig","RB Leipzig","RB Leipzig",-189,-200,-195,-200,-195,-190,"1st Half Betting","2023-09-27T18:45:00.0000000Z",2023-09-27 13:09:31.963284,"RB Leipzig"
"13","german-dfb-cup","Wehen Wiesbaden-RB Leipzig","1st Half Result","Half Time","Moneyline 1st Half","1st Half Betting","Half-Time Result","half-time result","Wehen Wiesbaden","Wehen Wiesbaden","Wehen Wiesbaden","Wehen Wiesbaden","Wehen Wiesbaden","Wehen Wiesbaden",625,650,750,700,800,700,"1st Half Betting","2023-09-27T18:45:00.0000000Z",2023-09-27 13:09:31.963284,"Wehen Wiesbaden"
"14","german-dfb-cup","Wehen Wiesbaden-RB Leipzig","3way Handicap (1) - 1st Half","3-Way Spread - 1st Half 1","Spread 1st Half 1","1st Half Handicap +1","First Half Spread 1",NA,"Wehen Wiesbaden","Wehen Wiesbaden","Wehen Wiesbaden","RB Leipzig","Wehen Wiesbaden",NA,130,132,-150,NA,135,NA,"1st Half Handicap +1","2023-09-27T18:45:00.0000000Z",2023-09-27 13:09:31.963284,"Wehen Wiesbaden"
