"","League","Matchup","MGM Market Name","BetRivers Market Name","Draftkings Market Name","Caesars Market Name","Fanduel Market Name","PointsBet Market Name","MGM Selection Name","BetRivers Selection Name","Draftkings Selection Name","Caesars Selection Name","Fanduel Selection Name","PointsBet Selection Name","MGM Odds","BetRivers Odds","Draftkings Odds","Caesars Odds","Fanduel Odds","PointsBet Odds","caesars","Time","update_time","selection"
"1",NA,"-",NA,NA,NA,NA,NA,"away team total 1st half 1.5",NA,NA,NA,NA,NA,"Over 1.5",NA,NA,NA,NA,NA,-160,"1st Half Away Team Over/Under 1.5 Goals",NA,2023-11-02 11:23:46.419168,"Over 1.5"
"2",NA,"-",NA,NA,NA,NA,NA,"away team total 1st half 1.5",NA,NA,NA,NA,NA,"Under 1.5",NA,NA,NA,NA,NA,115,"1st Half Away Team Over/Under 1.5 Goals",NA,2023-11-02 11:23:46.419168,"Under 1.5"
"3","netherlands-cup","-",NA,"Half Time","Moneyline 1st Half",NA,"Half-Time Result","half-time result",NA,NA,NA,NA,NA,NA,NA,1500,-700,NA,2700,2500,"1st Half Betting","2023-11-02T19:00:00.0000000Z",2023-11-02 11:23:46.419168,NA
"4","netherlands-cup","-",NA,"Half Time","Moneyline 1st Half",NA,"Half-Time Result","half-time result",NA,NA,NA,NA,NA,NA,NA,1500,-700,NA,2700,-600,"1st Half Betting","2023-11-02T19:00:00.0000000Z",2023-11-02 11:23:46.419168,NA
"5","netherlands-cup","-",NA,"Half Time","Moneyline 1st Half",NA,"Half-Time Result","half-time result",NA,"Draw","Draw",NA,"Draw","Draw",NA,400,135,NA,420,425,"1st Half Betting","2023-11-02T20:00:00.0000000Z",2023-11-02 11:23:46.419168,"Draw"
"6",NA,"-",NA,"3-Way Spread - 1st Half 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-180,NA,NA,NA,NA,"1st Half Handicap +1",NA,2023-11-02 11:23:46.419168,NA
"7","netherlands-cup","-",NA,NA,"Spread 1st Half 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-195,NA,NA,NA,"1st Half Handicap +2","2023-11-02T19:00:00.0000000Z",2023-11-02 11:23:46.419168,NA
"8",NA,"-",NA,"3-Way Spread - 1st Half -1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,450,NA,NA,NA,NA,"1st Half Handicap -1",NA,2023-11-02 11:23:46.419168,NA
"9",NA,"-",NA,"3-Way Spread - 1st Half -1",NA,NA,NA,NA,NA,"Draw",NA,NA,NA,NA,NA,205,NA,NA,NA,NA,"1st Half Handicap -1",NA,2023-11-02 11:23:46.419168,"Draw"
"10","netherlands-cup","-",NA,NA,"Spread 1st Half -2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,NA,NA,NA,"1st Half Handicap -2","2023-11-02T19:00:00.0000000Z",2023-11-02 11:23:46.419168,NA
"11",NA,"-",NA,NA,NA,NA,NA,"home team total 1st half 0.5",NA,NA,NA,NA,NA,"Over 0.5",NA,NA,NA,NA,NA,440,"1st Half Home Team Over/Under 0.5 Goals",NA,2023-11-02 11:23:46.419168,"Over 0.5"
"12",NA,"-",NA,NA,NA,NA,NA,"home team total 1st half 0.5",NA,NA,NA,NA,NA,"Under 0.5",NA,NA,NA,NA,NA,-850,"1st Half Home Team Over/Under 0.5 Goals",NA,2023-11-02 11:23:46.419168,"Under 0.5"
"13","netherlands-cup","-",NA,"Total Goals - 1st Half 0.5","Over/Under - 1st Half 0.5",NA,NA,NA,NA,"Over","Over",NA,NA,NA,NA,-385,-475,NA,NA,NA,"1st Half Over/Under 0.5 Goals","2023-11-02T17:45:00.0000000Z",2023-11-02 11:23:46.419168,"Over"
"14","netherlands-cup","-",NA,"Total Goals - 1st Half 0.5","Over/Under - 1st Half 0.5",NA,NA,NA,NA,"Under","Under",NA,NA,NA,NA,240,295,NA,NA,NA,"1st Half Over/Under 0.5 Goals","2023-11-02T17:45:00.0000000Z",2023-11-02 11:23:46.419168,"Under"
"15","netherlands-cup","-",NA,"Total Goals - 1st Half 1.5","Over/Under - 1st Half 1.5",NA,NA,"1st half goals 1.5",NA,"Over","Over",NA,NA,"Over 1.5",NA,-210,105,NA,NA,-190,"1st Half Over/Under 1.5 Goals","2023-11-02T17:45:00.0000000Z",2023-11-02 11:23:46.419168,"Over"
"16","netherlands-cup","-",NA,"Total Goals - 1st Half 1.5","Over/Under - 1st Half 1.5",NA,NA,"1st half goals 1.5",NA,"Under","Under",NA,NA,"Under 1.5",NA,143,-145,NA,NA,135,"1st Half Over/Under 1.5 Goals","2023-11-02T17:45:00.0000000Z",2023-11-02 11:23:46.419168,"Under"
"17","netherlands-cup","-",NA,"Total Goals - 1st Half 2.5","Over/Under - 1st Half 2.5",NA,NA,NA,NA,"Over","Over",NA,NA,NA,NA,510,320,NA,NA,NA,"1st Half Over/Under 2.5 Goals","2023-11-02T17:45:00.0000000Z",2023-11-02 11:23:46.419168,"Over"
"18","netherlands-cup","-",NA,"Total Goals - 1st Half 2.5","Over/Under - 1st Half 2.5",NA,NA,NA,NA,"Under","Under",NA,NA,NA,NA,-1000,-525,NA,NA,NA,"1st Half Over/Under 2.5 Goals","2023-11-02T17:45:00.0000000Z",2023-11-02 11:23:46.419168,"Under"
"19","netherlands-cup","-",NA,NA,"Over/Under - 1st Half 3.5",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,800,NA,NA,NA,"1st Half Over/Under 3.5 Goals","2023-11-02T17:45:00.0000000Z",2023-11-02 11:23:46.419168,"Over"
"20","netherlands-cup","-",NA,NA,"Over/Under - 1st Half 3.5",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-3000,NA,NA,NA,"1st Half Over/Under 3.5 Goals","2023-11-02T17:45:00.0000000Z",2023-11-02 11:23:46.419168,"Under"
"21","netherlands-cup","-",NA,NA,"Over/Under - 1st Half 3.5",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,390,NA,NA,NA,"1st Half Over/Under 3.5 Goals","2023-11-02T19:00:00.0000000Z",2023-11-02 11:23:46.419168,"Over"
"22","netherlands-cup","-",NA,NA,"Over/Under - 1st Half 3.5",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-750,NA,NA,NA,"1st Half Over/Under 3.5 Goals","2023-11-02T19:00:00.0000000Z",2023-11-02 11:23:46.419168,"Under"
"23","netherlands-cup","-","Match Result","Regular Time","Moneyline",NA,"Moneyline","match result",NA,NA,NA,NA,NA,NA,5000,2900,390,NA,-6000,5000,"90 Minutes","2023-11-02T20:00:00.0000000Z",2023-11-02 11:23:46.419168,NA
"24","netherlands-cup","-","Match Result","Regular Time","Moneyline",NA,"Moneyline","match result",NA,NA,NA,NA,NA,NA,5000,2900,390,NA,-6000,-10000,"90 Minutes","2023-11-02T20:00:00.0000000Z",2023-11-02 11:23:46.419168,NA
"25","netherlands-cup","-","Match Result","Regular Time","Moneyline",NA,"Moneyline","match result","Draw","Draw","Draw",NA,"Draw","Draw",1900,1500,310,NA,2200,1600,"90 Minutes","2023-11-02T20:00:00.0000000Z",2023-11-02 11:23:46.419168,"Draw"
"26","netherlands-cup","-",NA,"Total Goals by Away Team 0.5","Away Team: Team Over/Under 0.5",NA,NA,NA,NA,"Over","Over",NA,NA,NA,NA,-225,-205,NA,NA,NA,"Away Team Over/Under 0.5 Goals","2023-11-02T17:45:00.0000000Z",2023-11-02 11:23:46.419168,"Over"
"27","netherlands-cup","-",NA,"Total Goals by Away Team 0.5","Away Team: Team Over/Under 0.5",NA,NA,NA,NA,"Under","Under",NA,NA,NA,NA,160,150,NA,NA,NA,"Away Team Over/Under 0.5 Goals","2023-11-02T17:45:00.0000000Z",2023-11-02 11:23:46.419168,"Under"
"28","netherlands-cup","-",NA,"Total Goals by Away Team 1.5","Away Team: Team Over/Under 1.5",NA,NA,NA,NA,"Over","Over",NA,NA,NA,NA,245,240,NA,NA,NA,"Away Team Over/Under 1.5 Goals","2023-11-02T17:45:00.0000000Z",2023-11-02 11:23:46.419168,"Over"
"29","netherlands-cup","-",NA,"Total Goals by Away Team 1.5","Away Team: Team Over/Under 1.5",NA,NA,NA,NA,"Under","Under",NA,NA,NA,NA,-375,-360,NA,NA,NA,"Away Team Over/Under 1.5 Goals","2023-11-02T17:45:00.0000000Z",2023-11-02 11:23:46.419168,"Under"
"30","netherlands-cup","-",NA,NA,"Away Team: Team Over/Under 2.5",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,750,NA,NA,NA,"Away Team Over/Under 2.5 Goals","2023-11-02T17:45:00.0000000Z",2023-11-02 11:23:46.419168,"Over"
"31","netherlands-cup","-",NA,NA,"Away Team: Team Over/Under 2.5",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-2500,NA,NA,NA,"Away Team Over/Under 2.5 Goals","2023-11-02T17:45:00.0000000Z",2023-11-02 11:23:46.419168,"Under"
"32","netherlands-cup","-",NA,NA,"Away Team: Team Over/Under 2.5",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,-650,NA,NA,NA,"Away Team Over/Under 2.5 Goals","2023-11-02T19:00:00.0000000Z",2023-11-02 11:23:46.419168,"Over"
"33","netherlands-cup","-",NA,NA,"Away Team: Team Over/Under 2.5",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,360,NA,NA,NA,"Away Team Over/Under 2.5 Goals","2023-11-02T19:00:00.0000000Z",2023-11-02 11:23:46.419168,"Under"
"34","netherlands-cup","-",NA,NA,"Away Team: Team Over/Under 2.5",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-2000,NA,NA,NA,"Away Team Over/Under 2.5 Goals","2023-11-02T20:00:00.0000000Z",2023-11-02 11:23:46.419168,"Under"
"35","netherlands-cup","-",NA,NA,"Away Team: Team Over/Under 2.5",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,650,NA,NA,NA,"Away Team Over/Under 2.5 Goals","2023-11-02T20:00:00.0000000Z",2023-11-02 11:23:46.419168,"Over"
"36","netherlands-cup","-",NA,NA,"Away Team: Team Over/Under 3.5",NA,"Away Team Over/Under 3.5 Goals","away team total 3.5",NA,NA,"Over",NA,"Over","Over 3.5",NA,NA,-225,NA,-170,-200,"Away Team Over/Under 3.5 Goals","2023-11-02T19:00:00.0000000Z",2023-11-02 11:23:46.419168,"Over"
"37","netherlands-cup","-",NA,NA,"Away Team: Team Over/Under 3.5",NA,"Away Team Over/Under 3.5 Goals","away team total 3.5",NA,NA,"Under",NA,"Under","Under 3.5",NA,NA,155,NA,132,142,"Away Team Over/Under 3.5 Goals","2023-11-02T19:00:00.0000000Z",2023-11-02 11:23:46.419168,"Under"
"38","netherlands-cup","-",NA,"Total Goals by Away Team 4.5","Away Team: Team Over/Under 4.5",NA,"Away Team Over/Under 4.5 Goals","away team total 4.5",NA,"Over","Over",NA,"Over","Over 4.5",NA,128,100,NA,146,115,"Away Team Over/Under 4.5 Goals","2023-11-02T19:00:00.0000000Z",2023-11-02 11:23:46.419168,"Over"
"39","netherlands-cup","-",NA,"Total Goals by Away Team 4.5","Away Team: Team Over/Under 4.5",NA,"Away Team Over/Under 4.5 Goals","away team total 4.5",NA,"Under","Under",NA,"Under","Under 4.5",NA,-180,-145,NA,-188,-160,"Away Team Over/Under 4.5 Goals","2023-11-02T19:00:00.0000000Z",2023-11-02 11:23:46.419168,"Under"
"40","netherlands-cup","-",NA,NA,"Away Team: Team Over/Under 5.5",NA,"Away Team Over/Under 5.5 Goals","away team total 5.5",NA,NA,"Over",NA,"Over","Over 5.5",NA,NA,215,NA,320,230,"Away Team Over/Under 5.5 Goals","2023-11-02T19:00:00.0000000Z",2023-11-02 11:23:46.419168,"Over"
"41","netherlands-cup","-",NA,NA,"Away Team: Team Over/Under 5.5",NA,"Away Team Over/Under 5.5 Goals","away team total 5.5",NA,NA,"Under",NA,"Under","Under 5.5",NA,NA,-330,NA,-460,-350,"Away Team Over/Under 5.5 Goals","2023-11-02T19:00:00.0000000Z",2023-11-02 11:23:46.419168,"Under"
"42","netherlands-cup","-",NA,"Both Teams To Score","Both Teams to Score",NA,NA,"both teams to score",NA,"No","No",NA,NA,"No",NA,112,115,NA,NA,-300,"Both Teams To Score","2023-11-02T17:45:00.0000000Z",2023-11-02 11:23:46.419168,"No"
"43","netherlands-cup","-",NA,"Both Teams To Score","Both Teams to Score",NA,NA,"both teams to score",NA,"Yes","Yes",NA,NA,"Yes",NA,-152,-160,NA,NA,205,"Both Teams To Score","2023-11-02T17:45:00.0000000Z",2023-11-02 11:23:46.419168,"Yes"
"44","netherlands-cup","-",NA,"Correct Score","Correct Score",NA,NA,"correct score",NA,NA,NA,NA,NA,NA,NA,1700,3500,NA,NA,1500,"Correct Score","2023-11-02T17:45:00.0000000Z",2023-11-02 11:23:46.419168,NA
"45","netherlands-cup","-",NA,"Correct Score","Correct Score",NA,NA,"correct score",NA,NA,NA,NA,NA,NA,NA,1700,3500,NA,NA,750,"Correct Score","2023-11-02T17:45:00.0000000Z",2023-11-02 11:23:46.419168,NA
"46","netherlands-cup","-",NA,"Correct Score","Correct Score",NA,NA,"correct score",NA,NA,NA,NA,NA,NA,NA,1700,3500,NA,NA,550,"Correct Score","2023-11-02T17:45:00.0000000Z",2023-11-02 11:23:46.419168,NA
"47","netherlands-cup","-",NA,"Correct Score","Correct Score",NA,NA,"correct score",NA,NA,NA,NA,NA,NA,NA,1700,3500,NA,NA,475,"Correct Score","2023-11-02T17:45:00.0000000Z",2023-11-02 11:23:46.419168,NA
"48","netherlands-cup","-",NA,"Correct Score","Correct Score",NA,NA,"correct score",NA,NA,NA,NA,NA,NA,NA,1700,3500,NA,NA,800,"Correct Score","2023-11-02T17:45:00.0000000Z",2023-11-02 11:23:46.419168,NA
"49","netherlands-cup","-",NA,"Correct Score","Correct Score",NA,NA,"correct score",NA,NA,NA,NA,NA,NA,NA,1700,3500,NA,NA,1300,"Correct Score","2023-11-02T17:45:00.0000000Z",2023-11-02 11:23:46.419168,NA
"50","netherlands-cup","-",NA,"Correct Score","Correct Score",NA,NA,"correct score",NA,NA,NA,NA,NA,NA,NA,1700,3500,NA,NA,2000,"Correct Score","2023-11-02T17:45:00.0000000Z",2023-11-02 11:23:46.419168,NA
"51","netherlands-cup","-",NA,"Correct Score","Correct Score",NA,NA,"correct score",NA,NA,NA,NA,NA,NA,NA,1700,3500,NA,NA,4000,"Correct Score","2023-11-02T17:45:00.0000000Z",2023-11-02 11:23:46.419168,NA
"52","netherlands-cup","-",NA,"Correct Score","Correct Score",NA,NA,"correct score",NA,NA,NA,NA,NA,NA,NA,1700,3500,NA,NA,1800,"Correct Score","2023-11-02T17:45:00.0000000Z",2023-11-02 11:23:46.419168,NA
"53","netherlands-cup","-",NA,"Correct Score","Correct Score",NA,NA,"correct score",NA,NA,NA,NA,NA,NA,NA,1700,3500,NA,NA,1400,"Correct Score","2023-11-02T17:45:00.0000000Z",2023-11-02 11:23:46.419168,NA
"54","netherlands-cup","-",NA,"Correct Score","Correct Score",NA,NA,"correct score",NA,NA,NA,NA,NA,NA,NA,1700,3500,NA,NA,3000,"Correct Score","2023-11-02T17:45:00.0000000Z",2023-11-02 11:23:46.419168,NA
"55","netherlands-cup","-",NA,"Correct Score","Correct Score",NA,NA,"correct score",NA,NA,NA,NA,NA,NA,NA,1700,3500,NA,NA,5000,"Correct Score","2023-11-02T17:45:00.0000000Z",2023-11-02 11:23:46.419168,NA
"56","netherlands-cup","-",NA,"Correct Score","Correct Score",NA,NA,"correct score",NA,NA,NA,NA,NA,NA,NA,1700,3500,NA,NA,8000,"Correct Score","2023-11-02T17:45:00.0000000Z",2023-11-02 11:23:46.419168,NA
"57","netherlands-cup","-",NA,"Correct Score","Correct Score",NA,NA,"correct score",NA,NA,NA,NA,NA,NA,NA,1700,3500,NA,NA,6000,"Correct Score","2023-11-02T17:45:00.0000000Z",2023-11-02 11:23:46.419168,NA
"58","netherlands-cup","-",NA,"Correct Score","Correct Score",NA,NA,"correct score",NA,NA,NA,NA,NA,NA,NA,1700,3500,NA,NA,10000,"Correct Score","2023-11-02T17:45:00.0000000Z",2023-11-02 11:23:46.419168,NA
"59","netherlands-cup","-",NA,"Correct Score","Correct Score",NA,NA,"correct score",NA,"Draw 0-0"," 0-0",NA,NA,"Draw 0-0",NA,NA,1600,NA,NA,NA,"Correct Score","2023-11-02T17:45:00.0000000Z",2023-11-02 11:23:46.419168,"Draw 0-0"
