"","League","Matchup","MGM Market Name","BetRivers Market Name","Draftkings Market Name","Caesars Market Name","Fanduel Market Name","PointsBet Market Name","MGM Selection Name","BetRivers Selection Name","Draftkings Selection Name","Caesars Selection Name","Fanduel Selection Name","PointsBet Selection Name","MGM Odds","BetRivers Odds","Draftkings Odds","Caesars Odds","Fanduel Odds","PointsBet Odds","caesars","Time","update_time","selection"
"1",NA,"-Fulham",NA,NA,NA,NA,NA,"away team total 1st half 0.5",NA,NA,NA,NA,NA,"Under 0.5",NA,NA,NA,NA,NA,-115,"1st Half Away Team Over/Under 0.5 Goals",NA,2023-11-01 12:54:45.103583,"Under 0.5"
"2",NA,"-Fulham",NA,NA,NA,NA,NA,"away team total 1st half 0.5",NA,NA,NA,NA,NA,"Over 0.5",NA,NA,NA,NA,NA,-115,"1st Half Away Team Over/Under 0.5 Goals",NA,2023-11-01 12:54:45.103583,"Over 0.5"
"3",NA,"-Fulham",NA,NA,NA,NA,NA,"away team total 1st half 1.5",NA,NA,NA,NA,NA,"Under 1.5",NA,NA,NA,NA,NA,-800,"1st Half Away Team Over/Under 1.5 Goals",NA,2023-11-01 12:54:45.103583,"Under 1.5"
"4",NA,"-Fulham",NA,NA,NA,NA,NA,"away team total 1st half 1.5",NA,NA,NA,NA,NA,"Over 1.5",NA,NA,NA,NA,NA,475,"1st Half Away Team Over/Under 1.5 Goals",NA,2023-11-01 12:54:45.103583,"Over 1.5"
"5",NA,"-Fulham",NA,NA,NA,NA,NA,"away team total 1st half 2.5",NA,NA,NA,NA,NA,"Under 2.5",NA,NA,NA,NA,NA,-8000,"1st Half Away Team Over/Under 2.5 Goals",NA,2023-11-01 12:54:45.103583,"Under 2.5"
"6",NA,"-Fulham",NA,NA,NA,NA,NA,"away team total 1st half 2.5",NA,NA,NA,NA,NA,"Over 2.5",NA,NA,NA,NA,NA,2000,"1st Half Away Team Over/Under 2.5 Goals",NA,2023-11-01 12:54:45.103583,"Over 2.5"
"7",NA,"-Fulham",NA,NA,NA,NA,NA,"half-time result",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,280,"1st Half Betting",NA,2023-11-01 12:54:45.103583,NA
"8",NA,"-Fulham",NA,NA,NA,NA,NA,"half-time result",NA,NA,NA,NA,NA,"Fulham",NA,NA,NA,NA,NA,175,"1st Half Betting",NA,2023-11-01 12:54:45.103583,"Fulham"
"9",NA,"-Fulham",NA,NA,NA,NA,NA,"half-time result",NA,NA,NA,NA,NA,"Draw",NA,NA,NA,NA,NA,115,"1st Half Betting",NA,2023-11-01 12:54:45.103583,"Draw"
"10",NA,"-Fulham",NA,NA,NA,NA,NA,"1st half 3-way spread 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-240,"1st Half Handicap +1",NA,2023-11-01 12:54:45.103583,NA
