"","League","Matchup","MGM Market Name","BetRivers Market Name","Draftkings Market Name","Caesars Market Name","Fanduel Market Name","PointsBet Market Name","MGM Selection Name","BetRivers Selection Name","Draftkings Selection Name","Caesars Selection Name","Fanduel Selection Name","PointsBet Selection Name","MGM Odds","BetRivers Odds","Draftkings Odds","Caesars Odds","Fanduel Odds","PointsBet Odds","caesars","Time","update_time","selection"
"1","poland---ekstraklasa","Cracovia-Pogon Szczecin","Away Team - Total Goals (0.5) - 1st Half","Away Team Total Goals 0.5 - 1st Half","Away Team: Team Over/Under - 1st Half 0.5",NA,NA,"away team total 1st half 0.5","Over 0.5","Over","Over",NA,NA,"Over 0.5",110,112,110,NA,NA,112,"1st Half Away Team Over/Under 0.5 Goals","2023-09-23T15:30:00.0000000Z",2023-09-22 10:57:55.229676,"Over 0.5"
"2","poland---ekstraklasa","Cracovia-Pogon Szczecin","Away Team - Total Goals (0.5) - 1st Half","Away Team Total Goals 0.5 - 1st Half","Away Team: Team Over/Under - 1st Half 0.5",NA,NA,"away team total 1st half 0.5","Under 0.5","Under","Under",NA,NA,"Under 0.5",-154,-167,-150,NA,NA,-155,"1st Half Away Team Over/Under 0.5 Goals","2023-09-23T15:30:00.0000000Z",2023-09-22 10:57:55.229676,"Under 0.5"
"3","poland---ekstraklasa","Cracovia-Pogon Szczecin","Away Team - Total Goals (1.5) - 1st Half",NA,"Away Team: Team Over/Under - 1st Half 1.5",NA,NA,NA,"Over 1.5",NA,"Over",NA,NA,NA,600,NA,600,NA,NA,NA,"1st Half Away Team Over/Under 1.5 Goals","2023-09-23T15:30:00.0000000Z",2023-09-22 10:57:55.229676,"Over 1.5"
"4","poland---ekstraklasa","Cracovia-Pogon Szczecin","Away Team - Total Goals (1.5) - 1st Half",NA,"Away Team: Team Over/Under - 1st Half 1.5",NA,NA,NA,"Under 1.5",NA,"Under",NA,NA,NA,-1111,NA,-1400,NA,NA,NA,"1st Half Away Team Over/Under 1.5 Goals","2023-09-23T15:30:00.0000000Z",2023-09-22 10:57:55.229676,"Under 1.5"
"5",NA,"Cracovia-Pogon Szczecin","Away Team - Total Goals (2.5) - 1st Half",NA,NA,NA,NA,NA,"Over 2.5",NA,NA,NA,NA,NA,2500,NA,NA,NA,NA,NA,"1st Half Away Team Over/Under 2.5 Goals",NA,2023-09-22 10:57:55.229676,"Over 2.5"
"6",NA,"Cracovia-Pogon Szczecin","Away Team - Total Goals (2.5) - 1st Half",NA,NA,NA,NA,NA,"Under 2.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1st Half Away Team Over/Under 2.5 Goals",NA,2023-09-22 10:57:55.229676,"Under 2.5"
"7","poland---ekstraklasa","Cracovia-Pogon Szczecin","1st Half Result","Half Time","Moneyline 1st Half",NA,"Half-Time Result","half-time result","Cracovia","Cracovia KrakÃ³w","Cracovia",NA,"Cracovia","Cracovia",200,210,205,NA,210,200,"1st Half Betting","2023-09-23T15:30:00.0000000Z",2023-09-22 10:57:55.229676,"Cracovia"
"8","poland---ekstraklasa","Cracovia-Pogon Szczecin","1st Half Result","Half Time","Moneyline 1st Half",NA,"Half-Time Result","half-time result","Draw","Draw","Draw",NA,"Draw","Draw",110,114,110,NA,105,110,"1st Half Betting","2023-09-23T15:30:00.0000000Z",2023-09-22 10:57:55.229676,"Draw"
"9","poland---ekstraklasa","Cracovia-Pogon Szczecin","1st Half Result","Half Time","Moneyline 1st Half",NA,"Half-Time Result","half-time result","Pogon Szczecin","PogoÅ Szczecin","Pogon Szczecin",NA,"Pogon Szczecin","Pogon Szczecin",220,230,220,NA,230,225,"1st Half Betting","2023-09-23T15:30:00.0000000Z",2023-09-22 10:57:55.229676,"Pogon Szczecin"
"10",NA,"Cracovia-Pogon Szczecin","3way Handicap (1) - 1st Half","3-Way Spread - 1st Half 1",NA,NA,NA,NA,"Cracovia","Cracovia KrakÃ³w",NA,NA,NA,NA,-333,-400,NA,NA,NA,NA,"1st Half Handicap +1",NA,2023-09-22 10:57:55.229676,"Cracovia"
