"","League","Matchup","MGM Market Name","BetRivers Market Name","Draftkings Market Name","Caesars Market Name","Fanduel Market Name","PointsBet Market Name","MGM Selection Name","BetRivers Selection Name","Draftkings Selection Name","Caesars Selection Name","Fanduel Selection Name","PointsBet Selection Name","MGM Odds","BetRivers Odds","Draftkings Odds","Caesars Odds","Fanduel Odds","PointsBet Odds","caesars","Time","update_time","selection"
"1",NA,"Aalesund-Sarpsborg",NA,NA,NA,"1st Half Away Team Over/Under 0.5 Goals","Away Team First Half Over/Under 0.5 Goals",NA,NA,NA,NA,"Over","Over",NA,NA,NA,NA,-180,-176,NA,"1st Half Away Team Over/Under 0.5 Goals",NA,2023-10-05 19:39:24.864556,"Over"
"2",NA,"Aalesund-Sarpsborg",NA,NA,NA,"1st Half Away Team Over/Under 0.5 Goals","Away Team First Half Over/Under 0.5 Goals",NA,NA,NA,NA,"Under","Under",NA,NA,NA,NA,140,138,NA,"1st Half Away Team Over/Under 0.5 Goals",NA,2023-10-05 19:39:24.864556,"Under"
"3",NA,"Aalesund-Sarpsborg",NA,NA,NA,"1st Half Away Team Over/Under 1.5 Goals","Away Team First Half Over/Under 1.5 Goals",NA,NA,NA,NA,"Over","Over",NA,NA,NA,NA,260,310,NA,"1st Half Away Team Over/Under 1.5 Goals",NA,2023-10-05 19:39:24.864556,"Over"
"4",NA,"Aalesund-Sarpsborg",NA,NA,NA,"1st Half Away Team Over/Under 1.5 Goals","Away Team First Half Over/Under 1.5 Goals",NA,NA,NA,NA,"Under","Under",NA,NA,NA,NA,-350,-450,NA,"1st Half Away Team Over/Under 1.5 Goals",NA,2023-10-05 19:39:24.864556,"Under"
"5",NA,"Aalesund-Sarpsborg",NA,NA,NA,"1st Half Away Team Over/Under 2.5 Goals","Away Team First Half Over/Under 2.5 Goals",NA,NA,NA,NA,"Over","Over",NA,NA,NA,NA,850,1360,NA,"1st Half Away Team Over/Under 2.5 Goals",NA,2023-10-05 19:39:24.864556,"Over"
"6",NA,"Aalesund-Sarpsborg",NA,NA,NA,"1st Half Away Team Over/Under 2.5 Goals","Away Team First Half Over/Under 2.5 Goals",NA,NA,NA,NA,"Under","Under",NA,NA,NA,NA,-1800,-3000,NA,"1st Half Away Team Over/Under 2.5 Goals",NA,2023-10-05 19:39:24.864556,"Under"
"7",NA,"Aalesund-Sarpsborg",NA,NA,NA,"1st Half Away Team Over/Under 3.5 Goals","Away Team First Half Over/Under 3.5 Goals",NA,NA,NA,NA,"Over","Over",NA,NA,NA,NA,2000,6500,NA,"1st Half Away Team Over/Under 3.5 Goals",NA,2023-10-05 19:39:24.864556,"Over"
"8",NA,"Aalesund-Sarpsborg",NA,NA,NA,"1st Half Away Team Over/Under 3.5 Goals","Away Team First Half Over/Under 3.5 Goals",NA,NA,NA,NA,"Under","Under",NA,NA,NA,NA,-10000,-20000,NA,"1st Half Away Team Over/Under 3.5 Goals",NA,2023-10-05 19:39:24.864556,"Under"
"9",NA,"Aalesund-Sarpsborg",NA,NA,NA,"1st Half Away Team Over/Under 4.5 Goals","Away Team First Half Over/Under 4.5 Goals",NA,NA,NA,NA,"Over","Over",NA,NA,NA,NA,3500,10000,NA,"1st Half Away Team Over/Under 4.5 Goals",NA,2023-10-05 19:39:24.864556,"Over"
"10",NA,"Aalesund-Sarpsborg",NA,NA,NA,"1st Half Away Team Over/Under 4.5 Goals","Away Team First Half Over/Under 4.5 Goals",NA,NA,NA,NA,"Under","Under",NA,NA,NA,NA,-50000,-100000,NA,"1st Half Away Team Over/Under 4.5 Goals",NA,2023-10-05 19:39:24.864556,"Under"
"11",NA,"Aalesund-Sarpsborg",NA,NA,NA,"1st Half Betting","Half-Time Result",NA,NA,NA,NA,"Aalesund","Aalesund",NA,NA,NA,NA,310,310,NA,"1st Half Betting",NA,2023-10-05 19:39:24.864556,"Aalesund"
"12",NA,"Aalesund-Sarpsborg",NA,NA,NA,"1st Half Betting","Half-Time Result",NA,NA,NA,NA,"Draw","Draw",NA,NA,NA,NA,145,140,NA,"1st Half Betting",NA,2023-10-05 19:39:24.864556,"Draw"
"13",NA,"Aalesund-Sarpsborg",NA,NA,NA,"1st Half Betting","Half-Time Result",NA,NA,NA,NA,"Sarpsborg","Sarpsborg",NA,NA,NA,NA,112,120,NA,"1st Half Betting",NA,2023-10-05 19:39:24.864556,"Sarpsborg"
"14",NA,"Aalesund-Sarpsborg",NA,NA,NA,"1st Half Handicap +1","First Half Spread 1",NA,NA,NA,NA,"Sarpsborg","Aalesund",NA,NA,NA,NA,NA,-180,NA,"1st Half Handicap +1",NA,2023-10-05 19:39:24.864556,"Sarpsborg"
"15",NA,"Aalesund-Sarpsborg",NA,NA,NA,"1st Half Handicap +1","First Half Spread 1",NA,NA,NA,NA,"Sarpsborg","Handicap Draw",NA,NA,NA,NA,NA,230,NA,"1st Half Handicap +1",NA,2023-10-05 19:39:24.864556,"Sarpsborg"
"16",NA,"Aalesund-Sarpsborg",NA,NA,NA,"1st Half Handicap +2",NA,NA,NA,NA,NA,"Sarpsborg",NA,NA,NA,NA,NA,-6000,NA,NA,"1st Half Handicap +2",NA,2023-10-05 19:39:24.864556,"Sarpsborg"
"17",NA,"Aalesund-Sarpsborg",NA,NA,NA,"1st Half Handicap +3",NA,NA,NA,NA,NA,"Sarpsborg",NA,NA,NA,NA,NA,-30000,NA,NA,"1st Half Handicap +3",NA,2023-10-05 19:39:24.864556,"Sarpsborg"
"18",NA,"Aalesund-Sarpsborg",NA,NA,NA,"1st Half Handicap -1","First Half Spread -1",NA,NA,NA,NA,"Aalesund","Sarpsborg",NA,NA,NA,NA,NA,500,NA,"1st Half Handicap -1",NA,2023-10-05 19:39:24.864556,"Aalesund"
"19",NA,"Aalesund-Sarpsborg",NA,NA,NA,"1st Half Handicap -2",NA,NA,NA,NA,NA,"Tie ",NA,NA,NA,NA,NA,1200,NA,NA,"1st Half Handicap -2",NA,2023-10-05 19:39:24.864556,"Tie "
"20",NA,"Aalesund-Sarpsborg",NA,NA,NA,"1st Half Handicap -2",NA,NA,NA,NA,NA,"Aalesund",NA,NA,NA,NA,NA,2600,NA,NA,"1st Half Handicap -2",NA,2023-10-05 19:39:24.864556,"Aalesund"
"21",NA,"Aalesund-Sarpsborg",NA,NA,NA,"1st Half Handicap -3",NA,NA,NA,NA,NA,"Aalesund",NA,NA,NA,NA,NA,3500,NA,NA,"1st Half Handicap -3",NA,2023-10-05 19:39:24.864556,"Aalesund"
"22",NA,"Aalesund-Sarpsborg",NA,NA,NA,"1st Half Handicap -3",NA,NA,NA,NA,NA,"Tie ",NA,NA,NA,NA,NA,2700,NA,NA,"1st Half Handicap -3",NA,2023-10-05 19:39:24.864556,"Tie "
"23",NA,"Aalesund-Sarpsborg",NA,NA,NA,"1st Half Home Team Over/Under 0.5 Goals","Home Team First Half Over/Under 0.5 Goals",NA,NA,NA,NA,"Over","Over",NA,NA,NA,NA,100,108,NA,"1st Half Home Team Over/Under 0.5 Goals",NA,2023-10-05 19:39:24.864556,"Over"
"24",NA,"Aalesund-Sarpsborg",NA,NA,NA,"1st Half Home Team Over/Under 0.5 Goals","Home Team First Half Over/Under 0.5 Goals",NA,NA,NA,NA,"Under","Under",NA,NA,NA,NA,-130,-138,NA,"1st Half Home Team Over/Under 0.5 Goals",NA,2023-10-05 19:39:24.864556,"Under"
"25",NA,"Aalesund-Sarpsborg",NA,NA,NA,"1st Half Home Team Over/Under 1.5 Goals","Home Team First Half Over/Under 1.5 Goals",NA,NA,NA,NA,"Over","Over",NA,NA,NA,NA,500,660,NA,"1st Half Home Team Over/Under 1.5 Goals",NA,2023-10-05 19:39:24.864556,"Over"
"26",NA,"Aalesund-Sarpsborg",NA,NA,NA,"1st Half Home Team Over/Under 1.5 Goals","Home Team First Half Over/Under 1.5 Goals",NA,NA,NA,NA,"Under","Under",NA,NA,NA,NA,-800,-1200,NA,"1st Half Home Team Over/Under 1.5 Goals",NA,2023-10-05 19:39:24.864556,"Under"
"27",NA,"Aalesund-Sarpsborg",NA,NA,NA,"1st Half Home Team Over/Under 2.5 Goals","Home Team First Half Over/Under 2.5 Goals",NA,NA,NA,NA,"Over","Over",NA,NA,NA,NA,1500,3600,NA,"1st Half Home Team Over/Under 2.5 Goals",NA,2023-10-05 19:39:24.864556,"Over"
"28",NA,"Aalesund-Sarpsborg",NA,NA,NA,"1st Half Home Team Over/Under 2.5 Goals","Home Team First Half Over/Under 2.5 Goals",NA,NA,NA,NA,"Under","Under",NA,NA,NA,NA,-7500,-8000,NA,"1st Half Home Team Over/Under 2.5 Goals",NA,2023-10-05 19:39:24.864556,"Under"
"29",NA,"Aalesund-Sarpsborg",NA,NA,NA,"1st Half Home Team Over/Under 3.5 Goals","Home Team First Half Over/Under 3.5 Goals",NA,NA,NA,NA,"Over","Over",NA,NA,NA,NA,3500,10000,NA,"1st Half Home Team Over/Under 3.5 Goals",NA,2023-10-05 19:39:24.864556,"Over"
"30",NA,"Aalesund-Sarpsborg",NA,NA,NA,"1st Half Home Team Over/Under 3.5 Goals","Home Team First Half Over/Under 3.5 Goals",NA,NA,NA,NA,"Under","Under",NA,NA,NA,NA,-50000,-100000,NA,"1st Half Home Team Over/Under 3.5 Goals",NA,2023-10-05 19:39:24.864556,"Under"
"31",NA,"Aalesund-Sarpsborg",NA,NA,NA,"1st Half Home Team Over/Under 4.5 Goals","Home Team First Half Over/Under 4.5 Goals",NA,NA,NA,NA,"Over","Over",NA,NA,NA,NA,7000,10000,NA,"1st Half Home Team Over/Under 4.5 Goals",NA,2023-10-05 19:39:24.864556,"Over"
"32",NA,"Aalesund-Sarpsborg",NA,NA,NA,"1st Half Home Team Over/Under 4.5 Goals","Home Team First Half Over/Under 4.5 Goals",NA,NA,NA,NA,"Under","Under",NA,NA,NA,NA,-500000,-100000,NA,"1st Half Home Team Over/Under 4.5 Goals",NA,2023-10-05 19:39:24.864556,"Under"
"33",NA,"Aalesund-Sarpsborg",NA,NA,NA,"1st Half Over/Under 0.5 Goals","1st Half Over/Under 0.5 Goals",NA,NA,NA,NA,"Over 0.5","Over 0.5",NA,NA,NA,NA,-400,-450,NA,"1st Half Over/Under 0.5 Goals",NA,2023-10-05 19:39:24.864556,"Over 0.5"
"34",NA,"Aalesund-Sarpsborg",NA,NA,NA,"1st Half Over/Under 0.5 Goals","1st Half Over/Under 0.5 Goals",NA,NA,NA,NA,"Under 0.5","Under 0.5",NA,NA,NA,NA,280,310,NA,"1st Half Over/Under 0.5 Goals",NA,2023-10-05 19:39:24.864556,"Under 0.5"
"35",NA,"Aalesund-Sarpsborg",NA,NA,NA,"1st Half Over/Under 1.5 Goals","1st Half Over/Under 1.5 Goals",NA,NA,NA,NA,"Over 1.5","Over 1.5",NA,NA,NA,NA,105,112,NA,"1st Half Over/Under 1.5 Goals",NA,2023-10-05 19:39:24.864556,"Over 1.5"
"36",NA,"Aalesund-Sarpsborg",NA,NA,NA,"1st Half Over/Under 1.5 Goals","1st Half Over/Under 1.5 Goals",NA,NA,NA,NA,"Under 1.5","Under 1.5",NA,NA,NA,NA,-135,-142,NA,"1st Half Over/Under 1.5 Goals",NA,2023-10-05 19:39:24.864556,"Under 1.5"
"37",NA,"Aalesund-Sarpsborg",NA,NA,NA,"1st Half Over/Under 2.5 Goals","1st Half Over/Under 2.5 Goals",NA,NA,NA,NA,"Over 2.5","Over 2.5",NA,NA,NA,NA,330,390,NA,"1st Half Over/Under 2.5 Goals",NA,2023-10-05 19:39:24.864556,"Over 2.5"
"38",NA,"Aalesund-Sarpsborg",NA,NA,NA,"1st Half Over/Under 2.5 Goals","1st Half Over/Under 2.5 Goals",NA,NA,NA,NA,"Under 2.5","Under 2.5",NA,NA,NA,NA,-475,-600,NA,"1st Half Over/Under 2.5 Goals",NA,2023-10-05 19:39:24.864556,"Under 2.5"
