"","League","Matchup","MGM Market Name","BetRivers Market Name","Draftkings Market Name","Caesars Market Name","Fanduel Market Name","PointsBet Market Name","MGM Selection Name","BetRivers Selection Name","Draftkings Selection Name","Caesars Selection Name","Fanduel Selection Name","PointsBet Selection Name","MGM Odds","BetRivers Odds","Draftkings Odds","Caesars Odds","Fanduel Odds","PointsBet Odds","caesars","Time","update_time","selection"
"1","netherlands---eredivisie","Ajax-Heerenveen","Away Team - Total Goals (0.5) - 1st Half",NA,"Away Team: Team Over/Under - 1st Half 0.5","1st Half Away Team Over/Under 0.5 Goals","Away Team First Half Over/Under 0.5 Goals","away team total 1st half 0.5","Over 0.5",NA,"Over","Over","Over","Over 0.5",135,NA,125,127,140,132,"1st Half Away Team Over/Under 0.5 Goals","2023-11-05T15:45:00.0000000Z",2023-11-03 10:51:42.619595,"Over 0.5"
"2","netherlands---eredivisie","Ajax-Heerenveen","Away Team - Total Goals (0.5) - 1st Half",NA,"Away Team: Team Over/Under - 1st Half 0.5","1st Half Away Team Over/Under 0.5 Goals","Away Team First Half Over/Under 0.5 Goals","away team total 1st half 0.5","Under 0.5",NA,"Under","Under","Under","Under 0.5",-192,NA,-175,-165,-180,-185,"1st Half Away Team Over/Under 0.5 Goals","2023-11-05T15:45:00.0000000Z",2023-11-03 10:51:42.619595,"Under 0.5"
"3","netherlands---eredivisie","Ajax-Heerenveen","Away Team - Total Goals (1.5) - 1st Half",NA,"Away Team: Team Over/Under - 1st Half 1.5","1st Half Away Team Over/Under 1.5 Goals","Away Team First Half Over/Under 1.5 Goals","away team total 1st half 1.5","Over 1.5",NA,"Over","Over","Over","Over 1.5",775,NA,650,650,900,675,"1st Half Away Team Over/Under 1.5 Goals","2023-11-05T15:45:00.0000000Z",2023-11-03 10:51:42.619595,"Over 1.5"
"4","netherlands---eredivisie","Ajax-Heerenveen","Away Team - Total Goals (1.5) - 1st Half",NA,"Away Team: Team Over/Under - 1st Half 1.5","1st Half Away Team Over/Under 1.5 Goals","Away Team First Half Over/Under 1.5 Goals","away team total 1st half 1.5","Under 1.5",NA,"Under","Under","Under","Under 1.5",-1818,NA,-1800,-1200,-1800,-2000,"1st Half Away Team Over/Under 1.5 Goals","2023-11-05T15:45:00.0000000Z",2023-11-03 10:51:42.619595,"Under 1.5"
"5",NA,"Ajax-Heerenveen","Away Team - Total Goals (2.5) - 1st Half",NA,NA,"1st Half Away Team Over/Under 2.5 Goals","Away Team First Half Over/Under 2.5 Goals",NA,"Over 2.5",NA,NA,"Over","Over",NA,3300,NA,NA,2000,5500,NA,"1st Half Away Team Over/Under 2.5 Goals",NA,2023-11-03 10:51:42.619595,"Over 2.5"
"6",NA,"Ajax-Heerenveen","Away Team - Total Goals (2.5) - 1st Half",NA,NA,"1st Half Away Team Over/Under 2.5 Goals","Away Team First Half Over/Under 2.5 Goals",NA,"Under 2.5",NA,NA,"Under","Under",NA,NA,NA,NA,-10000,-20000,NA,"1st Half Away Team Over/Under 2.5 Goals",NA,2023-11-03 10:51:42.619595,"Under 2.5"
"7",NA,"Ajax-Heerenveen",NA,NA,NA,"1st Half Away Team Over/Under 3.5 Goals","Away Team First Half Over/Under 3.5 Goals",NA,NA,NA,NA,"Over","Over",NA,NA,NA,NA,4000,10000,NA,"1st Half Away Team Over/Under 3.5 Goals",NA,2023-11-03 10:51:42.619595,"Over"
"8",NA,"Ajax-Heerenveen",NA,NA,NA,"1st Half Away Team Over/Under 3.5 Goals","Away Team First Half Over/Under 3.5 Goals",NA,NA,NA,NA,"Under","Under",NA,NA,NA,NA,-75000,-100000,NA,"1st Half Away Team Over/Under 3.5 Goals",NA,2023-11-03 10:51:42.619595,"Under"
"9",NA,"Ajax-Heerenveen",NA,NA,NA,"1st Half Away Team Over/Under 4.5 Goals","Away Team First Half Over/Under 4.5 Goals",NA,NA,NA,NA,"Over","Over",NA,NA,NA,NA,8000,10000,NA,"1st Half Away Team Over/Under 4.5 Goals",NA,2023-11-03 10:51:42.619595,"Over"
"10",NA,"Ajax-Heerenveen",NA,NA,NA,"1st Half Away Team Over/Under 4.5 Goals","Away Team First Half Over/Under 4.5 Goals",NA,NA,NA,NA,"Under","Under",NA,NA,NA,NA,-1000000,-100000,NA,"1st Half Away Team Over/Under 4.5 Goals",NA,2023-11-03 10:51:42.619595,"Under"
"11","netherlands---eredivisie","Ajax-Heerenveen","1st Half Result","Half Time","Moneyline 1st Half","1st Half Betting","Half-Time Result","half-time result","Ajax","Ajax","Ajax","Ajax","Ajax","Ajax",-111,-114,-110,-102,-115,-110,"1st Half Betting","2023-11-05T15:45:00.0000000Z",2023-11-03 10:51:42.619595,"Ajax"
"12","netherlands---eredivisie","Ajax-Heerenveen","1st Half Result","Half Time","Moneyline 1st Half","1st Half Betting","Half-Time Result","half-time result","Draw","Draw","Draw","Draw","Draw","Draw",155,180,165,145,155,160,"1st Half Betting","2023-11-05T15:45:00.0000000Z",2023-11-03 10:51:42.619595,"Draw"
"13","netherlands---eredivisie","Ajax-Heerenveen","1st Half Result","Half Time","Moneyline 1st Half","1st Half Betting","Half-Time Result","half-time result","Heerenveen","Heerenveen","Heerenveen","Heerenveen","Heerenveen","Heerenveen",400,410,380,370,450,400,"1st Half Betting","2023-11-05T15:45:00.0000000Z",2023-11-03 10:51:42.619595,"Heerenveen"
"14",NA,"Ajax-Heerenveen","3way Handicap (1) - 1st Half","3-Way Spread - 1st Half 1",NA,"1st Half Handicap +1","First Half Spread 1",NA,"Heerenveen","Heerenveen",NA,"Heerenveen","Heerenveen",NA,-128,-117,NA,-150,-130,NA,"1st Half Handicap +1",NA,2023-11-03 10:51:42.619595,"Heerenveen"
"15",NA,"Ajax-Heerenveen",NA,NA,NA,"1st Half Handicap +2",NA,NA,NA,NA,NA,"Heerenveen",NA,NA,NA,NA,NA,-750,NA,NA,"1st Half Handicap +2",NA,2023-11-03 10:51:42.619595,"Heerenveen"
"16",NA,"Ajax-Heerenveen",NA,NA,NA,"1st Half Handicap +3",NA,NA,NA,NA,NA,"Heerenveen",NA,NA,NA,NA,NA,-6000,NA,NA,"1st Half Handicap +3",NA,2023-11-03 10:51:42.619595,"Heerenveen"
