"","League","Matchup","MGM Market Name","BetRivers Market Name","Draftkings Market Name","Caesars Market Name","Fanduel Market Name","PointsBet Market Name","MGM Selection Name","BetRivers Selection Name","Draftkings Selection Name","Caesars Selection Name","Fanduel Selection Name","PointsBet Selection Name","MGM Odds","BetRivers Odds","Draftkings Odds","Caesars Odds","Fanduel Odds","PointsBet Odds","caesars","Time","update_time","selection"
"1",NA,"-Lebanon",NA,"Half Time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-120,NA,NA,NA,NA,"1st Half Betting",NA,2023-10-16 15:29:58.021266,NA
"2",NA,"-Lebanon",NA,"Half Time",NA,NA,NA,NA,NA,"Draw",NA,NA,NA,NA,NA,133,NA,NA,NA,NA,"1st Half Betting",NA,2023-10-16 15:29:58.021266,"Draw"
"3",NA,"-Lebanon",NA,"Half Time",NA,NA,NA,NA,NA,"Lebanon",NA,NA,NA,NA,NA,650,NA,NA,NA,NA,"1st Half Betting",NA,2023-10-16 15:29:58.021266,"Lebanon"
"4",NA,"-Lebanon",NA,"3-Way Spread - 1st Half 1",NA,NA,NA,NA,NA,"Lebanon",NA,NA,NA,NA,NA,-127,NA,NA,NA,NA,"1st Half Handicap +1",NA,2023-10-16 15:29:58.021266,"Lebanon"
"5",NA,"-Lebanon",NA,"3-Way Spread - 1st Half -1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,370,NA,NA,NA,NA,"1st Half Handicap -1",NA,2023-10-16 15:29:58.021266,NA
"6",NA,"-Lebanon",NA,"3-Way Spread - 1st Half -1",NA,NA,NA,NA,NA,"Draw",NA,NA,NA,NA,NA,180,NA,NA,NA,NA,"1st Half Handicap -1",NA,2023-10-16 15:29:58.021266,"Draw"
"7",NA,"-Lebanon",NA,"Total Goals - 1st Half 0.5",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,-286,NA,NA,NA,NA,"1st Half Over/Under 0.5 Goals",NA,2023-10-16 15:29:58.021266,"Over"
"8",NA,"-Lebanon",NA,"Total Goals - 1st Half 0.5",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,190,NA,NA,NA,NA,"1st Half Over/Under 0.5 Goals",NA,2023-10-16 15:29:58.021266,"Under"
"9",NA,"-Lebanon",NA,"Total Goals - 1st Half 1.5",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,195,NA,NA,NA,NA,"1st Half Over/Under 1.5 Goals",NA,2023-10-16 15:29:58.021266,"Over"
"10",NA,"-Lebanon",NA,"Total Goals - 1st Half 1.5",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-286,NA,NA,NA,NA,"1st Half Over/Under 1.5 Goals",NA,2023-10-16 15:29:58.021266,"Under"
"11",NA,"-Lebanon",NA,"Regular Time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-335,NA,NA,NA,NA,"90 Minutes",NA,2023-10-16 15:29:58.021266,NA
"12",NA,"-Lebanon",NA,"Regular Time",NA,NA,NA,NA,NA,"Draw",NA,NA,NA,NA,NA,350,NA,NA,NA,NA,"90 Minutes",NA,2023-10-16 15:29:58.021266,"Draw"
"13",NA,"-Lebanon",NA,"Regular Time",NA,NA,NA,NA,NA,"Lebanon",NA,NA,NA,NA,NA,800,NA,NA,NA,NA,"90 Minutes",NA,2023-10-16 15:29:58.021266,"Lebanon"
"14",NA,"-Lebanon",NA,"Total Goals by Away Team 0.5",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,112,NA,NA,NA,NA,"Away Team Over/Under 0.5 Goals",NA,2023-10-16 15:29:58.021266,"Over"
"15",NA,"-Lebanon",NA,"Total Goals by Away Team 0.5",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-152,NA,NA,NA,NA,"Away Team Over/Under 0.5 Goals",NA,2023-10-16 15:29:58.021266,"Under"
"16",NA,"-Lebanon",NA,"Total Goals by Away Team 1.5",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,650,NA,NA,NA,NA,"Away Team Over/Under 1.5 Goals",NA,2023-10-16 15:29:58.021266,"Over"
"17",NA,"-Lebanon",NA,"Total Goals by Away Team 1.5",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-1250,NA,NA,NA,NA,"Away Team Over/Under 1.5 Goals",NA,2023-10-16 15:29:58.021266,"Under"
"18",NA,"-Lebanon",NA,"Both Teams To Score",NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,145,NA,NA,NA,NA,"Both Teams To Score",NA,2023-10-16 15:29:58.021266,"Yes"
"19",NA,"-Lebanon",NA,"Both Teams To Score",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,-200,NA,NA,NA,NA,"Both Teams To Score",NA,2023-10-16 15:29:58.021266,"No"
