"","League","Matchup","MGM Market Name","BetRivers Market Name","Draftkings Market Name","Caesars Market Name","Fanduel Market Name","PointsBet Market Name","MGM Selection Name","BetRivers Selection Name","Draftkings Selection Name","Caesars Selection Name","Fanduel Selection Name","PointsBet Selection Name","MGM Odds","BetRivers Odds","Draftkings Odds","Caesars Odds","Fanduel Odds","PointsBet Odds","caesars","Time","update_time","selection"
"1",NA,"Southern District-Resources Capital",NA,NA,NA,"1st Half Away Team Over/Under 0.5 Goals",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,350,NA,NA,"1st Half Away Team Over/Under 0.5 Goals",NA,2023-10-03 07:50:18.193185,"Over"
"2",NA,"Southern District-Resources Capital",NA,NA,NA,"1st Half Away Team Over/Under 0.5 Goals",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-525,NA,NA,"1st Half Away Team Over/Under 0.5 Goals",NA,2023-10-03 07:50:18.193185,"Under"
"3",NA,"Southern District-Resources Capital",NA,NA,NA,"1st Half Away Team Over/Under 1.5 Goals",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,2000,NA,NA,"1st Half Away Team Over/Under 1.5 Goals",NA,2023-10-03 07:50:18.193185,"Over"
"4",NA,"Southern District-Resources Capital",NA,NA,NA,"1st Half Away Team Over/Under 1.5 Goals",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-10000,NA,NA,"1st Half Away Team Over/Under 1.5 Goals",NA,2023-10-03 07:50:18.193185,"Under"
"5",NA,"Southern District-Resources Capital",NA,NA,NA,"1st Half Away Team Over/Under 2.5 Goals",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,5000,NA,NA,"1st Half Away Team Over/Under 2.5 Goals",NA,2023-10-03 07:50:18.193185,"Over"
"6",NA,"Southern District-Resources Capital",NA,NA,NA,"1st Half Away Team Over/Under 2.5 Goals",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-200000,NA,NA,"1st Half Away Team Over/Under 2.5 Goals",NA,2023-10-03 07:50:18.193185,"Under"
"7",NA,"Southern District-Resources Capital",NA,NA,NA,"1st Half Away Team Over/Under 3.5 Goals",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,10000,NA,NA,"1st Half Away Team Over/Under 3.5 Goals",NA,2023-10-03 07:50:18.193185,"Over"
"8",NA,"Southern District-Resources Capital",NA,NA,NA,"1st Half Away Team Over/Under 3.5 Goals",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-2500000,NA,NA,"1st Half Away Team Over/Under 3.5 Goals",NA,2023-10-03 07:50:18.193185,"Under"
"9","hong-kong---premier-league","Southern District-Resources Capital","1st Half Result","Half Time","Moneyline 1st Half","1st Half Betting","Half-Time Result","half-time result","Draw","Draw","Draw","Draw","Draw","Draw",250,210,255,235,220,230,"1st Half Betting","2023-10-03T12:00:00.0000000Z",2023-10-03 07:50:18.193185,"Draw"
"10","hong-kong---premier-league","Southern District-Resources Capital","1st Half Result","Half Time","Moneyline 1st Half","1st Half Betting","Half-Time Result","half-time result","Resources Capital","Resources Capital","Resources Capital","Resources Capital","Resources Capital","Resources Capital",1300,950,1100,1300,1000,1500,"1st Half Betting","2023-10-03T12:00:00.0000000Z",2023-10-03 07:50:18.193185,"Resources Capital"
"11","hong-kong---premier-league","Southern District-Resources Capital","1st Half Result","Half Time","Moneyline 1st Half","1st Half Betting","Half-Time Result","half-time result","Southern District","Southern District","Southern District","Southern District","Southern District","Southern District",-303,-230,-320,-310,-230,-270,"1st Half Betting","2023-10-03T12:00:00.0000000Z",2023-10-03 07:50:18.193185,"Southern District"
"12","hong-kong---premier-league","Southern District-Resources Capital",NA,NA,"Spread 1st Half 1",NA,NA,NA,NA,NA,"Resources Capital",NA,NA,NA,NA,NA,115,NA,NA,NA,"1st Half Handicap +1","2023-10-03T12:00:00.0000000Z",2023-10-03 07:50:18.193185,"Resources Capital"
