"","League","Matchup","MGM Market Name","BetRivers Market Name","Draftkings Market Name","Caesars Market Name","Fanduel Market Name","PointsBet Market Name","MGM Selection Name","BetRivers Selection Name","Draftkings Selection Name","Caesars Selection Name","Fanduel Selection Name","PointsBet Selection Name","MGM Odds","BetRivers Odds","Draftkings Odds","Caesars Odds","Fanduel Odds","PointsBet Odds","caesars","Time","update_time","selection"
"1","italy---serie-a","AC Milan-Lazio","Away Team - Total Goals (0.5) - 1st Half",NA,"Away Team: Team Over/Under - 1st Half 0.5","1st Half Away Team Over/Under 0.5 Goals","Away Team First Half Over/Under 0.5 Goals","away team total 1st half 0.5","Over 0.5",NA,"Over","Over","Over","Over 0.5",170,NA,175,165,184,165,"1st Half Away Team Over/Under 0.5 Goals","2023-09-30T16:00:00.0000000Z",2023-09-29 21:02:05.626524,"Over 0.5"
"2","italy---serie-a","AC Milan-Lazio","Away Team - Total Goals (0.5) - 1st Half",NA,"Away Team: Team Over/Under - 1st Half 0.5","1st Half Away Team Over/Under 0.5 Goals","Away Team First Half Over/Under 0.5 Goals","away team total 1st half 0.5","Under 0.5",NA,"Under","Under","Under","Under 0.5",-244,NA,-235,-220,-240,-225,"1st Half Away Team Over/Under 0.5 Goals","2023-09-30T16:00:00.0000000Z",2023-09-29 21:02:05.626524,"Under 0.5"
"3","italy---serie-a","AC Milan-Lazio","Away Team - Total Goals (1.5) - 1st Half",NA,"Away Team: Team Over/Under - 1st Half 1.5","1st Half Away Team Over/Under 1.5 Goals","Away Team First Half Over/Under 1.5 Goals","away team total 1st half 1.5","Over 1.5",NA,"Over","Over","Over","Over 1.5",1000,NA,1000,900,1320,1200,"1st Half Away Team Over/Under 1.5 Goals","2023-09-30T16:00:00.0000000Z",2023-09-29 21:02:05.626524,"Over 1.5"
"4","italy---serie-a","AC Milan-Lazio","Away Team - Total Goals (1.5) - 1st Half",NA,"Away Team: Team Over/Under - 1st Half 1.5","1st Half Away Team Over/Under 1.5 Goals","Away Team First Half Over/Under 1.5 Goals","away team total 1st half 1.5","Under 1.5",NA,"Under","Under","Under","Under 1.5",-2857,NA,-4000,-2500,-3000,-2994,"1st Half Away Team Over/Under 1.5 Goals","2023-09-30T16:00:00.0000000Z",2023-09-29 21:02:05.626524,"Under 1.5"
"5",NA,"AC Milan-Lazio","Away Team - Total Goals (2.5) - 1st Half",NA,NA,"1st Half Away Team Over/Under 2.5 Goals","Away Team First Half Over/Under 2.5 Goals",NA,"Over 2.5",NA,NA,"Over","Over",NA,4500,NA,NA,1800,9000,NA,"1st Half Away Team Over/Under 2.5 Goals",NA,2023-09-29 21:02:05.626524,"Over 2.5"
"6",NA,"AC Milan-Lazio","Away Team - Total Goals (2.5) - 1st Half",NA,NA,"1st Half Away Team Over/Under 2.5 Goals","Away Team First Half Over/Under 2.5 Goals",NA,"Under 2.5",NA,NA,"Under","Under",NA,NA,NA,NA,-20000,-50000,NA,"1st Half Away Team Over/Under 2.5 Goals",NA,2023-09-29 21:02:05.626524,"Under 2.5"
"7",NA,"AC Milan-Lazio",NA,NA,NA,"1st Half Away Team Over/Under 3.5 Goals","Away Team First Half Over/Under 3.5 Goals",NA,NA,NA,NA,"Over","Over",NA,NA,NA,NA,3000,10000,NA,"1st Half Away Team Over/Under 3.5 Goals",NA,2023-09-29 21:02:05.626524,"Over"
"8",NA,"AC Milan-Lazio",NA,NA,NA,"1st Half Away Team Over/Under 3.5 Goals","Away Team First Half Over/Under 3.5 Goals",NA,NA,NA,NA,"Under","Under",NA,NA,NA,NA,-100000,-100000,NA,"1st Half Away Team Over/Under 3.5 Goals",NA,2023-09-29 21:02:05.626524,"Under"
"9",NA,"AC Milan-Lazio",NA,NA,NA,"1st Half Away Team Over/Under 4.5 Goals","Away Team First Half Over/Under 4.5 Goals",NA,NA,NA,NA,"Over","Over",NA,NA,NA,NA,3000,10000,NA,"1st Half Away Team Over/Under 4.5 Goals",NA,2023-09-29 21:02:05.626524,"Over"
"10",NA,"AC Milan-Lazio",NA,NA,NA,"1st Half Away Team Over/Under 4.5 Goals","Away Team First Half Over/Under 4.5 Goals",NA,NA,NA,NA,"Under","Under",NA,NA,NA,NA,-100000,-100000,NA,"1st Half Away Team Over/Under 4.5 Goals",NA,2023-09-29 21:02:05.626524,"Under"
"11","italy---serie-a","AC Milan-Lazio","1st Half Result","Half Time","Moneyline 1st Half","1st Half Betting","Half-Time Result","half-time result","AC Milan","AC Milan","AC Milan","AC Milan","AC Milan","AC Milan",130,135,135,135,125,135,"1st Half Betting","2023-09-30T16:00:00.0000000Z",2023-09-29 21:02:05.626524,"AC Milan"
"12","italy---serie-a","AC Milan-Lazio","1st Half Result","Half Time","Moneyline 1st Half","1st Half Betting","Half-Time Result","half-time result","Draw","Draw","Draw","Draw","Draw","Draw",110,120,110,104,110,120,"1st Half Betting","2023-09-30T16:00:00.0000000Z",2023-09-29 21:02:05.626524,"Draw"
"13","italy---serie-a","AC Milan-Lazio","1st Half Result","Half Time","Moneyline 1st Half","1st Half Betting","Half-Time Result","half-time result","Lazio","Lazio","Lazio","Lazio","Lazio","Lazio",360,390,425,375,430,400,"1st Half Betting","2023-09-30T16:00:00.0000000Z",2023-09-29 21:02:05.626524,"Lazio"
"14",NA,"AC Milan-Lazio","3way Handicap (1) - 1st Half","3-Way Spread - 1st Half 1",NA,"1st Half Handicap +1","First Half Spread 1","1st half 3-way spread 1","Lazio","Lazio",NA,"Lazio","Lazio","Lazio",-189,-190,NA,-225,-185,-175,"1st Half Handicap +1",NA,2023-09-29 21:02:05.626524,"Lazio"
"15",NA,"AC Milan-Lazio",NA,NA,NA,"1st Half Handicap +2",NA,"1st half 3-way spread 2",NA,NA,NA,"Lazio",NA,"Lazio",NA,NA,NA,-2200,NA,-1099,"1st Half Handicap +2",NA,2023-09-29 21:02:05.626524,"Lazio"
"16",NA,"AC Milan-Lazio",NA,NA,NA,"1st Half Handicap +2",NA,"1st half 3-way spread 2",NA,NA,NA,"Lazio",NA,"AC Milan",NA,NA,NA,NA,NA,-10000,"1st Half Handicap +2",NA,2023-09-29 21:02:05.626524,"Lazio"
"17",NA,"AC Milan-Lazio",NA,NA,NA,"1st Half Handicap +2",NA,"1st half 3-way spread 2",NA,NA,NA,"Lazio",NA,"Draw ",NA,NA,NA,NA,NA,2200,"1st Half Handicap +2",NA,2023-09-29 21:02:05.626524,"Lazio"
"18",NA,"AC Milan-Lazio",NA,NA,NA,"1st Half Handicap +3",NA,"1st half 3-way spread 3",NA,NA,NA,"Lazio",NA,"Lazio",NA,NA,NA,-12500,NA,-12500,"1st Half Handicap +3",NA,2023-09-29 21:02:05.626524,"Lazio"
"19",NA,"AC Milan-Lazio","3way Handicap (-1) - 1st Half","3-Way Spread - 1st Half -1",NA,"1st Half Handicap -1","First Half Spread -1","1st half 3-way spread -1","AC Milan","AC Milan",NA,"AC Milan","AC Milan","AC Milan",525,525,NA,600,600,600,"1st Half Handicap -1",NA,2023-09-29 21:02:05.626524,"AC Milan"
