"","League","Matchup","MGM Market Name","BetRivers Market Name","Draftkings Market Name","Caesars Market Name","Fanduel Market Name","PointsBet Market Name","MGM Selection Name","BetRivers Selection Name","Draftkings Selection Name","Caesars Selection Name","Fanduel Selection Name","PointsBet Selection Name","MGM Odds","BetRivers Odds","Draftkings Odds","Caesars Odds","Fanduel Odds","PointsBet Odds","caesars","Time","update_time","selection"
"1",NA,"-Hapoel Jerusalem","Away Team - Total Goals (0.5) - 1st Half",NA,NA,NA,NA,NA,"Over 0.5",NA,NA,NA,NA,NA,200,NA,NA,NA,NA,NA,"1st Half Away Team Over/Under 0.5 Goals",NA,2023-09-27 08:59:58.14706,"Over 0.5"
"2",NA,"-Hapoel Jerusalem","Away Team - Total Goals (0.5) - 1st Half",NA,NA,NA,NA,NA,"Under 0.5",NA,NA,NA,NA,NA,-303,NA,NA,NA,NA,NA,"1st Half Away Team Over/Under 0.5 Goals",NA,2023-09-27 08:59:58.14706,"Under 0.5"
"3",NA,"-Hapoel Jerusalem","Away Team - Total Goals (1.5) - 1st Half",NA,NA,NA,NA,NA,"Over 1.5",NA,NA,NA,NA,NA,1300,NA,NA,NA,NA,NA,"1st Half Away Team Over/Under 1.5 Goals",NA,2023-09-27 08:59:58.14706,"Over 1.5"
"4",NA,"-Hapoel Jerusalem","Away Team - Total Goals (1.5) - 1st Half",NA,NA,NA,NA,NA,"Under 1.5",NA,NA,NA,NA,NA,-5000,NA,NA,NA,NA,NA,"1st Half Away Team Over/Under 1.5 Goals",NA,2023-09-27 08:59:58.14706,"Under 1.5"
"5",NA,"-Hapoel Jerusalem","Away Team - Total Goals (2.5) - 1st Half",NA,NA,NA,NA,NA,"Over 2.5",NA,NA,NA,NA,NA,5500,NA,NA,NA,NA,NA,"1st Half Away Team Over/Under 2.5 Goals",NA,2023-09-27 08:59:58.14706,"Over 2.5"
"6",NA,"-Hapoel Jerusalem","Away Team - Total Goals (2.5) - 1st Half",NA,NA,NA,NA,NA,"Under 2.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1st Half Away Team Over/Under 2.5 Goals",NA,2023-09-27 08:59:58.14706,"Under 2.5"
"7",NA,"-Hapoel Jerusalem","1st Half Result",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,NA,NA,NA,NA,NA,"1st Half Betting",NA,2023-09-27 08:59:58.14706,NA
"8",NA,"-Hapoel Jerusalem","1st Half Result",NA,NA,NA,NA,NA,"Draw",NA,NA,NA,NA,NA,115,NA,NA,NA,NA,NA,"1st Half Betting",NA,2023-09-27 08:59:58.14706,"Draw"
"9",NA,"-Hapoel Jerusalem","1st Half Result",NA,NA,NA,NA,NA,"Hapoel Jerusalem",NA,NA,NA,NA,NA,425,NA,NA,NA,NA,NA,"1st Half Betting",NA,2023-09-27 08:59:58.14706,"Hapoel Jerusalem"
"10",NA,"-Hapoel Jerusalem","Home Team - Total Goals (0.5) - 1st Half",NA,NA,NA,NA,NA,"Over 0.5",NA,NA,NA,NA,NA,-137,NA,NA,NA,NA,NA,"1st Half Home Team Over/Under 0.5 Goals",NA,2023-09-27 08:59:58.14706,"Over 0.5"
