"","League","Matchup","MGM Market Name","BetRivers Market Name","Draftkings Market Name","Caesars Market Name","Fanduel Market Name","PointsBet Market Name","MGM Selection Name","BetRivers Selection Name","Draftkings Selection Name","Caesars Selection Name","Fanduel Selection Name","PointsBet Selection Name","MGM Odds","BetRivers Odds","Draftkings Odds","Caesars Odds","Fanduel Odds","PointsBet Odds","caesars","Time","update_time","selection"
"1",NA,"Burgos-Villarreal B","Away Team - Total Goals (0.5) - 1st Half",NA,NA,NA,"Away Team First Half Over/Under 0.5 Goals",NA,"Over 0.5",NA,NA,NA,"Over",NA,155,NA,NA,NA,164,NA,"1st Half Away Team Over/Under 0.5 Goals",NA,2023-10-09 09:55:33.920142,"Over 0.5"
"2",NA,"Burgos-Villarreal B","Away Team - Total Goals (0.5) - 1st Half",NA,NA,NA,"Away Team First Half Over/Under 0.5 Goals",NA,"Under 0.5",NA,NA,NA,"Under",NA,-227,NA,NA,NA,-215,NA,"1st Half Away Team Over/Under 0.5 Goals",NA,2023-10-09 09:55:33.920142,"Under 0.5"
"3",NA,"Burgos-Villarreal B","Away Team - Total Goals (1.5) - 1st Half",NA,NA,NA,"Away Team First Half Over/Under 1.5 Goals",NA,"Over 1.5",NA,NA,NA,"Over",NA,950,NA,NA,NA,1140,NA,"1st Half Away Team Over/Under 1.5 Goals",NA,2023-10-09 09:55:33.920142,"Over 1.5"
"4",NA,"Burgos-Villarreal B","Away Team - Total Goals (1.5) - 1st Half",NA,NA,NA,"Away Team First Half Over/Under 1.5 Goals",NA,"Under 1.5",NA,NA,NA,"Under",NA,-2500,NA,NA,NA,-2400,NA,"1st Half Away Team Over/Under 1.5 Goals",NA,2023-10-09 09:55:33.920142,"Under 1.5"
"5",NA,"Burgos-Villarreal B","Away Team - Total Goals (2.5) - 1st Half",NA,NA,NA,"Away Team First Half Over/Under 2.5 Goals",NA,"Over 2.5",NA,NA,NA,"Over",NA,4000,NA,NA,NA,7500,NA,"1st Half Away Team Over/Under 2.5 Goals",NA,2023-10-09 09:55:33.920142,"Over 2.5"
"6",NA,"Burgos-Villarreal B","Away Team - Total Goals (2.5) - 1st Half",NA,NA,NA,"Away Team First Half Over/Under 2.5 Goals",NA,"Under 2.5",NA,NA,NA,"Under",NA,NA,NA,NA,NA,-20000,NA,"1st Half Away Team Over/Under 2.5 Goals",NA,2023-10-09 09:55:33.920142,"Under 2.5"
"7",NA,"Burgos-Villarreal B",NA,NA,NA,NA,"Away Team First Half Over/Under 3.5 Goals",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-100000,NA,"1st Half Away Team Over/Under 3.5 Goals",NA,2023-10-09 09:55:33.920142,"Under"
"8",NA,"Burgos-Villarreal B",NA,NA,NA,NA,"Away Team First Half Over/Under 3.5 Goals",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,10000,NA,"1st Half Away Team Over/Under 3.5 Goals",NA,2023-10-09 09:55:33.920142,"Over"
"9",NA,"Burgos-Villarreal B",NA,NA,NA,NA,"Away Team First Half Over/Under 4.5 Goals",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-100000,NA,"1st Half Away Team Over/Under 4.5 Goals",NA,2023-10-09 09:55:33.920142,"Under"
"10",NA,"Burgos-Villarreal B",NA,NA,NA,NA,"Away Team First Half Over/Under 4.5 Goals",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,10000,NA,"1st Half Away Team Over/Under 4.5 Goals",NA,2023-10-09 09:55:33.920142,"Over"
"11",NA,"Burgos-Villarreal B","1st Half Result",NA,NA,"1st Half Betting","Half-Time Result",NA,"Burgos",NA,NA,"Burgos","Burgos",NA,145,NA,NA,140,140,NA,"1st Half Betting",NA,2023-10-09 09:55:33.920142,"Burgos"
"12",NA,"Burgos-Villarreal B","1st Half Result",NA,NA,"1st Half Betting","Half-Time Result",NA,"Draw",NA,NA,"Draw","Draw",NA,110,NA,NA,106,110,NA,"1st Half Betting",NA,2023-10-09 09:55:33.920142,"Draw"
"13",NA,"Burgos-Villarreal B","1st Half Result",NA,NA,"1st Half Betting","Half-Time Result",NA,"Villarreal B",NA,NA,"Villarreal B","Villarreal B",NA,320,NA,NA,350,370,NA,"1st Half Betting",NA,2023-10-09 09:55:33.920142,"Villarreal B"
"14",NA,"Burgos-Villarreal B","3way Handicap (1) - 1st Half",NA,NA,NA,"First Half Spread 1",NA,"Villarreal B",NA,NA,NA,"Villarreal B",NA,-213,NA,NA,NA,-210,NA,"1st Half Handicap +1",NA,2023-10-09 09:55:33.920142,"Villarreal B"
"15",NA,"Burgos-Villarreal B","3way Handicap (-1) - 1st Half",NA,NA,NA,"First Half Spread -1",NA,"Burgos",NA,NA,NA,"Burgos",NA,625,NA,NA,NA,650,NA,"1st Half Handicap -1",NA,2023-10-09 09:55:33.920142,"Burgos"
"16",NA,"Burgos-Villarreal B","3way Handicap (-1) - 1st Half",NA,NA,NA,"First Half Spread -1",NA,"Villarreal B",NA,NA,NA,"Handicap Draw",NA,NA,NA,NA,NA,230,NA,"1st Half Handicap -1",NA,2023-10-09 09:55:33.920142,"Villarreal B"
