"","League","Matchup","MGM Market Name","BetRivers Market Name","Draftkings Market Name","Caesars Market Name","Fanduel Market Name","PointsBet Market Name","MGM Selection Name","BetRivers Selection Name","Draftkings Selection Name","Caesars Selection Name","Fanduel Selection Name","PointsBet Selection Name","MGM Odds","BetRivers Odds","Draftkings Odds","Caesars Odds","Fanduel Odds","PointsBet Odds","caesars","Time","update_time","selection"
"1",NA,"-Lille","Away Team - Total Goals (0.5) - 1st Half",NA,NA,NA,NA,NA,"Over 0.5",NA,NA,NA,NA,NA,-111,NA,NA,NA,NA,NA,"1st Half Away Team Over/Under 0.5 Goals",NA,2023-12-16 23:24:15.365454,"Over 0.5"
"2",NA,"-Lille","Away Team - Total Goals (0.5) - 1st Half",NA,NA,NA,NA,NA,"Under 0.5",NA,NA,NA,NA,NA,-128,NA,NA,NA,NA,NA,"1st Half Away Team Over/Under 0.5 Goals",NA,2023-12-16 23:24:15.365454,"Under 0.5"
"3",NA,"-Lille","Away Team - Total Goals (1.5) - 1st Half",NA,NA,NA,NA,NA,"Over 1.5",NA,NA,NA,NA,NA,475,NA,NA,NA,NA,NA,"1st Half Away Team Over/Under 1.5 Goals",NA,2023-12-16 23:24:15.365454,"Over 1.5"
"4",NA,"-Lille","Away Team - Total Goals (1.5) - 1st Half",NA,NA,NA,NA,NA,"Under 1.5",NA,NA,NA,NA,NA,-833,NA,NA,NA,NA,NA,"1st Half Away Team Over/Under 1.5 Goals",NA,2023-12-16 23:24:15.365454,"Under 1.5"
"5",NA,"-Lille","Away Team - Total Goals (2.5) - 1st Half",NA,NA,NA,NA,NA,"Over 2.5",NA,NA,NA,NA,NA,1850,NA,NA,NA,NA,NA,"1st Half Away Team Over/Under 2.5 Goals",NA,2023-12-16 23:24:15.365454,"Over 2.5"
"6",NA,"-Lille","Away Team - Total Goals (2.5) - 1st Half",NA,NA,NA,NA,NA,"Under 2.5",NA,NA,NA,NA,NA,-16667,NA,NA,NA,NA,NA,"1st Half Away Team Over/Under 2.5 Goals",NA,2023-12-16 23:24:15.365454,"Under 2.5"
"7",NA,"-Lille","1st Half Result",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,310,NA,NA,NA,NA,NA,"1st Half Betting",NA,2023-12-16 23:24:15.365454,NA
"8",NA,"-Lille","1st Half Result",NA,NA,NA,NA,NA,"Draw",NA,NA,NA,NA,NA,105,NA,NA,NA,NA,NA,"1st Half Betting",NA,2023-12-16 23:24:15.365454,"Draw"
"9",NA,"-Lille","1st Half Result",NA,NA,NA,NA,NA,"Lille",NA,NA,NA,NA,NA,155,NA,NA,NA,NA,NA,"1st Half Betting",NA,2023-12-16 23:24:15.365454,"Lille"
"10",NA,"-Lille","3way Handicap (1) - 1st Half",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-227,NA,NA,NA,NA,NA,"1st Half Handicap +1",NA,2023-12-16 23:24:15.365454,NA
"11",NA,"-Lille","3way Handicap (1) - 1st Half",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240,NA,NA,NA,NA,NA,"1st Half Handicap +1",NA,2023-12-16 23:24:15.365454,NA
"12",NA,"-Lille","3way Handicap (1) - 1st Half",NA,NA,NA,NA,NA,"Lille",NA,NA,NA,NA,NA,-500,NA,NA,NA,NA,NA,"1st Half Handicap +1",NA,2023-12-16 23:24:15.365454,"Lille"
"13",NA,"-Lille","3way Handicap (-1) - 1st Half",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1450,NA,NA,NA,NA,NA,"1st Half Handicap -1",NA,2023-12-16 23:24:15.365454,NA
"14",NA,"-Lille","3way Handicap (-1) - 1st Half",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,400,NA,NA,NA,NA,NA,"1st Half Handicap -1",NA,2023-12-16 23:24:15.365454,NA
"15",NA,"-Lille","3way Handicap (-1) - 1st Half",NA,NA,NA,NA,NA,"Lille",NA,NA,NA,NA,NA,650,NA,NA,NA,NA,NA,"1st Half Handicap -1",NA,2023-12-16 23:24:15.365454,"Lille"
"16",NA,"-Lille","Home Team - Total Goals (0.5) - 1st Half",NA,NA,NA,NA,NA,"Over 0.5",NA,NA,NA,NA,NA,150,NA,NA,NA,NA,NA,"1st Half Home Team Over/Under 0.5 Goals",NA,2023-12-16 23:24:15.365454,"Over 0.5"
"17",NA,"-Lille","Home Team - Total Goals (0.5) - 1st Half",NA,NA,NA,NA,NA,"Under 0.5",NA,NA,NA,NA,NA,-217,NA,NA,NA,NA,NA,"1st Half Home Team Over/Under 0.5 Goals",NA,2023-12-16 23:24:15.365454,"Under 0.5"
"18",NA,"-Lille","Home Team - Total Goals (1.5) - 1st Half",NA,NA,NA,NA,NA,"Over 1.5",NA,NA,NA,NA,NA,900,NA,NA,NA,NA,NA,"1st Half Home Team Over/Under 1.5 Goals",NA,2023-12-16 23:24:15.365454,"Over 1.5"
"19",NA,"-Lille","Home Team - Total Goals (1.5) - 1st Half",NA,NA,NA,NA,NA,"Under 1.5",NA,NA,NA,NA,NA,-2222,NA,NA,NA,NA,NA,"1st Half Home Team Over/Under 1.5 Goals",NA,2023-12-16 23:24:15.365454,"Under 1.5"
"20",NA,"-Lille","Home Team - Total Goals (2.5) - 1st Half",NA,NA,NA,NA,NA,"Over 2.5",NA,NA,NA,NA,NA,3500,NA,NA,NA,NA,NA,"1st Half Home Team Over/Under 2.5 Goals",NA,2023-12-16 23:24:15.365454,"Over 2.5"
"21",NA,"-Lille","Home Team - Total Goals (2.5) - 1st Half",NA,NA,NA,NA,NA,"Under 2.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1st Half Home Team Over/Under 2.5 Goals",NA,2023-12-16 23:24:15.365454,"Under 2.5"
"22",NA,"-Lille","1st Half - Total Goals (0.5)",NA,NA,NA,NA,NA,"Over 0.5",NA,NA,NA,NA,NA,-244,NA,NA,NA,NA,NA,"1st Half Over/Under 0.5 Goals",NA,2023-12-16 23:24:15.365454,"Over 0.5"
"23",NA,"-Lille","1st Half - Total Goals (0.5)",NA,NA,NA,NA,NA,"Under 0.5",NA,NA,NA,NA,NA,165,NA,NA,NA,NA,NA,"1st Half Over/Under 0.5 Goals",NA,2023-12-16 23:24:15.365454,"Under 0.5"
"24",NA,"-Lille","1st Half - Total Goals (1.5)",NA,NA,NA,NA,NA,"Over 1.5",NA,NA,NA,NA,NA,190,NA,NA,NA,NA,NA,"1st Half Over/Under 1.5 Goals",NA,2023-12-16 23:24:15.365454,"Over 1.5"
"25",NA,"-Lille","1st Half - Total Goals (1.5)",NA,NA,NA,NA,NA,"Under 1.5",NA,NA,NA,NA,NA,-286,NA,NA,NA,NA,NA,"1st Half Over/Under 1.5 Goals",NA,2023-12-16 23:24:15.365454,"Under 1.5"
"26",NA,"-Lille","1st Half - Total Goals (2.5)",NA,NA,NA,NA,NA,"Over 2.5",NA,NA,NA,NA,NA,675,NA,NA,NA,NA,NA,"1st Half Over/Under 2.5 Goals",NA,2023-12-16 23:24:15.365454,"Over 2.5"
"27",NA,"-Lille","1st Half - Total Goals (2.5)",NA,NA,NA,NA,NA,"Under 2.5",NA,NA,NA,NA,NA,-1429,NA,NA,NA,NA,NA,"1st Half Over/Under 2.5 Goals",NA,2023-12-16 23:24:15.365454,"Under 2.5"
"28",NA,"-Lille","1st Half - Total Goals (3.5)",NA,NA,NA,NA,NA,"Over 3.5",NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,"1st Half Over/Under 3.5 Goals",NA,2023-12-16 23:24:15.365454,"Over 3.5"
"29",NA,"-Lille","1st Half - Total Goals (3.5)",NA,NA,NA,NA,NA,"Under 3.5",NA,NA,NA,NA,NA,-33333,NA,NA,NA,NA,NA,"1st Half Over/Under 3.5 Goals",NA,2023-12-16 23:24:15.365454,"Under 3.5"
"30",NA,"-Lille","Match Result",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,275,NA,NA,NA,NA,NA,"90 Minutes",NA,2023-12-16 23:24:15.365454,NA
"31",NA,"-Lille","Match Result",NA,NA,NA,NA,NA,"Draw",NA,NA,NA,NA,NA,250,NA,NA,NA,NA,NA,"90 Minutes",NA,2023-12-16 23:24:15.365454,"Draw"
