"","Time","League","Matchup","MGM Market Name","BetRivers Market Name","Draftkings Market Name","Caesars Market Name","Fanduel Market Name","PointsBet Market Name","MGM Selection Name","BetRivers Selection Name","Draftkings Selection Name","Caesars Selection Name","Fanduel Selection","PointsBet Selection","MGM Odds","BetRivers Odds","Draftkings Odds","Caesars Odds","Fanduel Odds","PointsBet Odds","update_time"
"1","2023-09-16T17:00:00Z","France Ligue 2","Paris FC-Amiens","1st Half - Total Goals (0.5)","Total Goals - 1st Half 0.5","Over/Under - 1st Half 0.5","1st Half Over/Under 0.5 Goals","1st Half Over/Under 0.5 Goals",NA,"Over 0.5","Over","Under","Over 0.5","Over 0.5",NA,-217,-245,NA,-180,-230,NA,2023-09-11 08:45:53.880886
"2","2023-09-16T17:00:00Z","France Ligue 2","Paris FC-Amiens","1st Half - Total Goals (0.5)","Total Goals - 1st Half 0.5","Over/Under - 1st Half 0.5","1st Half Over/Under 0.5 Goals","1st Half Over/Under 0.5 Goals",NA,"Under 0.5","Under","Under","Under 0.5","Under 0.5",NA,155,170,170,140,176,NA,2023-09-11 08:45:53.880886
"3","2023-09-16T17:00:00Z","France Ligue 2","Valenciennes-Bordeaux","1st Half - Total Goals (0.5)","Total Goals - 1st Half 0.5","Over/Under - 1st Half 0.5","1st Half Over/Under 0.5 Goals","1st Half Over/Under 0.5 Goals",NA,"Over 0.5","Over","Under","Over 0.5","Over 0.5",NA,-233,-286,NA,-195,-230,NA,2023-09-11 08:45:53.880886
"4","2023-09-16T17:00:00Z","France Ligue 2","Valenciennes-Bordeaux","1st Half - Total Goals (0.5)","Total Goals - 1st Half 0.5","Over/Under - 1st Half 0.5","1st Half Over/Under 0.5 Goals","1st Half Over/Under 0.5 Goals",NA,"Under 0.5","Under","Under","Under 0.5","Under 0.5",NA,160,190,175,155,176,NA,2023-09-11 08:45:53.880886
"5","2023-09-16T17:00:00Z","France Ligue 2","Rodez-Angers","1st Half - Total Goals (0.5)","Total Goals - 1st Half 0.5","Over/Under - 1st Half 0.5","1st Half Over/Under 0.5 Goals","1st Half Over/Under 0.5 Goals",NA,"Over 0.5","Over","Over","Over 0.5","Over 0.5",NA,-217,-235,-245,-190,-215,NA,2023-09-11 08:45:53.880886
"6","2023-09-16T17:00:00Z","France Ligue 2","Rodez-Angers","1st Half - Total Goals (0.5)","Total Goals - 1st Half 0.5","Over/Under - 1st Half 0.5","1st Half Over/Under 0.5 Goals","1st Half Over/Under 0.5 Goals",NA,"Under 0.5","Under","Over","Under 0.5","Under 0.5",NA,150,163,NA,150,168,NA,2023-09-11 08:45:53.880886
"7","2023-09-16T17:00:00Z","France Ligue 2","Dunkerque-Grenoble","1st Half - Total Goals (0.5)","Total Goals - 1st Half 0.5","Over/Under - 1st Half 0.5","1st Half Over/Under 0.5 Goals","1st Half Over/Under 0.5 Goals",NA,"Over 0.5","Over","Over","Over 0.5","Over 0.5",NA,-213,-230,-240,-180,-215,NA,2023-09-11 08:45:53.880886
"8","2023-09-16T17:00:00Z","France Ligue 2","Dunkerque-Grenoble","1st Half - Total Goals (0.5)","Total Goals - 1st Half 0.5","Over/Under - 1st Half 0.5","1st Half Over/Under 0.5 Goals","1st Half Over/Under 0.5 Goals",NA,"Under 0.5","Under","Over","Under 0.5","Under 0.5",NA,150,160,NA,140,164,NA,2023-09-11 08:45:53.880886
"9","2023-09-16T17:00:00Z","France Ligue 2","Annecy-Troyes","1st Half - Total Goals (0.5)","Total Goals - 1st Half 0.5","Over/Under - 1st Half 0.5","1st Half Over/Under 0.5 Goals","1st Half Over/Under 0.5 Goals",NA,"Over 0.5","Over","Over","Over 0.5","Over 0.5",NA,-238,-265,-260,-200,-240,NA,2023-09-11 08:45:53.880886
"10","2023-09-16T17:00:00Z","France Ligue 2","Annecy-Troyes","1st Half - Total Goals (0.5)","Total Goals - 1st Half 0.5","Over/Under - 1st Half 0.5","1st Half Over/Under 0.5 Goals","1st Half Over/Under 0.5 Goals",NA,"Under 0.5","Under","Over","Under 0.5","Under 0.5",NA,160,180,NA,160,182,NA,2023-09-11 08:45:53.880886
