"","Time","League","Matchup","MGM Market Name","BetRivers Market Name","Draftkings Market Name","Caesars Market Name","Fanduel Market Name","PointsBet Market Name","MGM Selection Name","BetRivers Selection Name","Draftkings Selection Name","Caesars Selection Name","Fanduel Selection","PointsBet Selection","MGM Odds","BetRivers Odds","Draftkings Odds","Caesars Odds","Fanduel Odds","PointsBet Odds","update_time"
"1","2023-08-12T00:00:00Z","America Leagues Cup","Philadelphia Union-Queretaro","1st Half - Total Goals (0.5)","Total Goals - 1st Half 0.5","Over/Under - 1st Half 0.5","1st Half Over/Under 0.5 Goals","1st Half Over/Under 0.5 Goals","1ST HALF GOALS 0.5","Over 0.5","Over","Over","Over 0.5","Over 0.5","Over 0.5",-357,-435,-400,-320,-400,-375,2023-08-09 21:26:24
"2","2023-08-12T00:00:00Z","America Leagues Cup","Philadelphia Union-Queretaro","1st Half - Total Goals (0.5)","Total Goals - 1st Half 0.5","Over/Under - 1st Half 0.5","1st Half Over/Under 0.5 Goals","1st Half Over/Under 0.5 Goals","1ST HALF GOALS 0.5","Under 0.5","Under","Under","Under 0.5","Under 0.5","Under 0.5",240,275,260,230,280,260,2023-08-09 21:26:24
"3","2023-08-12T00:30:00Z","America Leagues Cup","Nashville SC-Minnesota Utd","1st Half - Total Goals (0.5)","Total Goals - 1st Half 0.5","Over/Under - 1st Half 0.5","1st Half Over/Under 0.5 Goals","1st Half Over/Under 0.5 Goals","1ST HALF GOALS 0.5","Over 0.5","Over","Over","Over 0.5","Over 0.5","Over 0.5",-333,-375,-360,-280,-340,-300,2023-08-09 21:26:24
"4","2023-08-12T00:30:00Z","America Leagues Cup","Nashville SC-Minnesota Utd","1st Half - Total Goals (0.5)","Total Goals - 1st Half 0.5","Over/Under - 1st Half 0.5","1st Half Over/Under 0.5 Goals","1st Half Over/Under 0.5 Goals","1ST HALF GOALS 0.5","Under 0.5","Under","Under","Under 0.5","Under 0.5","Under 0.5",220,240,235,200,240,220,2023-08-09 21:26:24
"5","2023-08-12T00:30:00Z","America Leagues Cup","Inter Miami-Charlotte FC","1st Half - Total Goals (0.5)","Total Goals - 1st Half 0.5","Over/Under - 1st Half 0.5","1st Half Over/Under 0.5 Goals","1st Half Over/Under 0.5 Goals","1ST HALF GOALS 0.5","Over 0.5","Over","Over","Over 0.5","Over 0.5","Over 0.5",-357,-455,-380,-300,-380,-350,2023-08-09 21:26:24
"6","2023-08-12T00:30:00Z","America Leagues Cup","Inter Miami-Charlotte FC","1st Half - Total Goals (0.5)","Total Goals - 1st Half 0.5","Over/Under - 1st Half 0.5","1st Half Over/Under 0.5 Goals","1st Half Over/Under 0.5 Goals","1ST HALF GOALS 0.5","Under 0.5","Under","Under","Under 0.5","Under 0.5","Under 0.5",240,290,245,210,270,250,2023-08-09 21:26:24
"7","2023-08-12T02:30:00Z","America Leagues Cup","-Monterrey","1st Half - Total Goals (0.5)","Total Goals - 1st Half 0.5","Over/Under - 1st Half 0.5",NA,"1st Half Over/Under 0.5 Goals","1ST HALF GOALS 0.5","Over 0.5","Over","Over",NA,"Over 0.5","Over 0.5",-312,-360,-350,NA,-330,-290,2023-08-09 21:26:24
"8","2023-08-12T02:30:00Z","America Leagues Cup","-Monterrey","1st Half - Total Goals (0.5)","Total Goals - 1st Half 0.5","Over/Under - 1st Half 0.5",NA,"1st Half Over/Under 0.5 Goals","1ST HALF GOALS 0.5","Under 0.5","Under","Under",NA,"Under 0.5","Under 0.5",210,235,230,NA,240,210,2023-08-09 21:26:24
"9","2023-08-12T00:00:00Z","America Leagues Cup","Philadelphia Union-Queretaro","1st Half - Total Goals (1.5)","Total Goals - 1st Half 1.5","Over/Under - 1st Half 1.5","1st Half Over/Under 1.5 Goals","1st Half Over/Under 1.5 Goals","1ST HALF GOALS 1.5","Over 1.5","Over","Over","Over 1.5","Over 1.5","Over 1.5",130,128,130,135,130,130,2023-08-09 21:26:24
"10","2023-08-12T00:00:00Z","America Leagues Cup","Philadelphia Union-Queretaro","1st Half - Total Goals (1.5)","Total Goals - 1st Half 1.5","Over/Under - 1st Half 1.5","1st Half Over/Under 1.5 Goals","1st Half Over/Under 1.5 Goals","1ST HALF GOALS 1.5","Under 1.5","Under","Under","Under 1.5","Under 1.5","Under 1.5",-189,-180,-190,-180,-166,-170,2023-08-09 21:26:24
"11","2023-08-12T00:30:00Z","America Leagues Cup","Nashville SC-Minnesota Utd","1st Half - Total Goals (1.5)","Total Goals - 1st Half 1.5","Over/Under - 1st Half 1.5","1st Half Over/Under 1.5 Goals","1st Half Over/Under 1.5 Goals","1ST HALF GOALS 1.5","Over 1.5","Over","Over","Over 1.5","Over 1.5","Over 1.5",137,148,135,150,152,150,2023-08-09 21:26:24
"12","2023-08-12T00:30:00Z","America Leagues Cup","Nashville SC-Minnesota Utd","1st Half - Total Goals (1.5)","Total Goals - 1st Half 1.5","Over/Under - 1st Half 1.5","1st Half Over/Under 1.5 Goals","1st Half Over/Under 1.5 Goals","1ST HALF GOALS 1.5","Under 1.5","Under","Under","Under 1.5","Under 1.5","Under 1.5",-196,-210,-195,-200,-196,-200,2023-08-09 21:26:24
"13","2023-08-12T00:30:00Z","America Leagues Cup","Inter Miami-Charlotte FC","1st Half - Total Goals (1.5)","Total Goals - 1st Half 1.5","Over/Under - 1st Half 1.5","1st Half Over/Under 1.5 Goals","1st Half Over/Under 1.5 Goals","1ST HALF GOALS 1.5","Over 1.5","Over","Over","Over 1.5","Over 1.5","Over 1.5",130,123,135,135,136,125,2023-08-09 21:26:24
"14","2023-08-12T00:30:00Z","America Leagues Cup","Inter Miami-Charlotte FC","1st Half - Total Goals (1.5)","Total Goals - 1st Half 1.5","Over/Under - 1st Half 1.5","1st Half Over/Under 1.5 Goals","1st Half Over/Under 1.5 Goals","1ST HALF GOALS 1.5","Under 1.5","Under","Under","Under 1.5","Under 1.5","Under 1.5",-189,-175,-195,-180,-174,-165,2023-08-09 21:26:24
"15","2023-08-12T02:30:00Z","America Leagues Cup","-Monterrey","1st Half - Total Goals (1.5)","Total Goals - 1st Half 1.5","Over/Under - 1st Half 1.5",NA,"1st Half Over/Under 1.5 Goals","1ST HALF GOALS 1.5","Over 1.5","Over","Over",NA,"Over 1.5","Over 1.5",145,155,145,NA,152,165,2023-08-09 21:26:24
"16","2023-08-12T02:30:00Z","America Leagues Cup","-Monterrey","1st Half - Total Goals (1.5)","Total Goals - 1st Half 1.5","Over/Under - 1st Half 1.5",NA,"1st Half Over/Under 1.5 Goals","1ST HALF GOALS 1.5","Under 1.5","Under","Under",NA,"Under 1.5","Under 1.5",-213,-225,-210,NA,-196,-225,2023-08-09 21:26:24
"17","2023-08-12T00:00:00Z","America Leagues Cup","Philadelphia Union-Queretaro","3way Handicap (-1) - 1st Half","3-Way Spread - 1st Half -1",NA,"1st Half Handicap -1","First Half Spread -1","1st Half 3-Way Spread -1","Philadelphia Union","Philadelphia Union",NA,"Philadelphia Union","Philadelphia Union","Philadelphia Union",340,360,NA,370,380,350,2023-08-09 21:26:24
"18","2023-08-12T00:30:00Z","America Leagues Cup","Nashville SC-Minnesota Utd","3way Handicap (-1) - 1st Half","3-Way Spread - 1st Half -1",NA,"1st Half Handicap -1","First Half Spread -1","1st Half 3-Way Spread -1","Minnesota Utd","Minnesota Utd",NA,"Tie ","Handicap Draw","Minnesota Utd",1200,1500,NA,NA,NA,1500,2023-08-09 21:26:24
"19","2023-08-12T00:30:00Z","America Leagues Cup","Nashville SC-Minnesota Utd","3way Handicap (-1) - 1st Half","3-Way Spread - 1st Half -1",NA,"1st Half Handicap -1","First Half Spread -1","1st Half 3-Way Spread -1","Nashville SC","Nashville SC",NA,"Nashville SC","Nashville SC","Nashville SC",525,540,NA,600,550,550,2023-08-09 21:26:24
"20","2023-08-12T00:30:00Z","America Leagues Cup","Inter Miami-Charlotte FC","3way Handicap (-1) - 1st Half","3-Way Spread - 1st Half -1",NA,"1st Half Handicap -1","First Half Spread -1","1st Half 3-Way Spread -1","Charlotte FC","Inter Miami",NA,"Inter Miami","Inter Miami","Charlotte FC",NA,335,NA,NA,NA,2000,2023-08-09 21:26:24
"21","2023-08-12T00:30:00Z","America Leagues Cup","Inter Miami-Charlotte FC","3way Handicap (-1) - 1st Half","3-Way Spread - 1st Half -1",NA,"1st Half Handicap -1","First Half Spread -1","1st Half 3-Way Spread -1","Inter Miami","Inter Miami",NA,"Inter Miami","Inter Miami","Inter Miami",360,335,NA,380,390,400,2023-08-09 21:26:24
"22","2023-08-12T00:00:00Z","America Leagues Cup","Philadelphia Union-Queretaro","3way Handicap (1) - 1st Half","3-Way Spread - 1st Half 1",NA,"1st Half Handicap +1","First Half Spread 1","1st Half 3-Way Spread 1","Queretaro","Queretaro",NA,"Queretaro","Queretaro","Queretaro",-128,-136,NA,-145,-125,-110,2023-08-09 21:26:24
"23","2023-08-12T00:30:00Z","America Leagues Cup","Nashville SC-Minnesota Utd","3way Handicap (1) - 1st Half","3-Way Spread - 1st Half 1",NA,"1st Half Handicap +1","First Half Spread 1","1st Half 3-Way Spread 1","Minnesota Utd","Minnesota Utd",NA,"Minnesota Utd","Minnesota Utd","Minnesota Utd",-196,-210,NA,-230,-180,-180,2023-08-09 21:26:24
"24","2023-08-12T00:30:00Z","America Leagues Cup","Nashville SC-Minnesota Utd","3way Handicap (1) - 1st Half","3-Way Spread - 1st Half 1",NA,"1st Half Handicap +1","First Half Spread 1","1st Half 3-Way Spread 1","Nashville SC","Nashville SC",NA,"Minnesota Utd","Minnesota Utd","Nashville SC",-455,-670,NA,NA,NA,-500,2023-08-09 21:26:24
"25","2023-08-12T00:30:00Z","America Leagues Cup","Inter Miami-Charlotte FC","3way Handicap (1) - 1st Half","3-Way Spread - 1st Half 1",NA,"1st Half Handicap +1","First Half Spread 1","1st Half 3-Way Spread 1","Charlotte FC","Charlotte FC",NA,"Charlotte FC","Charlotte FC","Charlotte FC",-133,-127,NA,-150,-125,-140,2023-08-09 21:26:24
"26","2023-08-12T00:30:00Z","America Leagues Cup","Inter Miami-Charlotte FC","3way Handicap (1) - 1st Half","3-Way Spread - 1st Half 1",NA,"1st Half Handicap +1","First Half Spread 1","1st Half 3-Way Spread 1","Inter Miami","Charlotte FC",NA,"Charlotte FC","Charlotte FC","Inter Miami",NA,-127,NA,NA,NA,-700,2023-08-09 21:26:24
"27","2023-08-12T00:00:00Z","America Leagues Cup","Philadelphia Union-Queretaro","Correct Score","Correct Score","Correct Score","Correct Score","Correct Score","CORRECT SCORE","Any other score","Queretaro","Philadelphia Union","Queretaro 1-0","Philadelphia Union","Philadelphia Union",NA,1700,NA,NA,NA,NA,2023-08-09 21:26:24
"28","2023-08-12T00:00:00Z","America Leagues Cup","Philadelphia Union-Queretaro","Correct Score","Correct Score","Correct Score","Correct Score","Correct Score","CORRECT SCORE","Draw 0-0","Draw 0-0","Draw 0-0","Draw 0-0","Draw 0-0","Draw 0-0",1450,1500,1600,1400,1800,1600,2023-08-09 21:26:24
"29","2023-08-12T00:00:00Z","America Leagues Cup","Philadelphia Union-Queretaro","Correct Score","Correct Score","Correct Score","Correct Score","Correct Score","CORRECT SCORE","Draw 1-1","Draw 1-1","Draw 1-1","Draw 1-1","Draw 1-1","Draw 1-1",825,750,700,800,850,900,2023-08-09 21:26:24
"30","2023-08-12T00:00:00Z","America Leagues Cup","Philadelphia Union-Queretaro","Correct Score","Correct Score","Correct Score","Correct Score","Correct Score","CORRECT SCORE","Draw 2-2","Draw 2-2","Draw 2-2","Draw 2-2","Draw 2-2","Draw 2-2",1500,1300,1500,1700,1500,1500,2023-08-09 21:26:24
"31","2023-08-12T00:00:00Z","America Leagues Cup","Philadelphia Union-Queretaro","Correct Score","Correct Score","Correct Score","Correct Score","Correct Score","CORRECT SCORE","Draw 3-3","Draw 3-3","Draw 3-3","Draw 3-3","Draw 3-3","Draw 3-3",4500,4500,4000,5500,5500,6000,2023-08-09 21:26:24
"32","2023-08-12T00:00:00Z","America Leagues Cup","Philadelphia Union-Queretaro","Correct Score","Correct Score","Correct Score","Correct Score","Correct Score","CORRECT SCORE","Draw 4-4","Draw 4-4","Draw 0-0","Draw 4-4","Draw 4-4","Draw 4-4",12500,22500,1600,12500,25000,25000,2023-08-09 21:26:24
