"","League","Matchup","MGM Market Name","BetRivers Market Name","Draftkings Market Name","Caesars Market Name","Fanduel Market Name","PointsBet Market Name","MGM Selection Name","BetRivers Selection Name","Draftkings Selection Name","Caesars Selection Name","Fanduel Selection Name","PointsBet Selection Name","MGM Odds","BetRivers Odds","Draftkings Odds","Caesars Odds","Fanduel Odds","PointsBet Odds","caesars","Time","update_time","selection"
"1",NA,"Denver Nuggets-Golden State Warriors",NA,"Moneyline",NA,"Money Line",NA,NA,NA,"Denver Nuggets",NA,"Denver Nuggets",NA,NA,NA,-205,NA,-205,NA,NA,"Money Line",NA,2023-10-26 13:50:25,"Denver Nuggets"
"2",NA,"Denver Nuggets-Golden State Warriors",NA,"Moneyline",NA,"Money Line",NA,NA,NA,"Golden State Warriors",NA,"Golden State Warriors",NA,NA,NA,165,NA,170,NA,NA,"Money Line",NA,2023-10-26 13:50:25,"Golden State Warriors"
"3",NA,"Denver Nuggets-Golden State Warriors",NA,"Point Spread -5",NA,"Spread -5",NA,NA,NA,"Denver Nuggets",NA,"Denver Nuggets",NA,NA,NA,-112,NA,-110,NA,NA,"Spread -5",NA,2023-10-26 13:50:25,"Denver Nuggets"
"4",NA,"Denver Nuggets-Golden State Warriors",NA,"Point Spread -5.5",NA,NA,NA,NA,NA,"Denver Nuggets",NA,NA,NA,NA,NA,-105,NA,NA,NA,NA,"Spread -5.5",NA,2023-10-26 13:50:25,"Denver Nuggets"
"5",NA,"Denver Nuggets-Golden State Warriors",NA,"Point Spread 5",NA,"Spread 5",NA,NA,NA,"Golden State Warriors",NA,"Golden State Warriors",NA,NA,NA,-109,NA,-110,NA,NA,"Spread 5",NA,2023-10-26 13:50:25,"Golden State Warriors"
"6",NA,"Denver Nuggets-Golden State Warriors",NA,"Point Spread 5.5",NA,NA,NA,NA,NA,"Golden State Warriors",NA,NA,NA,NA,NA,-117,NA,NA,NA,NA,"Spread 5.5",NA,2023-10-26 13:50:25,"Golden State Warriors"
"7",NA,"Denver Nuggets-Golden State Warriors",NA,NA,NA,"Total Points 230.5",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,-110,NA,NA,"Total Points 230.5",NA,2023-10-26 13:50:25,"Over"
"8",NA,"Denver Nuggets-Golden State Warriors",NA,NA,NA,"Total Points 230.5",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-110,NA,NA,"Total Points 230.5",NA,2023-10-26 13:50:25,"Under"
"9",NA,"Los Angeles Lakers-Boston Celtics",NA,"Moneyline",NA,"Money Line",NA,NA,NA,"Boston Celtics",NA,"Boston Celtics",NA,NA,NA,-124,NA,-120,NA,NA,"Money Line",NA,2023-10-26 13:50:25,"Boston Celtics"
"10",NA,"Los Angeles Lakers-Boston Celtics",NA,"Moneyline",NA,"Money Line",NA,NA,NA,"Los Angeles Lakers",NA,"Los Angeles Lakers",NA,NA,NA,102,NA,100,NA,NA,"Money Line",NA,2023-10-26 13:50:25,"Los Angeles Lakers"
"11",NA,"Los Angeles Lakers-Boston Celtics",NA,"Point Spread -1.5",NA,"Spread -1.5",NA,NA,NA,"Boston Celtics",NA,"Boston Celtics",NA,NA,NA,-113,NA,-110,NA,NA,"Spread -1.5",NA,2023-10-26 13:50:25,"Boston Celtics"
"12",NA,"Los Angeles Lakers-Boston Celtics",NA,"Point Spread -2",NA,NA,NA,NA,NA,"Boston Celtics",NA,NA,NA,NA,NA,-107,NA,NA,NA,NA,"Spread -2",NA,2023-10-26 13:50:25,"Boston Celtics"
"13",NA,"Los Angeles Lakers-Boston Celtics",NA,"Point Spread 1.5",NA,"Spread 1.5",NA,NA,NA,"Los Angeles Lakers",NA,"Los Angeles Lakers",NA,NA,NA,-108,NA,-110,NA,NA,"Spread 1.5",NA,2023-10-26 13:50:25,"Los Angeles Lakers"
"14",NA,"Los Angeles Lakers-Boston Celtics",NA,"Point Spread 2",NA,NA,NA,NA,NA,"Los Angeles Lakers",NA,NA,NA,NA,NA,-114,NA,NA,NA,NA,"Spread 2",NA,2023-10-26 13:50:25,"Los Angeles Lakers"
"15",NA,"Los Angeles Lakers-Boston Celtics",NA,NA,NA,"Total Points 239.5",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,-110,NA,NA,"Total Points 239.5",NA,2023-10-26 13:50:25,"Over"
