"","League","Matchup","MGM Market Name","BetRivers Market Name","Draftkings Market Name","Caesars Market Name","Fanduel Market Name","PointsBet Market Name","MGM Selection Name","BetRivers Selection Name","Draftkings Selection Name","Caesars Selection Name","Fanduel Selection Name","PointsBet Selection Name","MGM Odds","BetRivers Odds","Draftkings Odds","Caesars Odds","Fanduel Odds","PointsBet Odds","caesars","Time","update_time","selection"
"1","ncaab","-","Money Line","Moneyline","Moneyline",NA,"Moneyline","Moneyline","South Carolina","South Carolina","South Carolina",NA,"Dartmouth","South Carolina Gamecocks",-1429,-910,-950,NA,NA,-1399,"Money Line","2023-11-07T00:00:00.0000000Z",2023-11-06 14:15:46,"South Carolina"
"2","ncaab","-","Money Line","Moneyline","Moneyline",NA,"Moneyline","Moneyline","Charlotte","Charlotte","Tarleton State",NA,"Alcorn State","Alcorn State Braves",NA,NA,950,NA,NA,NA,"Money Line","2023-11-07T00:00:00.0000000Z",2023-11-06 14:15:46,"Tarleton State"
"3","ncaab","-","Money Line","Moneyline","Moneyline",NA,"Moneyline","Moneyline","C Michigan","Siena","Virginia",NA,"Arkansas","Vermont",NA,NA,-1950,NA,NA,NA,"Money Line","2023-11-07T00:00:00.0000000Z",2023-11-06 14:15:46,"Virginia"
"4","ncaab","-","Money Line","Moneyline","Moneyline",NA,"Moneyline","Moneyline","South Carolina","South Carolina","South Carolina",NA,"Dartmouth","LSU Tigers",-1429,-910,NA,NA,NA,-25000,"Money Line","2023-11-07T00:00:00.0000000Z",2023-11-06 14:15:46,"South Carolina"
"5","ncaab","-","Money Line","Moneyline","Moneyline",NA,"Moneyline","Moneyline","South Carolina","South Carolina","South Carolina",NA,"Dartmouth","Mississippi Valley Devils",-1429,-910,NA,NA,NA,4500,"Money Line","2023-11-07T00:00:00.0000000Z",2023-11-06 14:15:46,"South Carolina"
"6","ncaab","-","Money Line","Moneyline","Moneyline",NA,"Moneyline","Moneyline","South Carolina","South Carolina","South Carolina",NA,"Dartmouth","Minnesota Golden Gophers",-1429,-910,NA,NA,NA,-4000,"Money Line","2023-11-07T00:00:00.0000000Z",2023-11-06 14:15:46,"South Carolina"
"7","ncaab","-","Money Line","Moneyline","Moneyline",NA,"Moneyline","Moneyline","South Carolina","South Carolina","South Carolina",NA,"Dartmouth","Bethune-Cookman Wildcats",-1429,-910,NA,NA,NA,1500,"Money Line","2023-11-07T00:00:00.0000000Z",2023-11-06 14:15:46,"South Carolina"
"8","ncaab","-","Money Line","Moneyline","Moneyline",NA,"Moneyline","Moneyline","South Carolina","South Carolina","South Carolina",NA,"Dartmouth","Kansas",-1429,-910,NA,NA,NA,-29412,"Money Line","2023-11-07T00:00:00.0000000Z",2023-11-06 14:15:46,"South Carolina"
"9","ncaab","-","Money Line","Moneyline","Moneyline",NA,"Moneyline","Moneyline","South Carolina","South Carolina","South Carolina",NA,"Dartmouth","NC Central Eagles",-1429,-910,NA,NA,NA,5000,"Money Line","2023-11-07T00:00:00.0000000Z",2023-11-06 14:15:46,"South Carolina"
"10","ncaab","-","Money Line","Moneyline","Moneyline",NA,"Moneyline","Moneyline","South Carolina","South Carolina","South Carolina",NA,"Dartmouth","Missouri",-1429,-910,NA,NA,NA,-17241,"Money Line","2023-11-07T00:00:00.0000000Z",2023-11-06 14:15:46,"South Carolina"
