"","Time","League","Matchup","MGM Market Name","BetRivers Market Name","Draftkings Market Name","Caesars Market Name","Fanduel Market Name","PointsBet Market Name","MGM Selection Name","BetRivers Selection Name","Draftkings Selection Name","Caesars Selection Name","Fanduel Selection","PointsBet Selection","MGM Odds","BetRivers Odds","Draftkings Odds","Caesars Odds","Fanduel Odds","PointsBet Odds","update_time"
"1","2023-09-08T23:30:00Z","USA College Football ","Kansas Jayhawks-Illinois Fighting Illini","Money Line","Moneyline","Moneyline","Money Line","Moneyline","Moneyline","Illinois Fighting Illini","Illinois Fighting Illini","Illinois Fighting Illini","Illinois Fighting Illini","Illinois Fighting Illini","Illinois Fighting Illini",145,131,142,143,136,150,2023-09-08 16:57:43
"2","2023-09-08T23:30:00Z","USA College Football ","Kansas Jayhawks-Illinois Fighting Illini","Money Line","Moneyline","Moneyline","Money Line","Moneyline","Moneyline","Kansas Jayhawks","Kansas Jayhawks","Kansas Jayhawks","Kansas Jayhawks","Kansas Jayhawks","Kansas Jayhawks",-175,-162,-170,-170,-164,-180,2023-09-08 16:57:43
"3","2023-09-09T15:00:00Z","USA College Football ","Wake Forest Demon Deacons-Vanderbilt Commodores","Money Line","Moneyline","Moneyline","Money Line","Moneyline","Moneyline","Vanderbilt Commodores","Vanderbilt Commodores","Vanderbilt Commodores","Vanderbilt Commodores","Vanderbilt Commodores","Vanderbilt Commodores",310,330,320,328,320,320,2023-09-08 16:57:43
"4","2023-09-09T15:00:00Z","USA College Football ","Wake Forest Demon Deacons-Vanderbilt Commodores","Money Line","Moneyline","Moneyline","Money Line","Moneyline","Moneyline","Wake Forest Demon Deacons","Wake Forest Demon Deacons","Wake Forest Demon Deacons","Wake Forest Demon Deacons","Wake Forest Demon Deacons","Wake Forest Demon Deacons",-400,-455,-410,-430,-420,-425,2023-09-08 16:57:43
"5","2023-09-09T16:00:00Z","USA College Football ","Virginia Tech Hokies-Purdue Boilermakers","Money Line","Moneyline","Moneyline","Money Line","Moneyline","Moneyline","Purdue Boilermakers","Purdue Boilermakers","Purdue Boilermakers","Purdue Boilermakers","Purdue Boilermakers","Purdue Boilermakers",110,106,110,110,105,110,2023-09-08 16:57:43
"6","2023-09-09T16:00:00Z","USA College Football ","Virginia Tech Hokies-Purdue Boilermakers","Money Line","Moneyline","Moneyline","Money Line","Moneyline","Moneyline","Virginia Cavaliers","Virginia Cavaliers","Virginia Cavaliers","Virginia Tech Hokies","Virginia Cavaliers","Virginia Cavaliers",-132,-130,-130,NA,-126,-130,2023-09-08 16:57:43
"7","2023-09-09T16:00:00Z","USA College Football ","Virginia Cavaliers-James Madison Dukes","Money Line","Moneyline","Moneyline","Money Line","Moneyline","Moneyline","James Madison Dukes","James Madison Dukes","James Madison Dukes","James Madison Dukes","James Madison Dukes","James Madison Dukes",-222,-250,-238,-240,-250,-245,2023-09-08 16:57:43
"8","2023-09-09T16:00:00Z","USA College Football ","Virginia Cavaliers-James Madison Dukes","Money Line","Moneyline","Moneyline","Money Line","Moneyline","Moneyline","Virginia Cavaliers","Virginia Cavaliers","Virginia Cavaliers","Virginia Cavaliers","Virginia Cavaliers","Virginia Cavaliers",180,200,195,196,202,195,2023-09-08 16:57:43
"9","2023-09-09T16:00:00Z","USA College Football ","Kansas State Wildcats-Troy Trojans","Money Line","Moneyline","Moneyline","Money Line","Moneyline","Moneyline","Kansas Jayhawks","Kansas Jayhawks","Kansas Jayhawks","Kansas State Wildcats","Kansas Jayhawks","Kansas Jayhawks",-769,-770,-675,NA,-780,-785,2023-09-08 16:57:43
"10","2023-09-09T16:00:00Z","USA College Football ","Kansas State Wildcats-Troy Trojans","Money Line","Moneyline","Moneyline","Money Line","Moneyline","Moneyline","Troy Trojans","Troy Trojans","Troy Trojans","Troy Trojans","Troy Trojans","Troy Trojans",525,480,490,500,530,520,2023-09-08 16:57:43
