"","League","Matchup","MGM Market Name","BetRivers Market Name","Draftkings Market Name","Caesars Market Name","Fanduel Market Name","PointsBet Market Name","MGM Selection Name","BetRivers Selection Name","Draftkings Selection Name","Caesars Selection Name","Fanduel Selection Name","PointsBet Selection Name","MGM Odds","BetRivers Odds","Draftkings Odds","Caesars Odds","Fanduel Odds","PointsBet Odds","caesars","Time","update_time","selection"
"1","nhl","Anaheim Ducks-Philadelphia Flyers",NA,"Total Goals by Away Team - Period 1 0.5","Away Team: Team Total Goals - 1st Period 0.5",NA,NA,"Away Team Total 1st Period 0.5",NA,"Over","Over",NA,NA,"Over",NA,-190,-180,NA,NA,-180,"1st Period Away Team Total 0.5","2023-11-11T03:07:00.0000000Z",2023-11-10 13:37:48,"Over"
"2","nhl","Anaheim Ducks-Philadelphia Flyers",NA,"Total Goals by Away Team - Period 1 0.5","Away Team: Team Total Goals - 1st Period 0.5",NA,NA,"Away Team Total 1st Period 0.5",NA,"Under","Under",NA,NA,"Under",NA,135,140,NA,NA,140,"1st Period Away Team Total 0.5","2023-11-11T03:07:00.0000000Z",2023-11-10 13:37:48,"Under"
"3","nhl","Anaheim Ducks-Philadelphia Flyers","Who will win the 1st period?","Period 1 (3-way)","Moneyline 1st Period","1st Period Betting","1st Period Result (3 way)","Moneyline 3 Way 1st Period","Anaheim Ducks","Anaheim Ducks","Anaheim Ducks","Anaheim Ducks","Anaheim Ducks","Anaheim Ducks",175,190,175,175,210,185,"1st Period Betting","2023-11-11T03:07:00.0000000Z",2023-11-10 13:37:48,"Anaheim Ducks"
"4","nhl","Anaheim Ducks-Philadelphia Flyers","Who will win the 1st period?","Period 1 (3-way)","Moneyline 1st Period","1st Period Betting","1st Period Result (3 way)","Moneyline 3 Way 1st Period","Draw","Draw","Draw","Draw","Draw","Draw",180,163,180,180,165,175,"1st Period Betting","2023-11-11T03:07:00.0000000Z",2023-11-10 13:37:48,"Draw"
"5","nhl","Anaheim Ducks-Philadelphia Flyers","Who will win the 1st period?","Period 1 (3-way)","Moneyline 1st Period","1st Period Betting","1st Period Result (3 way)","Moneyline 3 Way 1st Period","Philadelphia Flyers","Philadelphia Flyers","Philadelphia Flyers","Philadelphia Flyers","Philadelphia Flyers","Philadelphia Flyers",155,165,185,145,175,160,"1st Period Betting","2023-11-11T03:07:00.0000000Z",2023-11-10 13:37:48,"Philadelphia Flyers"
"6","nhl","Anaheim Ducks-Philadelphia Flyers",NA,"Both Teams To Score - Period 1","Both Teams to Score - 1st Period","1st Period Both Teams To Score","1st Period Both Teams to Score","Both Teams To Score 1st Period",NA,"No","No","No","No","No",NA,-215,-210,-204,-215,-200,"1st Period Both Teams To Score","2023-11-11T03:07:00.0000000Z",2023-11-10 13:37:48,"No"
"7","nhl","Anaheim Ducks-Philadelphia Flyers",NA,"Both Teams To Score - Period 1","Both Teams to Score - 1st Period","1st Period Both Teams To Score","1st Period Both Teams to Score","Both Teams To Score 1st Period",NA,"Yes","Yes","Yes","Yes","Yes",NA,150,155,146,166,150,"1st Period Both Teams To Score","2023-11-11T03:07:00.0000000Z",2023-11-10 13:37:48,"Yes"
"8","nhl","Anaheim Ducks-Philadelphia Flyers","1st Period Totals 1.5","Total Goals - Period 1 1.5","Total 1st Period 1.5","1st Period Goals 1.5","1st Period Total Goals 1.5","Total 1st Period 1.5","Over","Over","Over","Over","Over","Over",-139,-137,-140,-135,-128,-140,"1st Period Goals 1.5","2023-11-11T03:07:00.0000000Z",2023-11-10 13:37:48,"Over"
"9","nhl","Anaheim Ducks-Philadelphia Flyers","1st Period Totals 1.5","Total Goals - Period 1 1.5","Total 1st Period 1.5","1st Period Goals 1.5","1st Period Total Goals 1.5","Total 1st Period 1.5","Under","Under","Under","Under","Under","Under",-100,106,110,115,-100,105,"1st Period Goals 1.5","2023-11-11T03:07:00.0000000Z",2023-11-10 13:37:48,"Under"
"10","nhl","Anaheim Ducks-Philadelphia Flyers",NA,"Total Goals by Home Team - Period 1 0.5","Home Team: Team Total Goals - 1st Period 0.5",NA,NA,"Home Team Total 1st Period 0.5",NA,"Over","Over",NA,NA,"Over",NA,-175,-180,NA,NA,-165,"1st Period Home Team Total 0.5","2023-11-11T03:07:00.0000000Z",2023-11-10 13:37:48,"Over"
