"","League","Matchup","MGM Market Name","BetRivers Market Name","Draftkings Market Name","Caesars Market Name","Fanduel Market Name","PointsBet Market Name","MGM Selection Name","BetRivers Selection Name","Draftkings Selection Name","Caesars Selection Name","Fanduel Selection Name","PointsBet Selection Name","MGM Odds","BetRivers Odds","Draftkings Odds","Caesars Odds","Fanduel Odds","PointsBet Odds","caesars","Time","update_time","selection"
"1",NA,"Carrick-Linfield","Away Team - Total Goals (0.5) - 1st Half",NA,NA,"1st Half Away Team Over/Under 0.5 Goals","Away Team First Half Over/Under 0.5 Goals",NA,"Over 0.5",NA,NA,"Over","Over",NA,-270,NA,NA,-230,-270,NA,"1st Half Away Team Over/Under 0.5 Goals",NA,2023-10-12 17:05:31.874411,"Over 0.5"
"2",NA,"Carrick-Linfield","Away Team - Total Goals (0.5) - 1st Half",NA,NA,"1st Half Away Team Over/Under 0.5 Goals","Away Team First Half Over/Under 0.5 Goals",NA,"Under 0.5",NA,NA,"Under","Under",NA,180,NA,NA,175,200,NA,"1st Half Away Team Over/Under 0.5 Goals",NA,2023-10-12 17:05:31.874411,"Under 0.5"
"3",NA,"Carrick-Linfield","Away Team - Total Goals (1.5) - 1st Half",NA,NA,"1st Half Away Team Over/Under 1.5 Goals","Away Team First Half Over/Under 1.5 Goals",NA,"Over 1.5",NA,NA,"Over","Over",NA,175,NA,NA,190,200,NA,"1st Half Away Team Over/Under 1.5 Goals",NA,2023-10-12 17:05:31.874411,"Over 1.5"
"4",NA,"Carrick-Linfield","Away Team - Total Goals (1.5) - 1st Half",NA,NA,"1st Half Away Team Over/Under 1.5 Goals","Away Team First Half Over/Under 1.5 Goals",NA,"Under 1.5",NA,NA,"Under","Under",NA,-250,NA,NA,-250,-270,NA,"1st Half Away Team Over/Under 1.5 Goals",NA,2023-10-12 17:05:31.874411,"Under 1.5"
"5",NA,"Carrick-Linfield","Away Team - Total Goals (2.5) - 1st Half",NA,NA,"1st Half Away Team Over/Under 2.5 Goals","Away Team First Half Over/Under 2.5 Goals",NA,"Over 2.5",NA,NA,"Over","Over",NA,575,NA,NA,600,820,NA,"1st Half Away Team Over/Under 2.5 Goals",NA,2023-10-12 17:05:31.874411,"Over 2.5"
"6",NA,"Carrick-Linfield","Away Team - Total Goals (2.5) - 1st Half",NA,NA,"1st Half Away Team Over/Under 2.5 Goals","Away Team First Half Over/Under 2.5 Goals",NA,"Under 2.5",NA,NA,"Under","Under",NA,-1111,NA,NA,-1000,-1600,NA,"1st Half Away Team Over/Under 2.5 Goals",NA,2023-10-12 17:05:31.874411,"Under 2.5"
"7",NA,"Carrick-Linfield",NA,NA,NA,"1st Half Away Team Over/Under 3.5 Goals","Away Team First Half Over/Under 3.5 Goals",NA,NA,NA,NA,"Over","Over",NA,NA,NA,NA,1400,3200,NA,"1st Half Away Team Over/Under 3.5 Goals",NA,2023-10-12 17:05:31.874411,"Over"
"8",NA,"Carrick-Linfield",NA,NA,NA,"1st Half Away Team Over/Under 3.5 Goals","Away Team First Half Over/Under 3.5 Goals",NA,NA,NA,NA,"Under","Under",NA,NA,NA,NA,-6000,-8000,NA,"1st Half Away Team Over/Under 3.5 Goals",NA,2023-10-12 17:05:31.874411,"Under"
"9",NA,"Carrick-Linfield",NA,NA,NA,NA,"Away Team First Half Over/Under 4.5 Goals",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-50000,NA,"1st Half Away Team Over/Under 4.5 Goals",NA,2023-10-12 17:05:31.874411,"Under"
"10",NA,"Carrick-Linfield",NA,NA,NA,NA,"Away Team First Half Over/Under 4.5 Goals",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,10000,NA,"1st Half Away Team Over/Under 4.5 Goals",NA,2023-10-12 17:05:31.874411,"Over"
"11","northern-ireland---premier","Carrick-Linfield","1st Half Result",NA,"Moneyline 1st Half","1st Half Betting","Half-Time Result","half-time result","Carrick",NA,"Carrick","Carrick","Carrick","Carrick",675,NA,650,650,800,700,"1st Half Betting","2023-10-13T18:45:00.0000000Z",2023-10-12 17:05:31.874411,"Carrick"
"12","northern-ireland---premier","Carrick-Linfield","1st Half Result",NA,"Moneyline 1st Half","1st Half Betting","Half-Time Result","half-time result","Draw",NA,"Draw","Draw","Draw","Draw",175,NA,165,155,180,180,"1st Half Betting","2023-10-13T18:45:00.0000000Z",2023-10-12 17:05:31.874411,"Draw"
"13","northern-ireland---premier","Carrick-Linfield","1st Half Result",NA,"Moneyline 1st Half","1st Half Betting","Half-Time Result","half-time result","Linfield",NA,"Linfield","Linfield","Linfield","Linfield",-164,NA,-185,-150,-170,-170,"1st Half Betting","2023-10-13T18:45:00.0000000Z",2023-10-12 17:05:31.874411,"Linfield"
"14","northern-ireland---premier","Carrick-Linfield",NA,NA,"Spread 1st Half 1",NA,NA,NA,NA,NA,"Carrick",NA,NA,NA,NA,NA,-200,NA,NA,NA,"1st Half Handicap +1","2023-10-13T18:45:00.0000000Z",2023-10-12 17:05:31.874411,"Carrick"
"15","northern-ireland---premier","Carrick-Linfield",NA,NA,"Spread 1st Half -1",NA,NA,NA,NA,NA,"Linfield",NA,NA,NA,NA,NA,130,NA,NA,NA,"1st Half Handicap -1","2023-10-13T18:45:00.0000000Z",2023-10-12 17:05:31.874411,"Linfield"
"16",NA,"Carrick-Linfield","Home Team - Total Goals (0.5) - 1st Half",NA,NA,"1st Half Home Team Over/Under 0.5 Goals","Home Team First Half Over/Under 0.5 Goals",NA,"Over 0.5",NA,NA,"Over","Over",NA,225,NA,NA,220,250,NA,"1st Half Home Team Over/Under 0.5 Goals",NA,2023-10-12 17:05:31.874411,"Over 0.5"
"17",NA,"Carrick-Linfield","Home Team - Total Goals (0.5) - 1st Half",NA,NA,"1st Half Home Team Over/Under 0.5 Goals","Home Team First Half Over/Under 0.5 Goals",NA,"Under 0.5",NA,NA,"Under","Under",NA,-333,NA,NA,-290,-350,NA,"1st Half Home Team Over/Under 0.5 Goals",NA,2023-10-12 17:05:31.874411,"Under 0.5"
"18",NA,"Carrick-Linfield","Home Team - Total Goals (1.5) - 1st Half",NA,NA,"1st Half Home Team Over/Under 1.5 Goals","Home Team First Half Over/Under 1.5 Goals",NA,"Over 1.5",NA,NA,"Over","Over",NA,1500,NA,NA,1200,1800,NA,"1st Half Home Team Over/Under 1.5 Goals",NA,2023-10-12 17:05:31.874411,"Over 1.5"
"19",NA,"Carrick-Linfield","Home Team - Total Goals (1.5) - 1st Half",NA,NA,"1st Half Home Team Over/Under 1.5 Goals","Home Team First Half Over/Under 1.5 Goals",NA,"Under 1.5",NA,NA,"Under","Under",NA,-6667,NA,NA,-4000,-4500,NA,"1st Half Home Team Over/Under 1.5 Goals",NA,2023-10-12 17:05:31.874411,"Under 1.5"
"20",NA,"Carrick-Linfield","Home Team - Total Goals (2.5) - 1st Half",NA,NA,"1st Half Home Team Over/Under 2.5 Goals","Home Team First Half Over/Under 2.5 Goals",NA,"Over 2.5",NA,NA,"Over","Over",NA,6000,NA,NA,2800,10000,NA,"1st Half Home Team Over/Under 2.5 Goals",NA,2023-10-12 17:05:31.874411,"Over 2.5"
"21",NA,"Carrick-Linfield","Home Team - Total Goals (2.5) - 1st Half",NA,NA,"1st Half Home Team Over/Under 2.5 Goals","Home Team First Half Over/Under 2.5 Goals",NA,"Under 2.5",NA,NA,"Under","Under",NA,NA,NA,NA,-30000,-50000,NA,"1st Half Home Team Over/Under 2.5 Goals",NA,2023-10-12 17:05:31.874411,"Under 2.5"
"22",NA,"Carrick-Linfield",NA,NA,NA,"1st Half Home Team Over/Under 3.5 Goals","Home Team First Half Over/Under 3.5 Goals",NA,NA,NA,NA,"Over","Over",NA,NA,NA,NA,7000,10000,NA,"1st Half Home Team Over/Under 3.5 Goals",NA,2023-10-12 17:05:31.874411,"Over"
"23",NA,"Carrick-Linfield",NA,NA,NA,"1st Half Home Team Over/Under 3.5 Goals","Home Team First Half Over/Under 3.5 Goals",NA,NA,NA,NA,"Under","Under",NA,NA,NA,NA,-500000,-100000,NA,"1st Half Home Team Over/Under 3.5 Goals",NA,2023-10-12 17:05:31.874411,"Under"
"24",NA,"Carrick-Linfield",NA,NA,NA,NA,"Home Team First Half Over/Under 4.5 Goals",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-100000,NA,"1st Half Home Team Over/Under 4.5 Goals",NA,2023-10-12 17:05:31.874411,"Under"
"25",NA,"Carrick-Linfield",NA,NA,NA,NA,"Home Team First Half Over/Under 4.5 Goals",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,10000,NA,"1st Half Home Team Over/Under 4.5 Goals",NA,2023-10-12 17:05:31.874411,"Over"
"26",NA,"Carrick-Linfield",NA,NA,NA,"1st Half Over/Under 0.5 Goals",NA,NA,NA,NA,NA,"Over 0.5",NA,NA,NA,NA,NA,-350,NA,NA,"1st Half Over/Under 0.5 Goals",NA,2023-10-12 17:05:31.874411,"Over 0.5"
"27",NA,"Carrick-Linfield",NA,NA,NA,"1st Half Over/Under 0.5 Goals",NA,NA,NA,NA,NA,"Under 0.5",NA,NA,NA,NA,NA,260,NA,NA,"1st Half Over/Under 0.5 Goals",NA,2023-10-12 17:05:31.874411,"Under 0.5"
"28",NA,"Carrick-Linfield",NA,NA,NA,"1st Half Over/Under 1.5 Goals",NA,NA,NA,NA,NA,"Over 1.5",NA,NA,NA,NA,NA,122,NA,NA,"1st Half Over/Under 1.5 Goals",NA,2023-10-12 17:05:31.874411,"Over 1.5"
"29",NA,"Carrick-Linfield",NA,NA,NA,"1st Half Over/Under 1.5 Goals",NA,NA,NA,NA,NA,"Under 1.5",NA,NA,NA,NA,NA,-155,NA,NA,"1st Half Over/Under 1.5 Goals",NA,2023-10-12 17:05:31.874411,"Under 1.5"
"30",NA,"Carrick-Linfield",NA,NA,NA,"1st Half Over/Under 2.5 Goals",NA,NA,NA,NA,NA,"Over 2.5",NA,NA,NA,NA,NA,350,NA,NA,"1st Half Over/Under 2.5 Goals",NA,2023-10-12 17:05:31.874411,"Over 2.5"
"31",NA,"Carrick-Linfield",NA,NA,NA,"1st Half Over/Under 2.5 Goals",NA,NA,NA,NA,NA,"Under 2.5",NA,NA,NA,NA,NA,-525,NA,NA,"1st Half Over/Under 2.5 Goals",NA,2023-10-12 17:05:31.874411,"Under 2.5"
"32",NA,"Carrick-Linfield","1st Half - Total Goals (3.5)",NA,NA,"1st Half Over/Under 3.5 Goals","1st Half Over/Under 3.5 Goals",NA,"Over 3.5",NA,NA,"Over 3.5","Over 3.5",NA,1000,NA,NA,900,1400,NA,"1st Half Over/Under 3.5 Goals",NA,2023-10-12 17:05:31.874411,"Over 3.5"
"33",NA,"Carrick-Linfield","1st Half - Total Goals (3.5)",NA,NA,"1st Half Over/Under 3.5 Goals","1st Half Over/Under 3.5 Goals",NA,"Under 3.5",NA,NA,"Under 3.5","Under 3.5",NA,-2857,NA,NA,-2000,-3500,NA,"1st Half Over/Under 3.5 Goals",NA,2023-10-12 17:05:31.874411,"Under 3.5"
"34","northern-ireland---premier","Carrick-Linfield","Match Result",NA,"Moneyline","90 Minutes","Moneyline","match result","Carrick",NA,"Carrick","Carrick","Carrick","Carrick",900,NA,900,1200,1100,1100,"90 Minutes","2023-10-13T18:45:00.0000000Z",2023-10-12 17:05:31.874411,"Carrick"
"35","northern-ireland---premier","Carrick-Linfield","Match Result",NA,"Moneyline","90 Minutes","Moneyline","match result","Draw",NA,"Draw","Draw","Draw","Draw",500,NA,550,430,500,525,"90 Minutes","2023-10-13T18:45:00.0000000Z",2023-10-12 17:05:31.874411,"Draw"
"36","northern-ireland---premier","Carrick-Linfield","Match Result",NA,"Moneyline","90 Minutes","Moneyline","match result","Linfield",NA,"Linfield","Linfield","Linfield","Linfield",-455,NA,-525,-580,-600,-500,"90 Minutes","2023-10-13T18:45:00.0000000Z",2023-10-12 17:05:31.874411,"Linfield"
"37",NA,"Carrick-Linfield",NA,NA,NA,"Away Team Over/Under 0.5 Goals",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,-1800,NA,NA,"Away Team Over/Under 0.5 Goals",NA,2023-10-12 17:05:31.874411,"Over"
"38",NA,"Carrick-Linfield",NA,NA,NA,"Away Team Over/Under 0.5 Goals",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,850,NA,NA,"Away Team Over/Under 0.5 Goals",NA,2023-10-12 17:05:31.874411,"Under"
"39",NA,"Carrick-Linfield",NA,NA,NA,"Away Team Over/Under 1.5 Goals",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,-330,NA,NA,"Away Team Over/Under 1.5 Goals",NA,2023-10-12 17:05:31.874411,"Over"
"40",NA,"Carrick-Linfield",NA,NA,NA,"Away Team Over/Under 1.5 Goals",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,250,NA,NA,"Away Team Over/Under 1.5 Goals",NA,2023-10-12 17:05:31.874411,"Under"
"41",NA,"Carrick-Linfield",NA,NA,NA,"Away Team Over/Under 2.5 Goals",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,-105,NA,NA,"Away Team Over/Under 2.5 Goals",NA,2023-10-12 17:05:31.874411,"Over"
"42",NA,"Carrick-Linfield",NA,NA,NA,"Away Team Over/Under 2.5 Goals",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-125,NA,NA,"Away Team Over/Under 2.5 Goals",NA,2023-10-12 17:05:31.874411,"Under"
"43",NA,"Carrick-Linfield",NA,NA,NA,"Away Team Over/Under 3.5 Goals",NA,NA,NA,NA,NA,"Over",NA,NA,NA,NA,NA,240,NA,NA,"Away Team Over/Under 3.5 Goals",NA,2023-10-12 17:05:31.874411,"Over"
"44",NA,"Carrick-Linfield",NA,NA,NA,"Away Team Over/Under 3.5 Goals",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-320,NA,NA,"Away Team Over/Under 3.5 Goals",NA,2023-10-12 17:05:31.874411,"Under"
"45","northern-ireland---premier","Carrick-Linfield",NA,NA,"Away Team: Team Over/Under 4.5",NA,"Away Team Over/Under 4.5 Goals",NA,NA,NA,"Over",NA,"Over",NA,NA,NA,500,NA,680,NA,"Away Team Over/Under 4.5 Goals","2023-10-13T18:45:00.0000000Z",2023-10-12 17:05:31.874411,"Over"
"46","northern-ireland---premier","Carrick-Linfield",NA,NA,"Away Team: Team Over/Under 4.5",NA,"Away Team Over/Under 4.5 Goals",NA,NA,NA,"Under",NA,"Under",NA,NA,NA,-1400,NA,-1400,NA,"Away Team Over/Under 4.5 Goals","2023-10-13T18:45:00.0000000Z",2023-10-12 17:05:31.874411,"Under"
"47",NA,"Carrick-Linfield",NA,NA,NA,NA,"Away Team Over/Under 5.5 Goals",NA,NA,NA,NA,NA,"Under",NA,NA,NA,NA,NA,-6000,NA,"Away Team Over/Under 5.5 Goals",NA,2023-10-12 17:05:31.874411,"Under"
