"","League","Matchup","MGM Market Name","BetRivers Market Name","Draftkings Market Name","Caesars Market Name","Fanduel Market Name","PointsBet Market Name","MGM Selection Name","BetRivers Selection Name","Draftkings Selection Name","Caesars Selection Name","Fanduel Selection Name","PointsBet Selection Name","MGM Odds","BetRivers Odds","Draftkings Odds","Caesars Odds","Fanduel Odds","PointsBet Odds","caesars","Time","update_time","selection"
"1",NA,"-Vejle",NA,NA,NA,NA,NA,"away team total 1st half 0.5",NA,NA,NA,NA,NA,"Over 0.5",NA,NA,NA,NA,NA,205,"1st Half Away Team Over/Under 0.5 Goals",NA,2023-11-03 11:40:30.223628,"Over 0.5"
"2",NA,"-Vejle",NA,NA,NA,NA,NA,"away team total 1st half 0.5",NA,NA,NA,NA,NA,"Under 0.5",NA,NA,NA,NA,NA,-300,"1st Half Away Team Over/Under 0.5 Goals",NA,2023-11-03 11:40:30.223628,"Under 0.5"
"3",NA,"-Vejle",NA,NA,NA,NA,NA,"away team total 1st half 1.5",NA,NA,NA,NA,NA,"Over 1.5",NA,NA,NA,NA,NA,1000,"1st Half Away Team Over/Under 1.5 Goals",NA,2023-11-03 11:40:30.223628,"Over 1.5"
"4",NA,"-Vejle",NA,NA,NA,NA,NA,"away team total 1st half 1.5",NA,NA,NA,NA,NA,"Under 1.5",NA,NA,NA,NA,NA,-10000,"1st Half Away Team Over/Under 1.5 Goals",NA,2023-11-03 11:40:30.223628,"Under 1.5"
"5",NA,"-Vejle",NA,NA,NA,NA,NA,"half-time result",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-130,"1st Half Betting",NA,2023-11-03 11:40:30.223628,NA
"6",NA,"-Vejle",NA,NA,NA,NA,NA,"half-time result",NA,NA,NA,NA,NA,"Draw",NA,NA,NA,NA,NA,160,"1st Half Betting",NA,2023-11-03 11:40:30.223628,"Draw"
"7",NA,"-Vejle",NA,NA,NA,NA,NA,"half-time result",NA,NA,NA,NA,NA,"Vejle",NA,NA,NA,NA,NA,600,"1st Half Betting",NA,2023-11-03 11:40:30.223628,"Vejle"
"8",NA,"-Vejle",NA,NA,NA,NA,NA,"home team total 1st half 0.5",NA,NA,NA,NA,NA,"Over 0.5",NA,NA,NA,NA,NA,-220,"1st Half Home Team Over/Under 0.5 Goals",NA,2023-11-03 11:40:30.223628,"Over 0.5"
"9",NA,"-Vejle",NA,NA,NA,NA,NA,"home team total 1st half 0.5",NA,NA,NA,NA,NA,"Under 0.5",NA,NA,NA,NA,NA,155,"1st Half Home Team Over/Under 0.5 Goals",NA,2023-11-03 11:40:30.223628,"Under 0.5"
"10",NA,"-Vejle",NA,NA,NA,NA,NA,"home team total 1st half 1.5",NA,NA,NA,NA,NA,"Over 1.5",NA,NA,NA,NA,NA,230,"1st Half Home Team Over/Under 1.5 Goals",NA,2023-11-03 11:40:30.223628,"Over 1.5"
"11",NA,"-Vejle",NA,NA,NA,NA,NA,"home team total 1st half 1.5",NA,NA,NA,NA,NA,"Under 1.5",NA,NA,NA,NA,NA,-350,"1st Half Home Team Over/Under 1.5 Goals",NA,2023-11-03 11:40:30.223628,"Under 1.5"
"12",NA,"-Vejle",NA,NA,NA,NA,NA,"1st half goals 0.5",NA,NA,NA,NA,NA,"Over 0.5",NA,NA,NA,NA,NA,-375,"1st Half Over/Under 0.5 Goals",NA,2023-11-03 11:40:30.223628,"Over 0.5"
"13",NA,"-Vejle",NA,NA,NA,NA,NA,"1st half goals 0.5",NA,NA,NA,NA,NA,"Under 0.5",NA,NA,NA,NA,NA,250,"1st Half Over/Under 0.5 Goals",NA,2023-11-03 11:40:30.223628,"Under 0.5"
"14",NA,"-Vejle",NA,NA,NA,NA,NA,"1st half goals 1.5",NA,NA,NA,NA,NA,"Over 1.5",NA,NA,NA,NA,NA,135,"1st Half Over/Under 1.5 Goals",NA,2023-11-03 11:40:30.223628,"Over 1.5"
"15",NA,"-Vejle",NA,NA,NA,NA,NA,"1st half goals 1.5",NA,NA,NA,NA,NA,"Under 1.5",NA,NA,NA,NA,NA,-185,"1st Half Over/Under 1.5 Goals",NA,2023-11-03 11:40:30.223628,"Under 1.5"
"16",NA,"-Vejle",NA,NA,NA,NA,NA,"match result",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-300,"90 Minutes",NA,2023-11-03 11:40:30.223628,NA
"17",NA,"-Vejle",NA,NA,NA,NA,NA,"match result",NA,NA,NA,NA,NA,"Draw",NA,NA,NA,NA,NA,400,"90 Minutes",NA,2023-11-03 11:40:30.223628,"Draw"
"18",NA,"-Vejle",NA,NA,NA,NA,NA,"match result",NA,NA,NA,NA,NA,"Vejle",NA,NA,NA,NA,NA,800,"90 Minutes",NA,2023-11-03 11:40:30.223628,"Vejle"
