"","Time","League","Matchup","MGM Market Name","BetRivers Market Name","Draftkings Market Name","Caesars Market Name","Fanduel Market Name","PointsBet Market Name","MGM Selection Name","BetRivers Selection Name","Draftkings Selection Name","Caesars Selection Name","Fanduel Selection","PointsBet Selection","MGM Odds","BetRivers Odds","Draftkings Odds","Caesars Odds","Fanduel Odds","PointsBet Odds","update_time"
"1","2023-08-31T16:00:00Z","Europe UEFA Europa Conference League","HJK Helsinki-Farul Constanta","1st Half - Total Goals (0.5)","Total Goals - 1st Half 0.5","Over/Under - 1st Half 0.5","1st Half Over/Under 0.5 Goals","1st Half Over/Under 0.5 Goals",NA,"Over 0.5","Over","Over","Over 0.5","Over 0.5",NA,-256,-278,-275,-210,-270,NA,2023-08-30 16:12:00.24456
"2","2023-08-31T16:00:00Z","Europe UEFA Europa Conference League","HJK Helsinki-Farul Constanta","1st Half - Total Goals (0.5)","Total Goals - 1st Half 0.5","Over/Under - 1st Half 0.5","1st Half Over/Under 0.5 Goals","1st Half Over/Under 0.5 Goals",NA,"Under 0.5","Under","Under","Under 0.5","Under 0.5",NA,175,190,180,165,200,NA,2023-08-30 16:12:00.24456
"3","2023-08-31T16:45:00Z","Europe UEFA Europa Conference League","Breidablik-Struga","1st Half - Total Goals (0.5)","Total Goals - 1st Half 0.5","Over/Under - 1st Half 0.5","1st Half Over/Under 0.5 Goals","1st Half Over/Under 0.5 Goals",NA,"Over 0.5","Over","Over","Over 0.5","Over 0.5",NA,-270,-305,-290,-230,-280,NA,2023-08-30 16:12:00.24456
"4","2023-08-31T16:45:00Z","Europe UEFA Europa Conference League","Breidablik-Struga","1st Half - Total Goals (0.5)","Total Goals - 1st Half 0.5","Over/Under - 1st Half 0.5","1st Half Over/Under 0.5 Goals","1st Half Over/Under 0.5 Goals",NA,"Under 0.5","Under","Under","Under 0.5","Under 0.5",NA,180,200,185,175,205,NA,2023-08-30 16:12:00.24456
"5","2023-08-31T17:00:00Z","Europe UEFA Europa Conference League","FC Twente-Fenerbahce","1st Half - Total Goals (0.5)","Total Goals - 1st Half 0.5","Over/Under - 1st Half 0.5","1st Half Over/Under 0.5 Goals","1st Half Over/Under 0.5 Goals",NA,"Over 0.5","Over","Over","Over 0.5","Over 0.5",NA,-370,-455,-390,-350,-430,NA,2023-08-30 16:12:00.24456
"6","2023-08-31T17:00:00Z","Europe UEFA Europa Conference League","FC Twente-Fenerbahce","1st Half - Total Goals (0.5)","Total Goals - 1st Half 0.5","Over/Under - 1st Half 0.5","1st Half Over/Under 0.5 Goals","1st Half Over/Under 0.5 Goals",NA,"Under 0.5","Under","Under","Under 0.5","Under 0.5",NA,240,285,235,260,300,NA,2023-08-30 16:12:00.24456
"7","2023-08-31T17:00:00Z","Europe UEFA Europa Conference League","Brann-AZ Alkmaar","1st Half - Total Goals (0.5)","Total Goals - 1st Half 0.5","Over/Under - 1st Half 0.5","1st Half Over/Under 0.5 Goals","1st Half Over/Under 0.5 Goals",NA,"Over 0.5","Over","Over","Over 0.5","Over 0.5",NA,-345,-375,-380,-270,-330,NA,2023-08-30 16:12:00.24456
"8","2023-08-31T17:00:00Z","Europe UEFA Europa Conference League","Brann-AZ Alkmaar","1st Half - Total Goals (0.5)","Total Goals - 1st Half 0.5","Over/Under - 1st Half 0.5","1st Half Over/Under 0.5 Goals","1st Half Over/Under 0.5 Goals",NA,"Under 0.5","Under","Under","Under 0.5","Under 0.5",NA,225,240,230,205,235,NA,2023-08-30 16:12:00.24456
"9","2023-08-31T17:30:00Z","Europe UEFA Europa Conference League","PAOK-Hearts","1st Half - Total Goals (0.5)","Total Goals - 1st Half 0.5","Over/Under - 1st Half 0.5","1st Half Over/Under 0.5 Goals","1st Half Over/Under 0.5 Goals",NA,"Over 0.5","Over","Over","Over 0.5","Over 0.5",NA,-323,-360,-360,-280,-340,NA,2023-08-30 16:12:00.24456
"10","2023-08-31T17:30:00Z","Europe UEFA Europa Conference League","PAOK-Hearts","1st Half - Total Goals (0.5)","Total Goals - 1st Half 0.5","Over/Under - 1st Half 0.5","1st Half Over/Under 0.5 Goals","1st Half Over/Under 0.5 Goals",NA,"Under 0.5","Under","Under","Under 0.5","Under 0.5",NA,210,235,220,210,245,NA,2023-08-30 16:12:00.24456
"11","2023-08-31T18:00:00Z","Europe UEFA Europa Conference League","Ferencvaros-Zalgiris","1st Half - Total Goals (0.5)","Total Goals - 1st Half 0.5","Over/Under - 1st Half 0.5","1st Half Over/Under 0.5 Goals","1st Half Over/Under 0.5 Goals",NA,"Over 0.5","Over","Over","Over 0.5","Over 0.5",NA,-400,-500,-450,-370,-450,NA,2023-08-30 16:12:00.24456
"12","2023-08-31T18:00:00Z","Europe UEFA Europa Conference League","Ferencvaros-Zalgiris","1st Half - Total Goals (0.5)","Total Goals - 1st Half 0.5","Over/Under - 1st Half 0.5","1st Half Over/Under 0.5 Goals","1st Half Over/Under 0.5 Goals",NA,"Under 0.5","Under","Under","Under 0.5","Under 0.5",NA,260,310,270,270,300,NA,2023-08-30 16:12:00.24456
"13","2023-08-31T18:00:00Z","Europe UEFA Europa Conference League","Besiktas-Dynamo Kiev","1st Half - Total Goals (0.5)","Total Goals - 1st Half 0.5","Over/Under - 1st Half 0.5","1st Half Over/Under 0.5 Goals","1st Half Over/Under 0.5 Goals",NA,"Over 0.5","Over","Over","Over 0.5","Over 0.5",NA,-333,-400,-400,-300,-370,NA,2023-08-30 16:12:00.24456
"14","2023-08-31T18:00:00Z","Europe UEFA Europa Conference League","Besiktas-Dynamo Kiev","1st Half - Total Goals (0.5)","Total Goals - 1st Half 0.5","Over/Under - 1st Half 0.5","1st Half Over/Under 0.5 Goals","1st Half Over/Under 0.5 Goals",NA,"Under 0.5","Under","Under","Under 0.5","Under 0.5",NA,225,260,240,225,260,NA,2023-08-30 16:12:00.24456
"15","2023-08-31T18:00:00Z","Europe UEFA Europa Conference League","Partizan Tirana-Astana","1st Half - Total Goals (0.5)","Total Goals - 1st Half 0.5","Over/Under - 1st Half 0.5","1st Half Over/Under 0.5 Goals","1st Half Over/Under 0.5 Goals",NA,"Over 0.5","Over","Over","Over 0.5","Over 0.5",NA,-256,-286,-280,-230,-260,NA,2023-08-30 16:12:00.24456
"16","2023-08-31T18:00:00Z","Europe UEFA Europa Conference League","Partizan Tirana-Astana","1st Half - Total Goals (0.5)","Total Goals - 1st Half 0.5","Over/Under - 1st Half 0.5","1st Half Over/Under 0.5 Goals","1st Half Over/Under 0.5 Goals",NA,"Under 0.5","Under","Under","Under 0.5","Under 0.5",NA,175,190,180,175,192,NA,2023-08-30 16:12:00.24456
"17","2023-08-31T18:00:00Z","Europe UEFA Europa Conference League","Fiorentina-Rapid Vienna","1st Half - Total Goals (0.5)","Total Goals - 1st Half 0.5","Over/Under - 1st Half 0.5","1st Half Over/Under 0.5 Goals","1st Half Over/Under 0.5 Goals",NA,"Over 0.5","Over","Over","Over 0.5","Over 0.5",NA,-455,-590,-500,-370,-600,NA,2023-08-30 16:12:00.24456
"18","2023-08-31T18:00:00Z","Europe UEFA Europa Conference League","Fiorentina-Rapid Vienna","1st Half - Total Goals (0.5)","Total Goals - 1st Half 0.5","Over/Under - 1st Half 0.5","1st Half Over/Under 0.5 Goals","1st Half Over/Under 0.5 Goals",NA,"Under 0.5","Under","Under","Under 0.5","Under 0.5",NA,290,350,290,270,370,NA,2023-08-30 16:12:00.24456
"19","2023-08-31T18:00:00Z","Europe UEFA Europa Conference League","Adana Demirspor-Genk","1st Half - Total Goals (0.5)","Total Goals - 1st Half 0.5","Over/Under - 1st Half 0.5","1st Half Over/Under 0.5 Goals","1st Half Over/Under 0.5 Goals",NA,"Over 0.5","Over","Over","Over 0.5","Over 0.5",NA,-357,-435,-390,-310,-450,NA,2023-08-30 16:12:00.24456
"20","2023-08-31T18:00:00Z","Europe UEFA Europa Conference League","Adana Demirspor-Genk","1st Half - Total Goals (0.5)","Total Goals - 1st Half 0.5","Over/Under - 1st Half 0.5","1st Half Over/Under 0.5 Goals","1st Half Over/Under 0.5 Goals",NA,"Under 0.5","Under","Under","Under 0.5","Under 0.5",NA,230,275,235,230,300,NA,2023-08-30 16:12:00.24456
"21","2023-08-31T18:00:00Z","Europe UEFA Europa Conference League","Celje-Maccabi Tel Aviv","1st Half - Total Goals (0.5)","Total Goals - 1st Half 0.5","Over/Under - 1st Half 0.5","1st Half Over/Under 0.5 Goals","1st Half Over/Under 0.5 Goals",NA,"Over 0.5","Over","Over","Over 0.5","Over 0.5",NA,-286,-335,-310,-240,-320,NA,2023-08-30 16:12:00.24456
"22","2023-08-31T18:00:00Z","Europe UEFA Europa Conference League","Celje-Maccabi Tel Aviv","1st Half - Total Goals (0.5)","Total Goals - 1st Half 0.5","Over/Under - 1st Half 0.5","1st Half Over/Under 0.5 Goals","1st Half Over/Under 0.5 Goals",NA,"Under 0.5","Under","Under","Under 0.5","Under 0.5",NA,195,220,195,180,230,NA,2023-08-30 16:12:00.24456
"23","2023-08-31T18:15:00Z","Europe UEFA Europa Conference League","Rijeka-Lille","1st Half - Total Goals (0.5)","Total Goals - 1st Half 0.5","Over/Under - 1st Half 0.5","1st Half Over/Under 0.5 Goals","1st Half Over/Under 0.5 Goals",NA,"Over 0.5","Over","Over","Over 0.5","Over 0.5",NA,-286,-315,-320,-240,-310,NA,2023-08-30 16:12:00.24456
"24","2023-08-31T18:15:00Z","Europe UEFA Europa Conference League","Rijeka-Lille","1st Half - Total Goals (0.5)","Total Goals - 1st Half 0.5","Over/Under - 1st Half 0.5","1st Half Over/Under 0.5 Goals","1st Half Over/Under 0.5 Goals",NA,"Under 0.5","Under","Under","Under 0.5","Under 0.5",NA,195,210,200,180,225,NA,2023-08-30 16:12:00.24456
"25","2023-08-31T18:30:00Z","Europe UEFA Europa Conference League","Club Brugge-Osasuna","1st Half - Total Goals (0.5)","Total Goals - 1st Half 0.5","Over/Under - 1st Half 0.5","1st Half Over/Under 0.5 Goals","1st Half Over/Under 0.5 Goals",NA,"Over 0.5","Over","Over","Over 0.5","Over 0.5",NA,-270,-295,-285,-240,-290,NA,2023-08-30 16:12:00.24456
