"","Time","League","Matchup","MGM Market Name","BetRivers Market Name","Draftkings Market Name","Caesars Market Name","Fanduel Market Name","PointsBet Market Name","MGM Selection Name","BetRivers Selection Name","Draftkings Selection Name","Caesars Selection Name","Fanduel Selection","PointsBet Selection","MGM Odds","BetRivers Odds","Draftkings Odds","Caesars Odds","Fanduel Odds","PointsBet Odds","update_time"
"1","2023-08-12T07:00:00Z","World World Cup - Women","Australia (Women)-France (Women)","Anytime Goalscorer","To score",NA,"Anytime Goalscorer","Anytime Goalscorer","ANYTIME GOALSCORER 1","Aissatou Tounkara","Aissatou  Tounkara",NA,"Aissatou Tounkara","Aissatou Tounkara","A. Luik",900,1300,NA,1000,1200,NA,2023-08-11 09:58:03
"2","2023-08-12T07:00:00Z","World World Cup - Women","Australia (Women)-France (Women)","Anytime Goalscorer","To score",NA,"Anytime Goalscorer","Anytime Goalscorer","ANYTIME GOALSCORER 1","Aivi Luik","Aivi  Luik",NA,"Aivi Luik","Aivi Luik","A. Luik",1100,2400,NA,1200,1600,NA,2023-08-11 09:58:03
"3","2023-08-12T07:00:00Z","World World Cup - Women","Australia (Women)-France (Women)","Anytime Goalscorer","To score",NA,"Anytime Goalscorer","Anytime Goalscorer","ANYTIME GOALSCORER 1","Alanna Kennedy","Alanna  Kennedy",NA,"Alanna Kennedy","Alanna Kennedy","A. Kennedy",1200,1700,NA,1400,2000,NA,2023-08-11 09:58:03
"4","2023-08-12T07:00:00Z","World World Cup - Women","Australia (Women)-France (Women)","Anytime Goalscorer","To score",NA,"Anytime Goalscorer","Anytime Goalscorer","ANYTIME GOALSCORER 1","Alexandra Chidiac","Alex  Chidiac",NA,"Alexandra Chidiac","Alex Chidiac","A. Chidiac",NA,750,NA,600,650,NA,2023-08-11 09:58:03
"5","2023-08-12T07:00:00Z","World World Cup - Women","Australia (Women)-France (Women)","Anytime Goalscorer","To score",NA,"Anytime Goalscorer","Anytime Goalscorer","ANYTIME GOALSCORER 1","Amel Majri","Amel  Majri",NA,"Amel Majri","Amel Majri","A. Majri",500,650,NA,500,600,550,2023-08-11 09:58:03
"6","2023-08-12T07:00:00Z","World World Cup - Women","Australia (Women)-France (Women)","Anytime Goalscorer","To score",NA,"Anytime Goalscorer","Anytime Goalscorer","ANYTIME GOALSCORER 1","Caitlin Foord","Caitlin  Foord",NA,"Caitlin Foord","Caitlin Foord","C. Foord",300,295,NA,320,370,NA,2023-08-11 09:58:03
"7","2023-08-12T07:00:00Z","World World Cup - Women","Australia (Women)-France (Women)","Anytime Goalscorer","To score",NA,"Anytime Goalscorer","Anytime Goalscorer","ANYTIME GOALSCORER 1","Charlotte Grant","Charlotte  Grant",NA,"Charlotte Grant","Charlotte Grant","E. Carpenter",2200,2200,NA,2500,3700,NA,2023-08-11 09:58:03
"8","2023-08-12T07:00:00Z","World World Cup - Women","Australia (Women)-France (Women)","Anytime Goalscorer","To score",NA,"Anytime Goalscorer","Anytime Goalscorer","ANYTIME GOALSCORER 1","Clara Mateo","Clara  Mateo",NA,"Clara Mateo","Clara Mateo","C. Mateo",400,360,NA,400,470,NA,2023-08-11 09:58:03
"9","2023-08-12T07:00:00Z","World World Cup - Women","Australia (Women)-France (Women)","Anytime Goalscorer","To score",NA,"Anytime Goalscorer","Anytime Goalscorer","ANYTIME GOALSCORER 1","Clare Hunt","Clare  Hunt",NA,"Clare Hunt","Clare Hunt","C. Hunt",2800,1400,NA,2800,5000,4000,2023-08-11 09:58:03
"10","2023-08-12T07:00:00Z","World World Cup - Women","Australia (Women)-France (Women)","Anytime Goalscorer","To score",NA,"Anytime Goalscorer","Anytime Goalscorer","ANYTIME GOALSCORER 1","Clare Polkinghorne","Clare  Polkinghorne",NA,"Clare Polkinghorne","Clare Polkinghorne","C. Polkinghorne",1200,1050,NA,1400,1900,1800,2023-08-11 09:58:03
"11","2023-08-12T07:00:00Z","World World Cup - Women","Australia (Women)-France (Women)","Anytime Goalscorer","To score",NA,"Anytime Goalscorer","Anytime Goalscorer","ANYTIME GOALSCORER 1","Clare Wheeler","Clare  Wheeler",NA,"Clare Wheeler","Clare Wheeler","C. Wheeler",1200,900,NA,1400,2000,NA,2023-08-11 09:58:03
"12","2023-08-12T07:00:00Z","World World Cup - Women","Australia (Women)-France (Women)","Anytime Goalscorer","To score",NA,"Anytime Goalscorer","Anytime Goalscorer","ANYTIME GOALSCORER 1","Cortnee Vine","Cortnee  Vine",NA,"Cortnee Vine","Cortnee Vine","C. Vine",550,370,NA,600,650,NA,2023-08-11 09:58:03
"13","2023-08-12T07:00:00Z","World World Cup - Women","Australia (Women)-France (Women)","Anytime Goalscorer","To score",NA,"Anytime Goalscorer","Anytime Goalscorer","ANYTIME GOALSCORER 1","Courtney Nevin","Courtney  Nevin",NA,"Courtney Nevin","Courtney Nevin","C. Nevin",2800,2200,NA,2800,4800,NA,2023-08-11 09:58:03
"14","2023-08-12T07:00:00Z","World World Cup - Women","Australia (Women)-France (Women)","Anytime Goalscorer","To score",NA,"Anytime Goalscorer","Anytime Goalscorer","ANYTIME GOALSCORER 1","Elisa de Almeida","Élisa  de Almeida",NA,"Elisa de Almeida","Elisa de Almeida","E. De Almeida",900,1300,NA,1000,1100,NA,2023-08-11 09:58:03
